"","date","GNMK"
"1","2010-05-28",5.4
"2","2010-06-01",5
"3","2010-06-02",4.88
"4","2010-06-03",4.95
"5","2010-06-04",4.95
"6","2010-06-07",4.87
"7","2010-06-08",5.09
"8","2010-06-09",4.9
"9","2010-06-10",5
"10","2010-06-11",4.86
"11","2010-06-14",4.88
"12","2010-06-15",4.85
"13","2010-06-16",4.73
"14","2010-06-17",4.54
"15","2010-06-18",4.45
"16","2010-06-21",4.26
"17","2010-06-22",4.28
"18","2010-06-23",4.27
"19","2010-06-24",4.28
"20","2010-06-25",4.22
"21","2010-06-28",4.32
"22","2010-06-29",4.23
"23","2010-06-30",4.42
"24","2010-07-01",4.57
"25","2010-07-02",4.65
"26","2010-07-06",4.77
"27","2010-07-07",4.75
"28","2010-07-08",4.46
"29","2010-07-09",4.75
"30","2010-07-12",4.75
"31","2010-07-13",4.56
"32","2010-07-14",4.36
"33","2010-07-15",4.45
"34","2010-07-16",4.44
"35","2010-07-19",4.42
"36","2010-07-20",4.5
"37","2010-07-21",4.45
"38","2010-07-22",4.5
"39","2010-07-23",4.5
"40","2010-07-26",4.44
"41","2010-07-27",4.41
"42","2010-07-28",4.3
"43","2010-07-29",4.4
"44","2010-07-30",4.48
"45","2010-08-02",4.32
"46","2010-08-03",4.4
"47","2010-08-04",4.4
"48","2010-08-05",4.49
"49","2010-08-06",4.5
"50","2010-08-09",4.5
"51","2010-08-10",4.6
"52","2010-08-11",4.52
"53","2010-08-12",4.46
"54","2010-08-13",4.72
"55","2010-08-16",4.5
"56","2010-08-17",4.35
"57","2010-08-18",4.35
"58","2010-08-19",4.5
"59","2010-08-20",4.48
"60","2010-08-23",4.3
"61","2010-08-24",4.25
"62","2010-08-25",4.34
"63","2010-08-26",4.22
"64","2010-08-27",4.17
"65","2010-08-30",4.16
"66","2010-08-31",4.16
"67","2010-09-01",4.03
"68","2010-09-02",4
"69","2010-09-03",4.14
"70","2010-09-07",4
"71","2010-09-08",4
"72","2010-09-09",3.9
"73","2010-09-10",3.91
"74","2010-09-13",3.9
"75","2010-09-14",4
"76","2010-09-15",3.84
"77","2010-09-16",3.7
"78","2010-09-17",3.64
"79","2010-09-20",3.82
"80","2010-09-21",3.57
"81","2010-09-22",3.6
"82","2010-09-23",3.37
"83","2010-09-24",3.32
"84","2010-09-27",3.38
"85","2010-09-28",3.45
"86","2010-09-29",3.41
"87","2010-09-30",3.36
"88","2010-10-01",3.41
"89","2010-10-04",3.4
"90","2010-10-05",3.75
"91","2010-10-06",3.83
"92","2010-10-07",3.58
"93","2010-10-08",3.53
"94","2010-10-11",3.55
"95","2010-10-12",3.65
"96","2010-10-13",3.52
"97","2010-10-14",3.7
"98","2010-10-15",3.42
"99","2010-10-18",3.5
"100","2010-10-19",3.45
"101","2010-10-20",3.43
"102","2010-10-21",3.43
"103","2010-10-22",3.6
"104","2010-10-25",4.35
"105","2010-10-26",4.32
"106","2010-10-27",4.4
"107","2010-10-28",4.4
"108","2010-10-29",4.9
"109","2010-11-01",4.94
"110","2010-11-02",4.5
"111","2010-11-03",4.34
"112","2010-11-04",3.9
"113","2010-11-05",4.23
"114","2010-11-08",4.09
"115","2010-11-09",4.12
"116","2010-11-10",4.15
"117","2010-11-11",4.05
"118","2010-11-12",3.97
"119","2010-11-15",3.43
"120","2010-11-16",3.4
"121","2010-11-17",3.4
"122","2010-11-18",3.73
"123","2010-11-19",3.69
"124","2010-11-22",3.67
"125","2010-11-23",3.76
"126","2010-11-24",3.99
"127","2010-11-26",4.05
"128","2010-11-29",4
"129","2010-11-30",3.7
"130","2010-12-01",3.94
"131","2010-12-02",4.01
"132","2010-12-03",4.4
"133","2010-12-06",4.17
"134","2010-12-07",4.03
"135","2010-12-08",4
"136","2010-12-09",3.96
"137","2010-12-10",3.9
"138","2010-12-13",3.95
"139","2010-12-14",4.24
"140","2010-12-15",4.4
