"","date","WATT"
"1","2014-03-28",10.58
"2","2014-03-31",14.75
"3","2014-04-01",12.76
"4","2014-04-02",13.88
"5","2014-04-03",14.85
"6","2014-04-04",13.74
"7","2014-04-07",12.9
"8","2014-04-08",12.37
"9","2014-04-09",11.89
"10","2014-04-10",12
"11","2014-04-11",11
"12","2014-04-14",11.38
"13","2014-04-15",10.99
"14","2014-04-16",11.16
"15","2014-04-17",11.3
"16","2014-04-21",12.33
"17","2014-04-22",11.61
"18","2014-04-23",11.49
"19","2014-04-24",11.39
"20","2014-04-25",11.39
"21","2014-04-28",10.7
"22","2014-04-29",10.685
"23","2014-04-30",10.53
"24","2014-05-01",13
"25","2014-05-02",12.25
"26","2014-05-05",12.19
"27","2014-05-06",11.59
"28","2014-05-07",10.75
"29","2014-05-08",10.66
"30","2014-05-09",10.73
"31","2014-05-12",11.27
"32","2014-05-13",11.75
"33","2014-05-14",11.25
"34","2014-05-15",11.399
"35","2014-05-16",11.26
"36","2014-05-19",10.85
"37","2014-05-20",10.82
"38","2014-05-21",10.91
"39","2014-05-22",10.61
"40","2014-05-23",10.65
"41","2014-05-27",10.67
"42","2014-05-28",11.77
"43","2014-05-29",12.15
"44","2014-05-30",11.68
"45","2014-06-02",12.29
"46","2014-06-03",12.39
"47","2014-06-04",11.2
"48","2014-06-05",11.32
"49","2014-06-06",11.01
"50","2014-06-09",11.72
"51","2014-06-10",12
"52","2014-06-11",11.91
"53","2014-06-12",12.14
"54","2014-06-13",12.05
"55","2014-06-16",12.19
"56","2014-06-17",14
"57","2014-06-18",14
"58","2014-06-19",13.43
"59","2014-06-20",13.04
"60","2014-06-23",13.61
"61","2014-06-24",14.69
"62","2014-06-25",15.45
"63","2014-06-26",15.57
"64","2014-06-27",15.5
"65","2014-06-30",15.12
"66","2014-07-01",14.41
"67","2014-07-02",14.6
"68","2014-07-03",14.45
"69","2014-07-07",13.69
"70","2014-07-08",12.48
"71","2014-07-09",12.77
"72","2014-07-10",13.99
"73","2014-07-11",13.23
"74","2014-07-14",13.33
"75","2014-07-15",12.25
"76","2014-07-16",12
"77","2014-07-17",12.18
"78","2014-07-18",11.86
"79","2014-07-21",12.6
"80","2014-07-22",12.31
"81","2014-07-23",12.37
"82","2014-07-24",12.52
"83","2014-07-25",12.66
"84","2014-07-28",12.99
"85","2014-07-29",13.49
"86","2014-07-30",11.52
"87","2014-07-31",12.02
"88","2014-08-01",11.35
"89","2014-08-04",11.88
"90","2014-08-05",12.12
"91","2014-08-06",12
"92","2014-08-07",11.8
"93","2014-08-08",11.51
"94","2014-08-11",11.32
"95","2014-08-12",11.16
"96","2014-08-13",11.3
"97","2014-08-14",11.84
"98","2014-08-15",11.96
"99","2014-08-18",12.4
"100","2014-08-19",12.1
"101","2014-08-20",12.4
"102","2014-08-21",12.31
"103","2014-08-22",12.38
"104","2014-08-25",12.31
"105","2014-08-26",12.42
"106","2014-08-27",12.3
"107","2014-08-28",12.21
"108","2014-08-29",12.252
"109","2014-09-02",11.78
"110","2014-09-03",11.95
"111","2014-09-04",11.63
"112","2014-09-05",10.01
"113","2014-09-08",10.99
"114","2014-09-09",12.87
"115","2014-09-10",12.03
"116","2014-09-11",12.17
"117","2014-09-12",12.45
"118","2014-09-15",12.32
"119","2014-09-16",12.04
"120","2014-09-17",11.83
"121","2014-09-18",11.33
"122","2014-09-19",11.07
"123","2014-09-22",10.01
"124","2014-09-23",10.67
"125","2014-09-24",10.94
"126","2014-09-25",11.22
"127","2014-09-26",11.94
"128","2014-09-29",11.69
"129","2014-09-30",11.34
"130","2014-10-01",11.46
"131","2014-10-02",11.18
"132","2014-10-03",11.16
"133","2014-10-06",10.78
"134","2014-10-07",11.06
"135","2014-10-08",10.91
"136","2014-10-09",10.36
"137","2014-10-10",10.18
"138","2014-10-13",9.5
"139","2014-10-14",9.63
"140","2014-10-15",9.51
"141","2014-10-16",9.85
"142","2014-10-17",9.9
"143","2014-10-20",10.15
"144","2014-10-21",10.162
"145","2014-10-22",10.35
"146","2014-10-23",9.76
"147","2014-10-24",9.87
"148","2014-10-27",9.86
"149","2014-10-28",9.68
