"","date","TDOC"
"1","2015-06-30",19
"2","2015-07-01",28.5
"3","2015-07-02",28
"4","2015-07-06",26.690001
"5","2015-07-07",27.01
"6","2015-07-08",26.25
"7","2015-07-09",26.66
"8","2015-07-10",29.280001
"9","2015-07-13",30.959999
"10","2015-07-14",31.959999
"11","2015-07-15",30.690001
"12","2015-07-16",30.950001
"13","2015-07-17",30.6
"14","2015-07-20",29.889999
"15","2015-07-21",30.5
"16","2015-07-22",31.09
"17","2015-07-23",30.540001
"18","2015-07-24",32.150002
"19","2015-07-27",31.309999
"20","2015-07-28",30.83
"21","2015-07-29",31.57
"22","2015-07-30",30.91
"23","2015-07-31",31.57
"24","2015-08-03",33.200001
"25","2015-08-04",34.82
"26","2015-08-05",33.060001
"27","2015-08-06",32.07
"28","2015-08-07",30.83
"29","2015-08-10",30.469999
"30","2015-08-11",28.76
"31","2015-08-12",28.51
"32","2015-08-13",29.790001
"33","2015-08-14",28.52
"34","2015-08-17",29.23
"35","2015-08-18",28.299999
"36","2015-08-19",26.85
"37","2015-08-20",26.5
"38","2015-08-21",25.639999
"39","2015-08-24",23.879999
"40","2015-08-25",23.200001
"41","2015-08-26",25.280001
"42","2015-08-27",26.129999
"43","2015-08-28",27.719999
"44","2015-08-31",25.74
"45","2015-09-01",22.85
"46","2015-09-02",22.15
"47","2015-09-03",22.41
"48","2015-09-04",20.82
"49","2015-09-08",20.530001
"50","2015-09-09",22.559999
"51","2015-09-10",22.98
"52","2015-09-11",23.5
"53","2015-09-14",23.07
"54","2015-09-15",22.99
"55","2015-09-16",22.059999
"56","2015-09-17",22.15
"57","2015-09-18",21.959999
"58","2015-09-21",22.24
"59","2015-09-22",24.5
"60","2015-09-23",24.459999
"61","2015-09-24",24.33
"62","2015-09-25",22.35
"63","2015-09-28",20.629999
"64","2015-09-29",21
"65","2015-09-30",22.290001
"66","2015-10-01",22.809999
"67","2015-10-02",18.24
"68","2015-10-05",17.49
"69","2015-10-06",16.639999
"70","2015-10-07",16.23
"71","2015-10-08",16.799999
"72","2015-10-09",17.25
"73","2015-10-12",18.030001
"74","2015-10-13",18
"75","2015-10-14",18.08
"76","2015-10-15",18.120001
"77","2015-10-16",18
"78","2015-10-19",18.209999
"79","2015-10-20",17.84
"80","2015-10-21",18.59
"81","2015-10-22",17.27
"82","2015-10-23",18.200001
"83","2015-10-26",18.42
"84","2015-10-27",18.940001
"85","2015-10-28",20.07
"86","2015-10-29",19.67
"87","2015-10-30",19.67
"88","2015-11-02",19.59
"89","2015-11-03",17.59
"90","2015-11-04",17.190001
"91","2015-11-05",16
"92","2015-11-06",15.61
"93","2015-11-09",16.200001
"94","2015-11-10",15.84
"95","2015-11-11",16.25
"96","2015-11-12",17.360001
"97","2015-11-13",17.58
"98","2015-11-16",18.23
"99","2015-11-17",19.360001
"100","2015-11-18",19.25
"101","2015-11-19",18.459999
"102","2015-11-20",19
"103","2015-11-23",19.280001
"104","2015-11-24",19.82
"105","2015-11-25",19.25
"106","2015-11-27",19.52
"107","2015-11-30",21.25
"108","2015-12-01",21.52
"109","2015-12-02",20.91
"110","2015-12-03",21.280001
"111","2015-12-04",20.879999
"112","2015-12-07",20.639999
"113","2015-12-08",19.790001
"114","2015-12-09",18.780001
"115","2015-12-10",19.559999
"116","2015-12-11",19
"117","2015-12-14",18.389999
"118","2015-12-15",18.450001
"119","2015-12-16",18.65
"120","2015-12-17",18.360001
"121","2015-12-18",18.1
"122","2015-12-21",17.940001
"123","2015-12-22",17.68
"124","2015-12-23",17.4
"125","2015-12-24",17.67
"126","2015-12-28",17.43
"127","2015-12-29",17.780001
"128","2015-12-30",18.309999
"129","2015-12-31",17.959999
"130","2016-01-04",17.99
"131","2016-01-05",19.5
"132","2016-01-06",20.66
"133","2016-01-07",20.18
"134","2016-01-08",19.17
"135","2016-01-11",19
"136","2016-01-12",18.629999
"137","2016-01-13",16.91
"138","2016-01-14",17.73
"139","2016-01-15",17.02
"140","2016-01-19",16.629999
"141","2016-01-20",15.74
"142","2016-01-21",16.34
"143","2016-01-22",17.440001
"144","2016-01-25",16.780001
"145","2016-01-26",16.700001
"146","2016-01-27",16.25
"147","2016-01-28",15.52
"148","2016-01-29",16.24
"149","2016-02-01",15.99
"150","2016-02-02",15.88
"151","2016-02-03",15.85
"152","2016-02-04",15.2
"153","2016-02-05",14.13
"154","2016-02-08",12.68
"155","2016-02-09",11.86
"156","2016-02-10",11.99
"157","2016-02-11",11.89
"158","2016-02-12",11.92
"159","2016-02-16",12.36
"160","2016-02-17",14.05
"161","2016-02-18",14.52
"162","2016-02-19",14.96
"163","2016-02-22",15.12
"164","2016-02-23",14.72
"165","2016-02-24",14.91
"166","2016-02-25",13.85
"167","2016-02-26",14.57
"168","2016-02-29",13.83
"169","2016-03-01",13.76
"170","2016-03-02",13.47
"171","2016-03-03",12.75
"172","2016-03-04",12.21
"173","2016-03-07",12.5
"174","2016-03-08",11.98
"175","2016-03-09",12.36
"176","2016-03-10",12.14
"177","2016-03-11",12.28
"178","2016-03-14",11.84
"179","2016-03-15",11.47
"180","2016-03-16",11.59
"181","2016-03-17",10.65
"182","2016-03-18",11.21
"183","2016-03-21",11.23
"184","2016-03-22",10.94
"185","2016-03-23",10.34
"186","2016-03-24",9.94
"187","2016-03-28",9.5
"188","2016-03-29",9.95
"189","2016-03-30",9.9
"190","2016-03-31",9.6
"191","2016-04-01",10.04
"192","2016-04-04",10.02
"193","2016-04-05",10.13
"194","2016-04-06",10.07
"195","2016-04-07",10.3
"196","2016-04-08",10.52
"197","2016-04-11",10.07
"198","2016-04-12",10.37
"199","2016-04-13",11.22
"200","2016-04-14",11.19
"201","2016-04-15",11.24
"202","2016-04-18",11.14
"203","2016-04-19",11.4
"204","2016-04-20",11.58
"205","2016-04-21",12.03
"206","2016-04-22",11.9
"207","2016-04-25",12
"208","2016-04-26",12.08
"209","2016-04-27",12.05
"210","2016-04-28",12.07
"211","2016-04-29",12.15
"212","2016-05-02",12.34
"213","2016-05-03",11.63
"214","2016-05-04",11.25
"215","2016-05-05",10.76
"216","2016-05-06",10.85
"217","2016-05-09",11.82
"218","2016-05-10",11.8
"219","2016-05-11",11.64
"220","2016-05-12",11.07
"221","2016-05-13",10.05
"222","2016-05-16",9.58
"223","2016-05-17",10.25
"224","2016-05-18",10.03
"225","2016-05-19",9.72
"226","2016-05-20",9.77
"227","2016-05-23",9.99
"228","2016-05-24",9.92
"229","2016-05-25",10.28
"230","2016-05-26",10.84
"231","2016-05-27",11.31
"232","2016-05-31",11.43
"233","2016-06-01",11.62
"234","2016-06-02",11.88
"235","2016-06-03",11.82
"236","2016-06-06",12.25
"237","2016-06-07",12.54
"238","2016-06-08",12.62
"239","2016-06-09",12.66
"240","2016-06-10",12.53
"241","2016-06-13",12.5
"242","2016-06-14",12.63
"243","2016-06-15",13.04
"244","2016-06-16",13.36
"245","2016-06-17",12.86
"246","2016-06-20",12.95
"247","2016-06-21",12.89
"248","2016-06-22",12.88
"249","2016-06-23",12.95
"250","2016-06-24",13.08
"251","2016-06-27",13.14
"252","2016-06-28",14.58
"253","2016-06-29",15.93
"254","2016-06-30",16.02
"255","2016-07-01",16.08
"256","2016-07-05",16.02
"257","2016-07-06",15.93
"258","2016-07-07",14.88
"259","2016-07-08",15.28
"260","2016-07-11",15.4
"261","2016-07-12",15.99
"262","2016-07-13",16.139999
"263","2016-07-14",15.51
"264","2016-07-15",15.45
"265","2016-07-18",16.049999
"266","2016-07-19",17.51
"267","2016-07-20",17.540001
"268","2016-07-21",16.9
