"","date","MSEX"
"1","2007-01-03",18.75
"2","2007-01-04",18.85
"3","2007-01-05",18.76
"4","2007-01-08",18.940001
"5","2007-01-09",18.85
"6","2007-01-10",18.58
"7","2007-01-11",18.629999
"8","2007-01-12",18.6
"9","2007-01-16",18.799999
"10","2007-01-17",18.85
"11","2007-01-18",18.809999
"12","2007-01-19",18.66
"13","2007-01-22",18.620001
"14","2007-01-23",18.6
"15","2007-01-24",18.549999
"16","2007-01-25",18.26
"17","2007-01-26",18.26
"18","2007-01-29",18.389999
"19","2007-01-30",18.4
"20","2007-01-31",18.379999
"21","2007-02-01",18.719999
"22","2007-02-02",18.43
"23","2007-02-05",18.34
"24","2007-02-06",18.49
"25","2007-02-07",18.370001
"26","2007-02-08",18.459999
"27","2007-02-09",18.389999
"28","2007-02-12",18.34
"29","2007-02-13",18.34
"30","2007-02-14",18.23
"31","2007-02-15",18.23
"32","2007-02-16",18.280001
"33","2007-02-20",18.18
"34","2007-02-21",18.34
"35","2007-02-22",18.209999
"36","2007-02-23",18.23
"37","2007-02-26",18.209999
"38","2007-02-27",18.290001
"39","2007-02-28",18.120001
"40","2007-03-01",18.049999
"41","2007-03-02",18.02
"42","2007-03-05",17.91
"43","2007-03-06",18.110001
"44","2007-03-07",18.129999
"45","2007-03-08",18.4
"46","2007-03-09",18.4
"47","2007-03-12",18.610001
"48","2007-03-13",18.42
"49","2007-03-14",18.200001
"50","2007-03-15",18.18
"51","2007-03-16",18.09
"52","2007-03-19",18.129999
"53","2007-03-20",18.190001
"54","2007-03-21",18.23
"55","2007-03-22",18.219999
"56","2007-03-23",18.120001
"57","2007-03-26",18.190001
"58","2007-03-27",17.92
"59","2007-03-28",18.040001
"60","2007-03-29",18.219999
"61","2007-03-30",18.389999
"62","2007-04-02",18.25
"63","2007-04-03",18.25
"64","2007-04-04",18.190001
"65","2007-04-05",18.32
"66","2007-04-09",18.25
"67","2007-04-10",18.33
"68","2007-04-11",18.25
"69","2007-04-12",18.440001
"70","2007-04-13",18.6
"71","2007-04-16",18.77
"72","2007-04-17",18.950001
"73","2007-04-18",18.85
"74","2007-04-19",18.870001
"75","2007-04-20",18.799999
"76","2007-04-23",18.799999
"77","2007-04-24",18.799999
"78","2007-04-25",18.950001
"79","2007-04-26",18.879999
"80","2007-04-27",18.83
"81","2007-04-30",18.809999
"82","2007-05-01",18.6
"83","2007-05-02",18.98
"84","2007-05-03",19
"85","2007-05-04",18.85
"86","2007-05-07",19.040001
"87","2007-05-08",18.959999
"88","2007-05-09",18.860001
"89","2007-05-10",18.93
"90","2007-05-11",18.85
"91","2007-05-14",18.91
"92","2007-05-15",18.940001
"93","2007-05-16",19.09
"94","2007-05-17",19
"95","2007-05-18",19.09
"96","2007-05-21",19.15
"97","2007-05-22",19.17
"98","2007-05-23",19.280001
"99","2007-05-24",19.059999
"100","2007-05-25",19.24
"101","2007-05-29",19.209999
"102","2007-05-30",19.200001
"103","2007-05-31",19.200001
"104","2007-06-01",19.09
"105","2007-06-04",19.280001
"106","2007-06-05",19.26
"107","2007-06-06",19.219999
"108","2007-06-07",19
"109","2007-06-08",19
"110","2007-06-11",18.91
"111","2007-06-12",18.74
"112","2007-06-13",18.790001
"113","2007-06-14",18.809999
"114","2007-06-15",18.860001
"115","2007-06-18",18.870001
"116","2007-06-19",19.17
"117","2007-06-20",18.950001
"118","2007-06-21",18.98
"119","2007-06-22",18.6
"120","2007-06-25",18.780001
"121","2007-06-26",18.68
"122","2007-06-27",18.950001
"123","2007-06-28",18.93
"124","2007-06-29",19.209999
"125","2007-07-02",19.040001
"126","2007-07-03",18.959999
"127","2007-07-05",19
"128","2007-07-06",18.940001
"129","2007-07-09",19.030001
"130","2007-07-10",18.860001
"131","2007-07-11",18.83
"132","2007-07-12",19.02
"133","2007-07-13",18.889999
"134","2007-07-16",18.780001
"135","2007-07-17",18.719999
"136","2007-07-18",18.52
"137","2007-07-19",18.57
"138","2007-07-20",18.629999
"139","2007-07-23",18.76
"140","2007-07-24",18.719999
"141","2007-07-25",18.85
"142","2007-07-26",18.66
"143","2007-07-27",19.15
"144","2007-07-30",19.549999
"145","2007-07-31",19.74
"146","2007-08-01",19.870001
"147","2007-08-02",19.67
"148","2007-08-03",19.6
"149","2007-08-06",19.440001
"150","2007-08-07",20.16
"151","2007-08-08",20
"152","2007-08-09",19.690001
"153","2007-08-10",18.66
