"","date","FSEA"
"1","2019-07-17",9.75
"2","2019-07-18",9.75
"3","2019-07-19",9.518
"4","2019-07-22",9.2
"5","2019-07-23",9.23
"6","2019-07-24",9.14
"7","2019-07-25",9.04
"8","2019-07-26",8.91
"9","2019-07-29",8.87
"10","2019-07-30",8.98
"11","2019-07-31",9.05
"12","2019-08-01",9.09
"13","2019-08-02",9.15
"14","2019-08-05",9.15
"15","2019-08-06",9.09
"16","2019-08-07",9.09
"17","2019-08-08",8.967
"18","2019-08-09",9.04
"19","2019-08-12",9.09
"20","2019-08-13",9.05
"21","2019-08-14",9
"22","2019-08-15",8.925
"23","2019-08-16",8.93
"24","2019-08-19",8.91
"25","2019-08-20",8.91
"26","2019-08-21",8.915
"27","2019-08-22",8.9
"28","2019-08-23",8.93
"29","2019-08-26",8.99
"30","2019-08-27",8.98
"31","2019-08-28",8.98
"32","2019-08-29",8.95
"33","2019-08-30",8.99
"34","2019-09-03",8.98
"35","2019-09-04",8.945
"36","2019-09-05",8.99
"37","2019-09-06",9.05
"38","2019-09-09",9.01
"39","2019-09-10",9.11
"40","2019-09-11",9.17
"41","2019-09-12",9.43
"42","2019-09-13",9.46
"43","2019-09-16",9.25
"44","2019-09-17",9.43
"45","2019-09-18",9.2
"46","2019-09-19",9.03
"47","2019-09-20",8.83
"48","2019-09-23",8.87
"49","2019-09-24",8.92
"50","2019-09-25",9.05
"51","2019-09-26",9.39
"52","2019-09-27",9.1
"53","2019-09-30",9.37
"54","2019-10-01",9.177
"55","2019-10-02",9
"56","2019-10-03",9
"57","2019-10-04",9.3
"58","2019-10-07",9.03
"59","2019-10-08",9.25
"60","2019-10-09",9.25
"61","2019-10-10",9.25
"62","2019-10-11",9.25
"63","2019-10-14",9.25
"64","2019-10-15",9.25
"65","2019-10-16",9.25
"66","2019-10-17",9.15
"67","2019-10-18",9.105
"68","2019-10-21",9.05
"69","2019-10-22",8.986
"70","2019-10-23",9.01
"71","2019-10-24",9.02
"72","2019-10-25",9.088
"73","2019-10-28",9.02
"74","2019-10-29",9.01
"75","2019-10-30",9
"76","2019-10-31",9.15
"77","2019-11-01",9.14
"78","2019-11-04",9.01
"79","2019-11-05",9.07
"80","2019-11-06",9.15
"81","2019-11-07",9.168
"82","2019-11-08",9.17
"83","2019-11-11",9.16
"84","2019-11-12",9.18
