"","date","CMBM"
"1","2019-06-26",9.7
"2","2019-06-27",9.5
"3","2019-06-28",9.59
"4","2019-07-01",9.7
"5","2019-07-02",9.65
"6","2019-07-03",9.48
"7","2019-07-05",9.47
"8","2019-07-08",9.12
"9","2019-07-09",9.19
"10","2019-07-10",8.94
"11","2019-07-11",9.31
"12","2019-07-12",9.35
"13","2019-07-15",9.94
"14","2019-07-16",9.97
"15","2019-07-17",9.87
"16","2019-07-18",10.2
"17","2019-07-19",10.45
"18","2019-07-22",9.93
"19","2019-07-23",9.95
"20","2019-07-24",9.78
"21","2019-07-25",10.25
"22","2019-07-26",9.98
"23","2019-07-29",9.77
"24","2019-07-30",9.69
"25","2019-07-31",9.61
"26","2019-08-01",9.64
"27","2019-08-02",9.7
"28","2019-08-05",9.41
"29","2019-08-06",9.43
"30","2019-08-07",9.34
"31","2019-08-08",9.3
"32","2019-08-09",8.88
"33","2019-08-12",8.6
"34","2019-08-13",8.51
"35","2019-08-14",9.14
"36","2019-08-15",9
"37","2019-08-16",8.98
"38","2019-08-19",8.69
"39","2019-08-20",8.85
"40","2019-08-21",9
"41","2019-08-22",9.2
"42","2019-08-23",8.92
"43","2019-08-26",9.04
"44","2019-08-27",9.54
"45","2019-08-28",9.44
"46","2019-08-29",9.39
"47","2019-08-30",8.99
"48","2019-09-03",8.78
"49","2019-09-04",9.4
"50","2019-09-05",9.33
"51","2019-09-06",9.5
"52","2019-09-09",10.7
"53","2019-09-10",9.38
"54","2019-09-11",10.02
"55","2019-09-12",11.07
"56","2019-09-13",10.88
"57","2019-09-16",10.42
"58","2019-09-17",10.91
"59","2019-09-18",10.5
"60","2019-09-19",10.75
"61","2019-09-20",9.81
"62","2019-09-23",9.56
"63","2019-09-24",9.38
"64","2019-09-25",9.96
"65","2019-09-26",9.75
"66","2019-09-27",9.52
"67","2019-09-30",9.7
"68","2019-10-01",9.35
"69","2019-10-02",9.18
"70","2019-10-03",9.18
"71","2019-10-04",9.24
"72","2019-10-07",9.13
"73","2019-10-08",8.86
"74","2019-10-09",8.85
"75","2019-10-10",8.27
"76","2019-10-11",8.36
"77","2019-10-14",8.32
"78","2019-10-15",8.62
"79","2019-10-16",8.69
"80","2019-10-17",8.77
"81","2019-10-18",8.63
"82","2019-10-21",8.87
"83","2019-10-22",8.64
"84","2019-10-23",8.74
"85","2019-10-24",8.8
"86","2019-10-25",8.82
"87","2019-10-28",8.72
"88","2019-10-29",8.85
"89","2019-10-30",8.83
"90","2019-10-31",8.76
"91","2019-11-01",8.67
"92","2019-11-04",8.45
"93","2019-11-05",8.68
"94","2019-11-06",8.69
"95","2019-11-07",8.64
"96","2019-11-08",7.26
"97","2019-11-11",7.73
"98","2019-11-12",7.36
