"","date","FONR"
"1","2007-01-03",7.5
"2","2007-01-04",7.5
"3","2007-01-05",6.75
"4","2007-01-08",7
"5","2007-01-09",6.75
"6","2007-01-10",6.75
"7","2007-01-11",7
"8","2007-01-12",6.75
"9","2007-01-16",7.25
"10","2007-01-17",8
"11","2007-01-18",8
"12","2007-01-19",7.5
"13","2007-01-22",7
"14","2007-01-23",7.25
"15","2007-01-24",7
"16","2007-01-25",6.75
"17","2007-01-26",7
"18","2007-01-29",7
"19","2007-01-30",7
"20","2007-01-31",7
"21","2007-02-01",7.25
"22","2007-02-02",7.25
"23","2007-02-05",7.25
"24","2007-02-06",7.25
"25","2007-02-07",7.5
"26","2007-02-08",7.5
"27","2007-02-09",7.25
"28","2007-02-12",7
"29","2007-02-13",7
"30","2007-02-14",6.75
"31","2007-02-15",6.5
"32","2007-02-16",6.5
"33","2007-02-20",6.75
"34","2007-02-21",6.75
"35","2007-02-22",6.5
"36","2007-02-23",6.5
"37","2007-02-26",6.5
"38","2007-02-27",6.25
"39","2007-02-28",6.5
"40","2007-03-01",6.25
"41","2007-03-02",6.5
"42","2007-03-05",6
"43","2007-03-06",5.5
"44","2007-03-07",5.75
"45","2007-03-08",5.5
"46","2007-03-09",5.5
"47","2007-03-12",5.5
"48","2007-03-13",5.75
"49","2007-03-14",5.5
"50","2007-03-15",5.5
"51","2007-03-16",5.75
"52","2007-03-19",5.5
"53","2007-03-20",5.5
"54","2007-03-21",5.75
"55","2007-03-22",5.75
"56","2007-03-23",6.25
"57","2007-03-26",6.5
"58","2007-03-27",6.5
"59","2007-03-28",6.75
"60","2007-03-29",6.5
"61","2007-03-30",6.5
"62","2007-04-02",7
"63","2007-04-03",7
"64","2007-04-04",7
"65","2007-04-05",6.75
"66","2007-04-09",7
"67","2007-04-10",7.25
"68","2007-04-11",7
"69","2007-04-12",7
"70","2007-04-13",6.75
"71","2007-04-16",6.75
"72","2007-04-17",6.8
"73","2007-04-18",6.46
"74","2007-04-19",6.08
"75","2007-04-20",5.81
"76","2007-04-23",5.05
"77","2007-04-24",4.7
"78","2007-04-25",5.29
"79","2007-04-26",5.44
"80","2007-04-27",5.41
"81","2007-04-30",5.25
"82","2007-05-01",5.17
"83","2007-05-02",5.76
"84","2007-05-03",5.99
"85","2007-05-04",5.91
"86","2007-05-07",5.97
"87","2007-05-08",6.02
"88","2007-05-09",5.9
"89","2007-05-10",5.9
"90","2007-05-11",5.84
"91","2007-05-14",5.4
"92","2007-05-15",5.51
"93","2007-05-16",5.17
"94","2007-05-17",5.61
"95","2007-05-18",6.08
"96","2007-05-21",5.72
"97","2007-05-22",5.9
"98","2007-05-23",5.78
"99","2007-05-24",5.65
"100","2007-05-25",5.71
"101","2007-05-29",5.7
"102","2007-05-30",5.74
"103","2007-05-31",5.6
"104","2007-06-01",5.48
"105","2007-06-04",5.61
"106","2007-06-05",5.51
"107","2007-06-06",5.47
"108","2007-06-07",5.22
"109","2007-06-08",5.19
"110","2007-06-11",5.47
"111","2007-06-12",5.31
"112","2007-06-13",5.28
"113","2007-06-14",5.26
"114","2007-06-15",5.22
"115","2007-06-18",5.17
"116","2007-06-19",5.2
"117","2007-06-20",5.14
"118","2007-06-21",5.12
"119","2007-06-22",5.17
"120","2007-06-25",5.03
"121","2007-06-26",5.04
"122","2007-06-27",5.04
"123","2007-06-28",5
"124","2007-06-29",4.97
"125","2007-07-02",4.75
"126","2007-07-03",4.66
"127","2007-07-05",4.49
"128","2007-07-06",4.41
"129","2007-07-09",4.21
"130","2007-07-10",7.41
"131","2007-07-11",8.14
"132","2007-07-12",7.43
"133","2007-07-13",7.18
"134","2007-07-16",6.68
"135","2007-07-17",7.26
"136","2007-07-18",7.33
"137","2007-07-19",7
"138","2007-07-20",7.1
"139","2007-07-23",7.11
"140","2007-07-24",7.5
"141","2007-07-25",7.13
"142","2007-07-26",6.86
"143","2007-07-27",6.93
"144","2007-07-30",6.96
"145","2007-07-31",7.2
"146","2007-08-01",7.24
"147","2007-08-02",7
"148","2007-08-03",7.1
"149","2007-08-06",6.9
"150","2007-08-07",6.84
"151","2007-08-08",6.77
"152","2007-08-09",6.48
"153","2007-08-10",6.2
"154","2007-08-13",6.38
"155","2007-08-14",6.48
"156","2007-08-15",6.9
"157","2007-08-16",6.86
"158","2007-08-17",6.89
"159","2007-08-20",7.22
"160","2007-08-21",7.53
"161","2007-08-22",7.43
"162","2007-08-23",7.32
"163","2007-08-24",7.05
"164","2007-08-27",7.29
"165","2007-08-28",7.25
"166","2007-08-29",7.36
"167","2007-08-30",7.34
"168","2007-08-31",7.4
"169","2007-09-04",7.1
"170","2007-09-05",7.35
"171","2007-09-06",7.1
"172","2007-09-07",6.9
"173","2007-09-10",6.45
"174","2007-09-11",6.59
"175","2007-09-12",6.85
"176","2007-09-13",7.15
"177","2007-09-14",6.97
"178","2007-09-17",7.21
"179","2007-09-18",6.85
"180","2007-09-19",6.86
"181","2007-09-20",6.92
"182","2007-09-21",6.9
"183","2007-09-24",6.9
"184","2007-09-25",7.03
"185","2007-09-26",7.2
"186","2007-09-27",7.21
"187","2007-09-28",6.71
"188","2007-10-01",6.53
"189","2007-10-02",6.63
"190","2007-10-03",6.43
"191","2007-10-04",6.55
"192","2007-10-05",6.6
"193","2007-10-08",6.32
"194","2007-10-09",5.91
"195","2007-10-10",6
"196","2007-10-11",6
"197","2007-10-12",6.09
"198","2007-10-15",6.1
