"","date","FPH"
"1","2017-05-10",15.04
"2","2017-05-11",15.21
"3","2017-05-12",15.96
"4","2017-05-15",16.450001
"5","2017-05-16",16.120001
"6","2017-05-17",16
"7","2017-05-18",15.93
"8","2017-05-19",16
"9","2017-05-22",15.81
"10","2017-05-23",15.98
"11","2017-05-24",15.66
"12","2017-05-25",16.030001
"13","2017-05-26",15.72
"14","2017-05-30",15.69
"15","2017-05-31",15.61
"16","2017-06-01",15.65
"17","2017-06-02",15.7
"18","2017-06-05",15.5
"19","2017-06-06",15.37
"20","2017-06-07",15.14
"21","2017-06-08",14.98
"22","2017-06-09",15.25
"23","2017-06-12",14.85
"24","2017-06-13",14.72
"25","2017-06-14",14.47
"26","2017-06-15",14.38
"27","2017-06-16",14.25
"28","2017-06-19",14.55
"29","2017-06-20",14.61
"30","2017-06-21",14.56
"31","2017-06-22",14.55
"32","2017-06-23",14.51
"33","2017-06-26",14.53
"34","2017-06-27",14.33
"35","2017-06-28",14.86
"36","2017-06-29",14.73
"37","2017-06-30",14.76
"38","2017-07-03",14.79
"39","2017-07-05",14.37
"40","2017-07-06",14.1
"41","2017-07-07",14.01
"42","2017-07-10",14.52
"43","2017-07-11",14.3
"44","2017-07-12",14.35
"45","2017-07-13",14.54
"46","2017-07-14",14.25
"47","2017-07-17",14.42
"48","2017-07-18",14.51
"49","2017-07-19",14.47
"50","2017-07-20",14.55
"51","2017-07-21",14.57
"52","2017-07-24",14.3
"53","2017-07-25",14.53
"54","2017-07-26",14.65
"55","2017-07-27",14.65
"56","2017-07-28",14.62
"57","2017-07-31",14.9
"58","2017-08-01",15
"59","2017-08-02",14.9
"60","2017-08-03",14.77
"61","2017-08-04",15.11
"62","2017-08-07",15
"63","2017-08-08",15
"64","2017-08-09",14.53
"65","2017-08-10",13.81
"66","2017-08-11",13.75
"67","2017-08-14",14.01
"68","2017-08-15",14.05
"69","2017-08-16",14.25
"70","2017-08-17",14.11
"71","2017-08-18",14.11
"72","2017-08-21",14.1
"73","2017-08-22",14.02
"74","2017-08-23",14.46
"75","2017-08-24",14.28
"76","2017-08-25",13.99
