"","date","HRZN"
"1","2010-10-29",15.59
"2","2010-11-01",14.95
"3","2010-11-02",14.72
"4","2010-11-03",15.3
"5","2010-11-04",15.01
"6","2010-11-05",14.85
"7","2010-11-08",14.45
"8","2010-11-09",14
"9","2010-11-10",13.83
"10","2010-11-11",14.29
"11","2010-11-12",14.5
"12","2010-11-15",14.07
"13","2010-11-16",14.24
"14","2010-11-17",14.4
"15","2010-11-18",14.48
"16","2010-11-19",14.55
"17","2010-11-22",14.76
"18","2010-11-23",14.8
"19","2010-11-24",15.01
"20","2010-11-26",14.81
"21","2010-11-29",14.8
"22","2010-11-30",14.86
"23","2010-12-01",14.73
"24","2010-12-02",14.65
"25","2010-12-03",14.36
"26","2010-12-06",14.4
"27","2010-12-07",14.33
"28","2010-12-08",14.73
"29","2010-12-09",14.8
"30","2010-12-10",15.14
"31","2010-12-13",15.17
"32","2010-12-14",15.21
"33","2010-12-15",15.07
"34","2010-12-16",15.21
"35","2010-12-17",15.03
"36","2010-12-20",15.24
"37","2010-12-21",15.35
"38","2010-12-22",15.15
"39","2010-12-23",15.04
"40","2010-12-27",14.95
"41","2010-12-28",14.75
"42","2010-12-29",14.59
"43","2010-12-30",14.6
"44","2010-12-31",14.44
"45","2011-01-03",14.9
"46","2011-01-04",15.33
"47","2011-01-05",15.64
"48","2011-01-06",15.71
"49","2011-01-07",15.5
"50","2011-01-10",15.6
"51","2011-01-11",15.59
"52","2011-01-12",15.59
"53","2011-01-13",15.74
"54","2011-01-14",15.75
"55","2011-01-18",15.74
"56","2011-01-19",15.33
"57","2011-01-20",15.1
"58","2011-01-21",15.47
"59","2011-01-24",15.46
"60","2011-01-25",15.48
"61","2011-01-26",15.63
"62","2011-01-27",15.95
"63","2011-01-28",15.89
"64","2011-01-31",15.73
"65","2011-02-01",15.8
"66","2011-02-02",15.92
"67","2011-02-03",16
"68","2011-02-04",15.97
"69","2011-02-07",15.97
"70","2011-02-08",16
"71","2011-02-09",15.9
"72","2011-02-10",15.91
"73","2011-02-11",15.95
"74","2011-02-14",16.02
"75","2011-02-15",15.99
"76","2011-02-16",15.95
"77","2011-02-17",16
"78","2011-02-18",15.95
"79","2011-02-22",15.7
"80","2011-02-23",15.72
"81","2011-02-24",15.68
"82","2011-02-25",15.81
"83","2011-02-28",15.99
"84","2011-03-01",15.79
"85","2011-03-02",15.93
"86","2011-03-03",16.01
"87","2011-03-04",15.93
"88","2011-03-07",15.88
"89","2011-03-08",15.92
"90","2011-03-09",15.99
"91","2011-03-10",16.110001
"92","2011-03-11",16.049999
"93","2011-03-14",15.9
"94","2011-03-15",16.1
"95","2011-03-16",15.85
"96","2011-03-17",15.9
"97","2011-03-18",16.25
"98","2011-03-21",16.23
"99","2011-03-22",16.07
"100","2011-03-23",15.79
"101","2011-03-24",15.99
"102","2011-03-25",16
"103","2011-03-28",16.01
"104","2011-03-29",15.96
"105","2011-03-30",15.95
"106","2011-03-31",16.07
"107","2011-04-01",16.07
"108","2011-04-04",15.99
"109","2011-04-05",15.95
"110","2011-04-06",16.059999
"111","2011-04-07",16.139999
"112","2011-04-08",15.99
"113","2011-04-11",16.040001
"114","2011-04-12",15.86
"115","2011-04-13",15.87
"116","2011-04-14",15.79
"117","2011-04-15",15.87
"118","2011-04-18",15.73
"119","2011-04-19",15.61
"120","2011-04-20",15.44
"121","2011-04-21",15.5
"122","2011-04-25",15.81
"123","2011-04-26",15.82
"124","2011-04-27",15.96
"125","2011-04-28",16.01
"126","2011-04-29",16
"127","2011-05-02",16.120001
"128","2011-05-03",16.01
"129","2011-05-04",15.9
"130","2011-05-05",15.99
"131","2011-05-06",16.1
"132","2011-05-09",15.99
"133","2011-05-10",16
"134","2011-05-11",16.17
"135","2011-05-12",16.040001
"136","2011-05-13",15.93
"137","2011-05-16",15.78
"138","2011-05-17",15.63
"139","2011-05-18",15.76
"140","2011-05-19",15.87
"141","2011-05-20",15.7
"142","2011-05-23",15.73
"143","2011-05-24",15.74
"144","2011-05-25",15.6
"145","2011-05-26",15.76
"146","2011-05-27",15.75
"147","2011-05-31",15.85
"148","2011-06-01",15.85
"149","2011-06-02",15.82
"150","2011-06-03",15.9
"151","2011-06-06",15.8
"152","2011-06-07",15.79
