"","date","ICBK"
"1","2015-01-16",17
"2","2015-01-20",17
"3","2015-01-21",17.02
"4","2015-01-22",17.15
"5","2015-01-23",17.950001
"6","2015-01-26",19
"7","2015-01-27",19.1
"8","2015-01-28",19.030001
"9","2015-01-29",19.17
"10","2015-01-30",19.1
"11","2015-02-02",18.929001
"12","2015-02-03",19.1
"13","2015-02-04",19.02
"14","2015-02-05",19.120001
"15","2015-02-06",19
"16","2015-02-09",19.129999
"17","2015-02-10",19.139999
"18","2015-02-11",20.549999
"19","2015-02-12",20.469999
"20","2015-02-13",20.906
"21","2015-02-17",20.440001
"22","2015-02-18",20.49
"23","2015-02-19",20.299999
"24","2015-02-20",20.211
"25","2015-02-23",20.1
"26","2015-02-24",20.23
"27","2015-02-25",20.25
"28","2015-02-26",20.15
"29","2015-02-27",20.24
"30","2015-03-02",20.09
"31","2015-03-03",20.15
"32","2015-03-04",20.190001
"33","2015-03-05",19.715
"34","2015-03-06",19.610001
"35","2015-03-09",19.99
"36","2015-03-10",19.785
"37","2015-03-11",20.4
"38","2015-03-12",19.940001
"39","2015-03-13",19.709999
"40","2015-03-16",19.700001
"41","2015-03-17",19.709999
"42","2015-03-18",19.85
"43","2015-03-19",19.51
"44","2015-03-20",20.17
"45","2015-03-23",20.15
"46","2015-03-24",20.110001
"47","2015-03-25",20.1
"48","2015-03-26",20
"49","2015-03-27",20.25
"50","2015-03-30",20.33
"51","2015-03-31",19.68
"52","2015-04-01",20.16
"53","2015-04-02",20.129999
"54","2015-04-06",20.08
"55","2015-04-07",19.9
"56","2015-04-08",20.33
"57","2015-04-09",20.25
"58","2015-04-10",20.25
"59","2015-04-13",20.1
"60","2015-04-14",20.23
"61","2015-04-15",20.190001
"62","2015-04-16",20.08
"63","2015-04-17",20.23
"64","2015-04-20",20.23
"65","2015-04-21",20.049999
"66","2015-04-22",19.77
"67","2015-04-23",19.549999
"68","2015-04-24",19.690001
"69","2015-04-27",19.85
"70","2015-04-28",19.959999
"71","2015-04-29",19.959999
"72","2015-04-30",19.896999
"73","2015-05-01",19.629999
"74","2015-05-04",19.5
"75","2015-05-05",19.5
