"","date","DVAX"
"1","2007-01-03",84.699997
"2","2007-01-04",87.900002
"3","2007-01-05",85.400002
"4","2007-01-08",59.599998
"5","2007-01-09",57.799999
"6","2007-01-10",56.599998
"7","2007-01-11",60.200001
"8","2007-01-12",60.299999
"9","2007-01-16",59.400002
"10","2007-01-17",60.099998
"11","2007-01-18",60.700001
"12","2007-01-19",61.5
"13","2007-01-22",62
"14","2007-01-23",61.299999
"15","2007-01-24",61.599998
"16","2007-01-25",61.400002
"17","2007-01-26",61.799999
"18","2007-01-29",60.5
"19","2007-01-30",60.799999
"20","2007-01-31",60.700001
"21","2007-02-01",60.099998
"22","2007-02-02",61.900002
"23","2007-02-05",61.200001
"24","2007-02-06",58.200001
"25","2007-02-07",57.200001
"26","2007-02-08",60.200001
"27","2007-02-09",58.700001
"28","2007-02-12",57.200001
"29","2007-02-13",57.5
"30","2007-02-14",55.799999
"31","2007-02-15",57.200001
"32","2007-02-16",56
"33","2007-02-20",56.299999
"34","2007-02-21",56.400002
"35","2007-02-22",55.400002
"36","2007-02-23",55
"37","2007-02-26",51.700001
"38","2007-02-27",52.099998
"39","2007-02-28",50
"40","2007-03-01",49
"41","2007-03-02",46.900002
"42","2007-03-05",45.599998
"43","2007-03-06",47.099998
"44","2007-03-07",46.799999
"45","2007-03-08",47.700001
"46","2007-03-09",47.599998
"47","2007-03-12",48.900002
"48","2007-03-13",49.200001
"49","2007-03-14",48.900002
"50","2007-03-15",49
"51","2007-03-16",49.599998
"52","2007-03-19",51.400002
"53","2007-03-20",50.299999
"54","2007-03-21",50.200001
"55","2007-03-22",50
"56","2007-03-23",48.200001
"57","2007-03-26",47.700001
"58","2007-03-27",48
"59","2007-03-28",48
"60","2007-03-29",51.099998
"61","2007-03-30",54.400002
"62","2007-04-02",54.099998
"63","2007-04-03",52.700001
"64","2007-04-04",52.099998
"65","2007-04-05",53.799999
"66","2007-04-09",56.400002
"67","2007-04-10",53.799999
"68","2007-04-11",52.200001
"69","2007-04-12",52.099998
"70","2007-04-13",51.799999
"71","2007-04-16",52.099998
"72","2007-04-17",51.900002
"73","2007-04-18",50.900002
"74","2007-04-19",48.799999
"75","2007-04-20",49.400002
"76","2007-04-23",48.5
"77","2007-04-24",48.400002
"78","2007-04-25",48.5
"79","2007-04-26",48.299999
"80","2007-04-27",48
"81","2007-04-30",48.299999
"82","2007-05-01",50.400002
"83","2007-05-02",51.700001
"84","2007-05-03",49.099998
"85","2007-05-04",49.700001
"86","2007-05-07",48.099998
"87","2007-05-08",47.599998
"88","2007-05-09",47.099998
"89","2007-05-10",46.200001
"90","2007-05-11",44.5
"91","2007-05-14",46.099998
"92","2007-05-15",44.200001
"93","2007-05-16",46.5
"94","2007-05-17",46.299999
"95","2007-05-18",45.700001
