"","date","PRPB"
"1","2020-09-21",10.1
"2","2020-09-22",10.04
"3","2020-09-23",10.02
"4","2020-09-24",10.2
"5","2020-09-25",10.2
"6","2020-09-28",10
"7","2020-09-29",10.13
"8","2020-09-30",10.05
"9","2020-10-01",10
"10","2020-10-02",10
"11","2020-10-05",9.97
"12","2020-10-06",9.98
"13","2020-10-07",10.005
"14","2020-10-08",9.98
"15","2020-10-09",10
"16","2020-10-12",9.99
"17","2020-10-13",10
"18","2020-10-14",9.97
"19","2020-10-15",9.97
"20","2020-10-16",9.94
"21","2020-10-19",9.94
"22","2020-10-20",9.92
"23","2020-10-21",9.93
"24","2020-10-22",9.9
"25","2020-10-23",9.88
"26","2020-10-26",9.85
"27","2020-10-27",9.83
"28","2020-10-28",9.77
"29","2020-10-29",9.805
"30","2020-10-30",9.83
"31","2020-11-02",9.76
"32","2020-11-03",9.79
"33","2020-11-04",9.78
"34","2020-11-05",9.86
"35","2020-11-06",9.82
"36","2020-11-09",9.8
"37","2020-11-10",9.82
"38","2020-11-11",9.78
"39","2020-11-12",9.86
"40","2020-11-13",9.88
"41","2020-11-16",9.9
"42","2020-11-17",9.89
"43","2020-11-18",9.85
"44","2020-11-19",9.8
"45","2020-11-20",9.88
"46","2020-11-23",9.9
"47","2020-11-24",9.96
"48","2020-11-25",10.02
"49","2020-11-27",10.08
