"","date","AVEO"
"1","2010-03-12",89.900002
"2","2010-03-15",90
"3","2010-03-16",88.599998
"4","2010-03-17",88.300003
"5","2010-03-18",88.400002
"6","2010-03-19",87.5
"7","2010-03-22",86
"8","2010-03-23",85.699997
"9","2010-03-24",86
"10","2010-03-25",85.5
"11","2010-03-26",88.099998
"12","2010-03-29",89.800003
"13","2010-03-30",88.699997
"14","2010-03-31",90
"15","2010-04-01",90.699997
"16","2010-04-05",93.400002
"17","2010-04-06",92.300003
"18","2010-04-07",93.900002
"19","2010-04-08",93.099998
"20","2010-04-09",93.5
"21","2010-04-12",95
"22","2010-04-13",88.099998
"23","2010-04-14",88.800003
"24","2010-04-15",88.900002
"25","2010-04-16",89
"26","2010-04-19",88.599998
"27","2010-04-20",93.900002
"28","2010-04-21",96.300003
"29","2010-04-22",90
"30","2010-04-23",90.5
"31","2010-04-26",90.400002
"32","2010-04-27",90.300003
"33","2010-04-28",88.199997
"34","2010-04-29",93.099998
"35","2010-04-30",94.599998
"36","2010-05-03",87.900002
"37","2010-05-04",87.199997
"38","2010-05-05",85.599998
"39","2010-05-06",79
"40","2010-05-07",78.199997
"41","2010-05-10",79.199997
"42","2010-05-11",81
"43","2010-05-12",87.599998
"44","2010-05-13",86.300003
"45","2010-05-14",85
"46","2010-05-17",82
"47","2010-05-18",82.300003
"48","2010-05-19",81
"49","2010-05-20",79
"50","2010-05-21",81.5
"51","2010-05-24",78.900002
"52","2010-05-25",79.800003
"53","2010-05-26",76.5
"54","2010-05-27",80.199997
"55","2010-05-28",80.099998
"56","2010-06-01",78.199997
"57","2010-06-02",82.599998
"58","2010-06-03",80
"59","2010-06-04",76.400002
"60","2010-06-07",79.800003
"61","2010-06-08",77
"62","2010-06-09",75.099998
"63","2010-06-10",74.5
"64","2010-06-11",74.199997
"65","2010-06-14",74
"66","2010-06-15",72.199997
"67","2010-06-16",71.900002
"68","2010-06-17",74.400002
"69","2010-06-18",72
"70","2010-06-21",72.099998
"71","2010-06-22",70
