"","date","FULC"
"1","2019-07-18",13.5
"2","2019-07-19",12.55
"3","2019-07-22",12.8
"4","2019-07-23",13.01
"5","2019-07-24",13.25
"6","2019-07-25",13.25
"7","2019-07-26",14.14
"8","2019-07-29",14.89
"9","2019-07-30",14.75
"10","2019-07-31",13.85
"11","2019-08-01",14.74
"12","2019-08-02",12.84
"13","2019-08-05",12.45
"14","2019-08-06",12.49
"15","2019-08-07",12.05
"16","2019-08-08",12.5
"17","2019-08-09",11.62
"18","2019-08-12",11.15
"19","2019-08-13",11.31
"20","2019-08-14",10.15
"21","2019-08-15",9.26
"22","2019-08-16",9.04
"23","2019-08-19",10.96
"24","2019-08-20",11.49
"25","2019-08-21",11.36
"26","2019-08-22",11.61
"27","2019-08-23",10.14
"28","2019-08-26",11.03
"29","2019-08-27",10.87
"30","2019-08-28",10.09
"31","2019-08-29",10.92
"32","2019-08-30",10.76
"33","2019-09-03",10.41
"34","2019-09-04",10.99
"35","2019-09-05",11.43
"36","2019-09-06",11.97
"37","2019-09-09",11.64
"38","2019-09-10",11.2
"39","2019-09-11",11.41
"40","2019-09-12",10.85
"41","2019-09-13",10
"42","2019-09-16",9.13
"43","2019-09-17",9.45
"44","2019-09-18",8.89
"45","2019-09-19",8.55
"46","2019-09-20",8.67
"47","2019-09-23",8.68
"48","2019-09-24",7.76
"49","2019-09-25",7.55
"50","2019-09-26",7.69
"51","2019-09-27",7.6
"52","2019-09-30",6.64
"53","2019-10-01",6.7
"54","2019-10-02",6.59
"55","2019-10-03",6.48
"56","2019-10-04",6.67
"57","2019-10-07",6.46
"58","2019-10-08",5.77
"59","2019-10-09",5.26
"60","2019-10-10",5.33
"61","2019-10-11",5.29
"62","2019-10-14",5.1
"63","2019-10-15",4.96
"64","2019-10-16",4.77
"65","2019-10-17",4.72
"66","2019-10-18",4.57
"67","2019-10-21",4.46
"68","2019-10-22",5.17
"69","2019-10-23",5.84
"70","2019-10-24",5.81
"71","2019-10-25",5.95
"72","2019-10-28",6.06
"73","2019-10-29",6.35
"74","2019-10-30",6.33
"75","2019-10-31",6.27
"76","2019-11-01",6.11
"77","2019-11-04",6.09
"78","2019-11-05",6.37
"79","2019-11-06",6.41
"80","2019-11-07",6.56
"81","2019-11-08",7.02
"82","2019-11-11",7.92
"83","2019-11-12",7.88
"84","2019-11-13",7.9
"85","2019-11-14",7.64
"86","2019-11-15",8
"87","2019-11-18",8.07
"88","2019-11-19",10.09
"89","2019-11-20",12.16
"90","2019-11-21",12.65
"91","2019-11-22",14.02
"92","2019-11-25",15.01
"93","2019-11-26",13.52
"94","2019-11-27",13.89
"95","2019-11-29",12.35
"96","2019-12-02",12.28
"97","2019-12-03",12.29
"98","2019-12-04",11.58
"99","2019-12-05",10.96
"100","2019-12-06",12.17
"101","2019-12-09",12.36
"102","2019-12-10",12.91
"103","2019-12-11",13.53
"104","2019-12-12",13.5
"105","2019-12-13",11.76
"106","2019-12-16",12.36
"107","2019-12-17",11.33
"108","2019-12-18",13.07
"109","2019-12-19",13.38
"110","2019-12-20",14.28
"111","2019-12-23",16.48
"112","2019-12-24",17.790001
"113","2019-12-26",18.139999
"114","2019-12-27",16.950001
"115","2019-12-30",17.450001
"116","2019-12-31",16.639999
"117","2020-01-02",15.86
"118","2020-01-03",15.94
"119","2020-01-06",16.559999
"120","2020-01-07",16.77
"121","2020-01-08",18.15
"122","2020-01-09",18.27
"123","2020-01-10",18.51
"124","2020-01-13",21.26
"125","2020-01-14",18.540001
"126","2020-01-15",18.360001
"127","2020-01-16",18.879999
"128","2020-01-17",19.889999
"129","2020-01-21",18.98
"130","2020-01-22",17.530001
"131","2020-01-23",16.870001
"132","2020-01-24",17
"133","2020-01-27",18.129999
"134","2020-01-28",17.4
"135","2020-01-29",18.23
"136","2020-01-30",17.889999
"137","2020-01-31",17.24
"138","2020-02-03",17.120001
"139","2020-02-04",17
"140","2020-02-05",16.860001
"141","2020-02-06",16.719999
"142","2020-02-07",17.969999
"143","2020-02-10",16.200001
"144","2020-02-11",16.200001
"145","2020-02-12",15.68
"146","2020-02-13",14.96
"147","2020-02-14",15.2
"148","2020-02-18",18.5
"149","2020-02-19",17.190001
"150","2020-02-20",18.959999
"151","2020-02-21",19.219999
"152","2020-02-24",16.4
"153","2020-02-25",16.17
"154","2020-02-26",18.290001
"155","2020-02-27",18.389999
"156","2020-02-28",18.92
"157","2020-03-02",18.059999
"158","2020-03-03",17.700001
"159","2020-03-04",18
"160","2020-03-05",18.5
"161","2020-03-06",17.6
"162","2020-03-09",14.34
"163","2020-03-10",13
"164","2020-03-11",11.1
"165","2020-03-12",10.41
"166","2020-03-13",16.030001
"167","2020-03-16",10.45
"168","2020-03-17",11.65
"169","2020-03-18",10.5
"170","2020-03-19",11
"171","2020-03-20",11.03
"172","2020-03-23",9.49
"173","2020-03-24",9.61
"174","2020-03-25",11.35
