"","date","RDHL"
"1","2013-01-07",11.1
"2","2013-01-08",11.1
"3","2013-01-09",11.1
"4","2013-01-10",11.1
"5","2013-01-11",11.1
"6","2013-01-14",11.1
"7","2013-01-15",11.1
"8","2013-01-16",11.1
"9","2013-01-17",11.1
"10","2013-01-18",11.6
"11","2013-01-22",11.6
"12","2013-01-23",11
"13","2013-01-24",11
"14","2013-01-25",11
"15","2013-01-28",11
"16","2013-01-29",11
"17","2013-01-30",11
"18","2013-01-31",13.6
"19","2013-02-01",12
"20","2013-02-04",12.29
"21","2013-02-05",12.29
"22","2013-02-06",12.29
"23","2013-02-07",12.29
"24","2013-02-08",11.74
"25","2013-02-11",11.42
"26","2013-02-12",11.42
"27","2013-02-13",10.71
"28","2013-02-14",10.71
"29","2013-02-15",10.71
"30","2013-02-19",11.5
"31","2013-02-20",11.5
"32","2013-02-21",11.5
"33","2013-02-22",11.45
"34","2013-02-25",11.45
"35","2013-02-26",11
"36","2013-02-27",10.75
"37","2013-02-28",10.75
"38","2013-03-01",10.75
"39","2013-03-04",10.75
"40","2013-03-05",10.75
"41","2013-03-06",10.75
"42","2013-03-07",10.75
"43","2013-03-08",10.75
"44","2013-03-11",10.75
"45","2013-03-12",10.75
"46","2013-03-13",10.75
"47","2013-03-14",10.017
"48","2013-03-15",10.017
"49","2013-03-18",10.017
"50","2013-03-19",10.017
"51","2013-03-20",10.017
"52","2013-03-21",9.963
"53","2013-03-22",9.963
"54","2013-03-25",8.458
"55","2013-03-26",8.458
"56","2013-03-27",11.95
"57","2013-03-28",11
"58","2013-04-01",11
"59","2013-04-02",11
"60","2013-04-03",11
"61","2013-04-04",11
"62","2013-04-05",10.45
"63","2013-04-08",10.4
"64","2013-04-09",10.65
"65","2013-04-10",10
"66","2013-04-11",11.7
"67","2013-04-12",10.31
"68","2013-04-15",10.326
"69","2013-04-16",10.326
"70","2013-04-17",10
"71","2013-04-18",10
"72","2013-04-19",10
"73","2013-04-22",10
"74","2013-04-23",10
"75","2013-04-24",10
"76","2013-04-25",10
"77","2013-04-26",10
"78","2013-04-29",10.463
"79","2013-04-30",10.05
"80","2013-05-01",10.05
"81","2013-05-02",10.05
"82","2013-05-03",10.5
"83","2013-05-06",10.75
"84","2013-05-07",10.75
"85","2013-05-08",10.75
"86","2013-05-09",11.5
"87","2013-05-10",11.94
"88","2013-05-13",11
"89","2013-05-14",11.7
"90","2013-05-15",10.75
"91","2013-05-16",11.21
"92","2013-05-17",11.1
"93","2013-05-20",11.1
"94","2013-05-21",11.1
"95","2013-05-22",10.64
"96","2013-05-23",11.49
"97","2013-05-24",10.7
"98","2013-05-28",11
"99","2013-05-29",10.96
"100","2013-05-30",11.3
"101","2013-05-31",10.7
"102","2013-06-03",10.814
"103","2013-06-04",10.814
"104","2013-06-05",10.814
"105","2013-06-06",10.76
"106","2013-06-07",10.05
"107","2013-06-10",10.7
"108","2013-06-11",10.41
"109","2013-06-12",10.15
"110","2013-06-13",10.15
"111","2013-06-14",10.15
"112","2013-06-17",10.15
"113","2013-06-18",10.7
"114","2013-06-19",10.55
"115","2013-06-20",10.06
"116","2013-06-21",10.06
"117","2013-06-24",10.5
"118","2013-06-25",10.35
"119","2013-06-26",10.35
"120","2013-06-27",10.35
"121","2013-06-28",10.35
"122","2013-07-01",10.35
"123","2013-07-02",10.35
"124","2013-07-03",10.5
"125","2013-07-05",10.391
"126","2013-07-08",8.31
"127","2013-07-09",9.83
"128","2013-07-10",10.1
"129","2013-07-11",10.1
"130","2013-07-12",9.65
"131","2013-07-15",10.02
"132","2013-07-16",10
"133","2013-07-17",10
"134","2013-07-18",10
"135","2013-07-19",10
"136","2013-07-22",9.9
"137","2013-07-23",9.72
"138","2013-07-24",9.72
"139","2013-07-25",9.72
"140","2013-07-26",9.72
"141","2013-07-29",10.09
"142","2013-07-30",10.02
"143","2013-07-31",10.24
"144","2013-08-01",10.5
"145","2013-08-02",10.4
"146","2013-08-05",10.21
"147","2013-08-06",10.37
"148","2013-08-07",10.369
"149","2013-08-08",10.16
"150","2013-08-09",10.16
"151","2013-08-12",10.5
"152","2013-08-13",10.5
"153","2013-08-14",10.5
"154","2013-08-15",10.45
"155","2013-08-16",10.01
"156","2013-08-19",10.5
"157","2013-08-20",10.49
