"","date","TUFN"
"1","2019-04-11",19.1
"2","2019-04-12",21
"3","2019-04-15",20.6
"4","2019-04-16",21.25
"5","2019-04-17",22.5
"6","2019-04-18",22.030001
"7","2019-04-22",22.84
"8","2019-04-23",23
"9","2019-04-24",24.27
"10","2019-04-25",24.24
"11","2019-04-26",23
"12","2019-04-29",22.450001
"13","2019-04-30",22.42
"14","2019-05-01",21.6
"15","2019-05-02",21.42
"16","2019-05-03",22.299999
"17","2019-05-06",22.799999
"18","2019-05-07",22.98
"19","2019-05-08",22.389999
"20","2019-05-09",21.799999
"21","2019-05-10",22.129999
"22","2019-05-13",21.5
"23","2019-05-14",22.27
"24","2019-05-15",23.790001
"25","2019-05-16",23.389999
"26","2019-05-17",23.059999
"27","2019-05-20",22.24
"28","2019-05-21",22.540001
"29","2019-05-22",22.629999
"30","2019-05-23",21.5
"31","2019-05-24",21.52
"32","2019-05-28",21.540001
"33","2019-05-29",21.85
"34","2019-05-30",22.290001
"35","2019-05-31",22.5
"36","2019-06-03",22.18
"37","2019-06-04",21.809999
"38","2019-06-05",21.440001
"39","2019-06-06",21.5
"40","2019-06-07",21.690001
"41","2019-06-10",22.860001
"42","2019-06-11",22.700001
"43","2019-06-12",22.17
"44","2019-06-13",21.35
"45","2019-06-14",21.459999
"46","2019-06-17",21.469999
"47","2019-06-18",21.5
"48","2019-06-19",22.190001
"49","2019-06-20",24.4
"50","2019-06-21",27.940001
"51","2019-06-24",26.719999
"52","2019-06-25",26.540001
"53","2019-06-26",26.33
"54","2019-06-27",26.200001
"55","2019-06-28",25.889999
"56","2019-07-01",26.74
"57","2019-07-02",27.15
"58","2019-07-03",27.309999
"59","2019-07-05",27.709999
"60","2019-07-08",27.33
"61","2019-07-09",28.370001
"62","2019-07-10",28.99
"63","2019-07-11",29.030001
"64","2019-07-12",29.68
"65","2019-07-15",29.74
"66","2019-07-16",30.51
"67","2019-07-17",30.059999
"68","2019-07-18",29.65
"69","2019-07-19",26.17
"70","2019-07-22",23.049999
"71","2019-07-23",21.73
"72","2019-07-24",22.76
"73","2019-07-25",21.790001
"74","2019-07-26",22.24
"75","2019-07-29",21.9
"76","2019-07-30",22.01
"77","2019-07-31",21.83
"78","2019-08-01",21.83
"79","2019-08-02",20.879999
"80","2019-08-05",19.66
"81","2019-08-06",19.280001
"82","2019-08-07",19.51
"83","2019-08-08",19.5
"84","2019-08-09",18.48
"85","2019-08-12",18.219999
