"","date","SGRY"
"1","2015-09-30",19
"2","2015-10-01",18.110001
"3","2015-10-02",18.43
"4","2015-10-05",18.790001
"5","2015-10-06",18.959999
"6","2015-10-07",18.690001
"7","2015-10-08",18.65
"8","2015-10-09",18.01
"9","2015-10-12",18.139999
"10","2015-10-13",18.690001
"11","2015-10-14",18.77
"12","2015-10-15",18.540001
"13","2015-10-16",18.969999
"14","2015-10-19",19.16
"15","2015-10-20",19.809999
"16","2015-10-21",19.040001
"17","2015-10-22",17.52
"18","2015-10-23",17.83
"19","2015-10-26",18.629999
"20","2015-10-27",18.790001
"21","2015-10-28",17.889999
"22","2015-10-29",16.870001
"23","2015-10-30",16.82
"24","2015-11-02",16.540001
"25","2015-11-03",17.370001
"26","2015-11-04",16.780001
"27","2015-11-05",17.23
"28","2015-11-06",18.809999
"29","2015-11-09",18.93
"30","2015-11-10",19.059999
"31","2015-11-11",18.940001
"32","2015-11-12",18.33
"33","2015-11-13",18.9
"34","2015-11-16",18.85
"35","2015-11-17",18.879999
"36","2015-11-18",18.469999
"37","2015-11-19",18.200001
"38","2015-11-20",18.629999
"39","2015-11-23",18.959999
"40","2015-11-24",19.07
"41","2015-11-25",19.48
"42","2015-11-27",19.49
"43","2015-11-30",19.110001
"44","2015-12-01",18.620001
"45","2015-12-02",18.93
"46","2015-12-03",19.280001
"47","2015-12-04",19.610001
"48","2015-12-07",19.969999
"49","2015-12-08",20.15
"50","2015-12-09",20.780001
"51","2015-12-10",21.309999
"52","2015-12-11",21.32
"53","2015-12-14",20.85
"54","2015-12-15",20.639999
"55","2015-12-16",20.799999
"56","2015-12-17",20.709999
"57","2015-12-18",19.27
"58","2015-12-21",20.18
"59","2015-12-22",20.950001
"60","2015-12-23",20.440001
"61","2015-12-24",20.58
"62","2015-12-28",20.73
"63","2015-12-29",20.889999
"64","2015-12-30",21.17
"65","2015-12-31",20.49
"66","2016-01-04",19.49
"67","2016-01-05",19.66
"68","2016-01-06",20.24
"69","2016-01-07",18.85
"70","2016-01-08",17.459999
"71","2016-01-11",17.41
"72","2016-01-12",17.77
"73","2016-01-13",17.129999
"74","2016-01-14",17.620001
"75","2016-01-15",17.879999
"76","2016-01-19",17.42
"77","2016-01-20",18.200001
"78","2016-01-21",17.709999
"79","2016-01-22",17.24
"80","2016-01-25",16.469999
"81","2016-01-26",16.530001
"82","2016-01-27",16.48
"83","2016-01-28",15.37
"84","2016-01-29",16.110001
"85","2016-02-01",16.75
"86","2016-02-02",16.65
"87","2016-02-03",16.639999
"88","2016-02-04",16.77
"89","2016-02-05",16.450001
"90","2016-02-08",15.5
"91","2016-02-09",15.61
"92","2016-02-10",15.67
"93","2016-02-11",15.06
"94","2016-02-12",14.56
"95","2016-02-16",13.5
"96","2016-02-17",12.64
"97","2016-02-18",12.1
"98","2016-02-19",13.82
"99","2016-02-22",14.01
"100","2016-02-23",13.87
"101","2016-02-24",13.68
"102","2016-02-25",13.51
"103","2016-02-26",13.1
"104","2016-02-29",13.13
"105","2016-03-01",13.56
"106","2016-03-02",13.98
"107","2016-03-03",13.53
"108","2016-03-04",13.84
"109","2016-03-07",13.89
"110","2016-03-08",13.57
"111","2016-03-09",13.66
"112","2016-03-10",13.77
"113","2016-03-11",16
"114","2016-03-14",15.58
"115","2016-03-15",14.69
"116","2016-03-16",15.28
"117","2016-03-17",14.94
"118","2016-03-18",15.31
"119","2016-03-21",14.79
"120","2016-03-22",14.59
"121","2016-03-23",14.26
"122","2016-03-24",14.15
"123","2016-03-28",13.96
"124","2016-03-29",14.4
"125","2016-03-30",14.02
"126","2016-03-31",13.26
"127","2016-04-01",12.85
"128","2016-04-04",12.65
"129","2016-04-05",12.52
"130","2016-04-06",13.16
"131","2016-04-07",12.77
"132","2016-04-08",12.52
"133","2016-04-11",12.26
"134","2016-04-12",12.65
"135","2016-04-13",13.01
"136","2016-04-14",14.32
"137","2016-04-15",14.55
"138","2016-04-18",15
"139","2016-04-19",14.96
"140","2016-04-20",15.36
"141","2016-04-21",16.43
"142","2016-04-22",16.66
"143","2016-04-25",17.02
"144","2016-04-26",16.559999
"145","2016-04-27",16.74
"146","2016-04-28",16.58
"147","2016-04-29",16.290001
"148","2016-05-02",16.389999
"149","2016-05-03",15.97
"150","2016-05-04",15.06
"151","2016-05-05",14.79
"152","2016-05-06",13.91
"153","2016-05-09",14.39
"154","2016-05-10",14.39
"155","2016-05-11",14.36
"156","2016-05-12",14.33
"157","2016-05-13",14.18
"158","2016-05-16",14.36
"159","2016-05-17",14.14
"160","2016-05-18",14.36
"161","2016-05-19",14.25
"162","2016-05-20",14.4
"163","2016-05-23",13.98
"164","2016-05-24",14.2
"165","2016-05-25",14.24
"166","2016-05-26",13.64
"167","2016-05-27",14.05
"168","2016-05-31",13.755
"169","2016-06-01",14.53
"170","2016-06-02",14.24
"171","2016-06-03",14.17
"172","2016-06-06",14.37
"173","2016-06-07",14.39
"174","2016-06-08",14.64
"175","2016-06-09",15.11
"176","2016-06-10",15.27
"177","2016-06-13",15.48
"178","2016-06-14",15.98
"179","2016-06-15",16.91
"180","2016-06-16",16.030001
"181","2016-06-17",15.65
"182","2016-06-20",15.74
"183","2016-06-21",15.85
"184","2016-06-22",15.7
"185","2016-06-23",15.63
"186","2016-06-24",16.16
"187","2016-06-27",16.1
"188","2016-06-28",16.690001
"189","2016-06-29",17.790001
"190","2016-06-30",17.9
"191","2016-07-01",18.17
"192","2016-07-05",17.370001
"193","2016-07-06",17.59
"194","2016-07-07",17.889999
"195","2016-07-08",17.9
"196","2016-07-11",17.91
"197","2016-07-12",18.139999
"198","2016-07-13",17.309999
"199","2016-07-14",16.84
"200","2016-07-15",16.9
"201","2016-07-18",16.959999
"202","2016-07-19",16.9
"203","2016-07-20",17.85
"204","2016-07-21",17.67
"205","2016-07-22",17.75
"206","2016-07-25",17.99
"207","2016-07-26",17.799999
"208","2016-07-27",18.08
"209","2016-07-28",18.200001
"210","2016-07-29",18.129999
"211","2016-08-01",17.76
"212","2016-08-02",16.83
"213","2016-08-03",16.83
"214","2016-08-04",16.370001
"215","2016-08-05",16.780001
"216","2016-08-08",16.68
"217","2016-08-09",16.43
"218","2016-08-10",16.84
"219","2016-08-11",17.360001
