"","date","TEAM"
"195","2016-09-16",30
"196","2016-09-19",30.290001
"197","2016-09-20",30.26
"198","2016-09-21",31.9
"199","2016-09-22",31.360001
"200","2016-09-23",30.75
"201","2016-09-26",30.02
"202","2016-09-27",29.780001
"203","2016-09-28",30
"204","2016-09-29",30.32
"205","2016-09-30",29.969999
"206","2016-10-03",29.190001
"207","2016-10-04",28.719999
"208","2016-10-05",29.08
"209","2016-10-06",28.85
"210","2016-10-07",28.27
"211","2016-10-10",28.459999
"212","2016-10-11",28.41
"213","2016-10-12",28
"214","2016-10-13",28.049999
"215","2016-10-14",28.42
"216","2016-10-17",28.43
"217","2016-10-18",28.91
"218","2016-10-19",29.030001
"219","2016-10-20",28.700001
"220","2016-10-21",29.040001
"221","2016-10-24",29.25
"222","2016-10-25",29.139999
"223","2016-10-26",28.77
"224","2016-10-27",28.309999
"225","2016-10-28",27.200001
"226","2016-10-31",26.860001
"227","2016-11-01",27.190001
"228","2016-11-02",27.129999
"229","2016-11-03",26.940001
"230","2016-11-04",26.9
"231","2016-11-07",27.440001
"232","2016-11-08",27.42
"233","2016-11-09",27.32
"234","2016-11-10",27.469999
"235","2016-11-11",27.49
"236","2016-11-14",27.59
"237","2016-11-15",27.91
"238","2016-11-16",28.549999
"239","2016-11-17",29.360001
"240","2016-11-18",28.76
"241","2016-11-21",27.91
"242","2016-11-22",27.34
"243","2016-11-23",27.41
"244","2016-11-25",27.42
"245","2016-11-28",27.219999
"246","2016-11-29",27.610001
"247","2016-11-30",27.139999
"248","2016-12-01",26.120001
"249","2016-12-02",25.23
"250","2016-12-05",25.59
"251","2016-12-06",25.58
"252","2016-12-07",26.08
"253","2016-12-08",26.530001
"254","2016-12-09",26.549999
"255","2016-12-12",25.639999
"256","2016-12-13",25.280001
"257","2016-12-14",24.889999
"258","2016-12-15",24.65
"259","2016-12-16",24.190001
"260","2016-12-19",24.07
"261","2016-12-20",24.610001
"262","2016-12-21",24.33
"263","2016-12-22",24.049999
"264","2016-12-23",24.129999
"265","2016-12-27",24.309999
"266","2016-12-28",24.25
"267","2016-12-29",24.26
"268","2016-12-30",24.08
"269","2017-01-03",24.6
"270","2017-01-04",25.15
"271","2017-01-05",24.969999
"272","2017-01-06",24.719999
"273","2017-01-09",25.030001
"274","2017-01-10",25.24
"275","2017-01-11",26
"276","2017-01-12",26.809999
"277","2017-01-13",26.91
"278","2017-01-17",26.629999
"279","2017-01-18",27.200001
"280","2017-01-19",27.42
"281","2017-01-20",28.030001
"282","2017-01-23",27.639999
"283","2017-01-24",27.93
"284","2017-01-25",27.85
"285","2017-01-26",27.77
