"","date","HWC"
"190","2007-10-03",40.990002
"191","2007-10-04",41.459999
"192","2007-10-05",42.66
"193","2007-10-08",42.700001
"194","2007-10-09",43.049999
"195","2007-10-10",43.16
"196","2007-10-11",43.150002
"197","2007-10-12",42.259998
"198","2007-10-15",41.970001
"199","2007-10-16",40.490002
"200","2007-10-17",37.66
"201","2007-10-18",37
"202","2007-10-19",36.619999
"203","2007-10-22",36.290001
"204","2007-10-23",35.959999
"205","2007-10-24",36.5
"206","2007-10-25",36.740002
"207","2007-10-26",37.720001
"208","2007-10-29",37.259998
"209","2007-10-30",37.150002
"210","2007-10-31",38.029999
"211","2007-11-01",36.16
"212","2007-11-02",35.369999
"213","2007-11-05",35.310001
"214","2007-11-06",35.619999
"215","2007-11-07",33.619999
"216","2007-11-08",34.790001
"217","2007-11-09",36.650002
"218","2007-11-12",37.240002
"219","2007-11-13",38.880001
"220","2007-11-14",39.169998
"221","2007-11-15",39.080002
"222","2007-11-16",38.939999
"223","2007-11-19",37.84
"224","2007-11-20",37.759998
"225","2007-11-21",37.119999
"226","2007-11-23",38.349998
"227","2007-11-26",36.240002
"228","2007-11-27",37.52
"229","2007-11-28",39.330002
"230","2007-11-29",38.66
"231","2007-11-30",39.209999
"232","2007-12-03",38.029999
"233","2007-12-04",37.610001
"234","2007-12-05",37.580002
"235","2007-12-06",38.049999
"236","2007-12-07",38.34
"237","2007-12-10",38.5
"238","2007-12-11",37.029999
"239","2007-12-12",37.439999
"240","2007-12-13",37
"241","2007-12-14",35.900002
"242","2007-12-17",35.669998
"243","2007-12-18",36.93
"244","2007-12-19",36.740002
"245","2007-12-20",38.849998
"246","2007-12-21",40.139999
"247","2007-12-24",40.279999
"248","2007-12-26",40.310001
"249","2007-12-27",38.330002
"250","2007-12-28",38.509998
"251","2007-12-31",38.200001
"252","2008-01-02",36.880001
"253","2008-01-03",36.540001
"254","2008-01-04",35.360001
"255","2008-01-07",36.43
"256","2008-01-08",34.349998
"257","2008-01-09",34.68
"258","2008-01-10",35.450001
"259","2008-01-11",34.560001
"260","2008-01-14",34.98
"261","2008-01-15",34.59
"262","2008-01-16",36.549999
"263","2008-01-17",35.369999
"264","2008-01-18",34.790001
"265","2008-01-22",35.740002
"266","2008-01-23",40.509998
"267","2008-01-24",39.740002
"268","2008-01-25",38.599998
"269","2008-01-28",39.900002
"270","2008-01-29",40.09
"271","2008-01-30",39.23
"272","2008-01-31",41.5
"273","2008-02-01",42.220001
"274","2008-02-04",41.200001
"275","2008-02-05",40.509998
"276","2008-02-06",39.709999
"277","2008-02-07",41.18
"278","2008-02-08",40.509998
"279","2008-02-11",39.110001
"280","2008-02-12",38.810001
"281","2008-02-13",39.389999
"282","2008-02-14",38.299999
"283","2008-02-15",38.009998
"284","2008-02-19",37.77
"285","2008-02-20",38.639999
"286","2008-02-21",37.990002
"287","2008-02-22",38.720001
"288","2008-02-25",39.48
"289","2008-02-26",40.200001
"290","2008-02-27",39.650002
"291","2008-02-28",38.380001
"292","2008-02-29",37.040001
"293","2008-03-03",36.970001
"294","2008-03-04",36.779999
"295","2008-03-05",36.139999
"296","2008-03-06",35.849998
"297","2008-03-07",36.27
"298","2008-03-10",35.84
"299","2008-03-11",39.029999
"300","2008-03-12",38.970001
"301","2008-03-13",39.400002
"302","2008-03-14",37.919998
"303","2008-03-17",38.900002
"304","2008-03-18",41.18
"305","2008-03-19",40.470001
"306","2008-03-20",43.290001
"307","2008-03-24",42.84
"308","2008-03-25",43.349998
"309","2008-03-26",42.77
"310","2008-03-27",41.810001
"311","2008-03-28",41.07
"312","2008-03-31",42.02
"313","2008-04-01",43.830002
"314","2008-04-02",44.490002
"315","2008-04-03",43.720001
"316","2008-04-04",41.98
"317","2008-04-07",41.5
"318","2008-04-08",40.950001
"319","2008-04-09",40.119999
"320","2008-04-10",40.290001
"321","2008-04-11",38.93
"322","2008-04-14",38.709999
"323","2008-04-15",39.389999
"324","2008-04-16",41.5
"325","2008-04-17",41.389999
"326","2008-04-18",41.490002
"327","2008-04-21",40
"328","2008-04-22",39.619999
"329","2008-04-23",39.48
"330","2008-04-24",41.27
"331","2008-04-25",41.740002
"332","2008-04-28",42.169998
"333","2008-04-29",41.869999
"334","2008-04-30",41.27
"335","2008-05-01",43.389999
"336","2008-05-02",43.02
"337","2008-05-05",42.740002
"338","2008-05-06",43.610001
"339","2008-05-07",42.73
"340","2008-05-08",42.73
"341","2008-05-09",43.57
"342","2008-05-12",44.610001
"343","2008-05-13",44.009998
"344","2008-05-14",44.040001
"345","2008-05-15",44.759998
"346","2008-05-16",44.23
"347","2008-05-19",43.540001
"348","2008-05-20",43.52
"349","2008-05-21",43.529999
"350","2008-05-22",44.330002
"351","2008-05-23",43.200001
"352","2008-05-27",44.889999
"353","2008-05-28",43.220001
"354","2008-05-29",44.450001
"355","2008-05-30",44.490002
"356","2008-06-02",43.869999
"357","2008-06-03",44.139999
"358","2008-06-04",44.689999
"359","2008-06-05",45.68
"360","2008-06-06",43.889999
"361","2008-06-09",42.990002
"362","2008-06-10",43.900002
"363","2008-06-11",42.59
"364","2008-06-12",42.669998
"365","2008-06-13",43.18
"366","2008-06-16",44.130001
"367","2008-06-17",42.389999
"368","2008-06-18",41.439999
"369","2008-06-19",41.5
"370","2008-06-20",41.5
"371","2008-06-23",40.48
"372","2008-06-24",40.84
"373","2008-06-25",41.32
"374","2008-06-26",40.900002
"375","2008-06-27",40.779999
"376","2008-06-30",39.290001
"377","2008-07-01",39.709999
"378","2008-07-02",37.880001
"379","2008-07-03",36.970001
