"","date","SNOA"
"1","2007-01-25",2457
"2","2007-01-26",2485.350098
"3","2007-01-29",2438.100098
"4","2007-01-30",2457
"5","2007-01-31",2416.050049
"6","2007-02-01",2305.800049
"7","2007-02-02",2368.800049
"8","2007-02-05",2340.449951
"9","2007-02-06",2293.199951
"10","2007-02-07",2302.649902
"11","2007-02-08",2290.050049
"12","2007-02-09",2214.449951
"13","2007-02-12",2145.149902
"14","2007-02-13",2252.25
"15","2007-02-14",2334.149902
"16","2007-02-15",2378.25
"17","2007-02-16",2359.350098
"18","2007-02-20",2453.850098
"19","2007-02-21",2422.350098
"20","2007-02-22",2331
"21","2007-02-23",2520
"22","2007-02-26",2520
"23","2007-02-27",2441.25
"24","2007-02-28",2425.5
"25","2007-03-01",2384.550049
"26","2007-03-02",2264.850098
"27","2007-03-05",2082.149902
"28","2007-03-06",2123.100098
"29","2007-03-07",2208.149902
"30","2007-03-08",2217.600098
"31","2007-03-09",2205
"32","2007-03-12",2085.300049
"33","2007-03-13",2129.399902
"34","2007-03-14",2123.100098
"35","2007-03-15",2079
"36","2007-03-16",2113.649902
"37","2007-03-19",2047.5
"38","2007-03-20",2003.400024
"39","2007-03-21",1902.599976
"40","2007-03-22",2186.100098
"41","2007-03-23",2060.100098
"42","2007-03-26",2126.25
"43","2007-03-27",2006.550049
"44","2007-03-28",1921.5
"45","2007-03-29",1921.5
"46","2007-03-30",1874.25
"47","2007-04-02",1855.349976
"48","2007-04-03",1795.5
"49","2007-04-04",1811.25
"50","2007-04-05",1912.050049
"51","2007-04-09",1924.650024
"52","2007-04-10",1908.900024
"53","2007-04-11",1890
"54","2007-04-12",1874.25
"55","2007-04-13",1864.800049
"56","2007-04-16",1905.75
"57","2007-04-17",1905.75
"58","2007-04-18",1874.25
"59","2007-04-19",1934.099976
"60","2007-04-20",1893.150024
"61","2007-04-23",1890
"62","2007-04-24",1874.25
"63","2007-04-25",1890
"64","2007-04-26",1984.5
"65","2007-04-27",2000.25
"66","2007-04-30",1930.949951
"67","2007-05-01",1971.900024
"68","2007-05-02",1978.199951
"69","2007-05-03",2097.899902
"70","2007-05-04",2126.25
"71","2007-05-07",2123.100098
"72","2007-05-08",2268
"73","2007-05-09",2242.800049
"74","2007-05-10",2176.649902
