"","date","SBPH"
"1","2016-05-06",11.1
"2","2016-05-09",10.86
"3","2016-05-10",10.7
"4","2016-05-11",10.6
"5","2016-05-12",10.85
"6","2016-05-13",10.65
"7","2016-05-16",10.87
"8","2016-05-17",10.73
"9","2016-05-18",10.85
"10","2016-05-19",10.97
"11","2016-05-20",10.95
"12","2016-05-23",10.64
"13","2016-05-24",10.99
"14","2016-05-25",11.21
"15","2016-05-26",10.85
"16","2016-05-27",11.25
"17","2016-05-31",11.22
"18","2016-06-01",10.76
"19","2016-06-02",10.86
"20","2016-06-03",11.2
"21","2016-06-06",11
"22","2016-06-07",10.92
"23","2016-06-08",10.9
"24","2016-06-09",11.5
"25","2016-06-10",10.981
"26","2016-06-13",10.9
"27","2016-06-14",11.38
"28","2016-06-15",10.83
"29","2016-06-16",10.48
"30","2016-06-17",10.35
"31","2016-06-20",10.78
"32","2016-06-21",10.57
"33","2016-06-22",10.5
"34","2016-06-23",10.38
"35","2016-06-24",9.85
"36","2016-06-27",9.5
"37","2016-06-28",9.3
"38","2016-06-29",9.35
"39","2016-06-30",9.45
"40","2016-07-01",9.3
"41","2016-07-05",9.341
"42","2016-07-06",9.28
"43","2016-07-07",8.91
"44","2016-07-08",8
"45","2016-07-11",8.95
"46","2016-07-12",9
"47","2016-07-13",9
"48","2016-07-14",8.13
"49","2016-07-15",8.187
"50","2016-07-18",7.999
"51","2016-07-19",8
"52","2016-07-20",8.4
"53","2016-07-21",8.4
"54","2016-07-22",8.85
"55","2016-07-25",9
"56","2016-07-26",8.53
"57","2016-07-27",8.65
"58","2016-07-28",9.047
"59","2016-07-29",9.889
"60","2016-08-01",9.31
"61","2016-08-02",8.81
"62","2016-08-03",9.592
"63","2016-08-04",10.26
"64","2016-08-05",10.77
"65","2016-08-08",10.8
"66","2016-08-09",10.771
"67","2016-08-10",10.92
"68","2016-08-11",10.79
"69","2016-08-12",11.327
"70","2016-08-15",11.25
"71","2016-08-16",11
"72","2016-08-17",11.01
"73","2016-08-18",11.02
"74","2016-08-19",11.2
"75","2016-08-22",11.485
"76","2016-08-23",11.48
"77","2016-08-24",11.873
"78","2016-08-25",12.76
"79","2016-08-26",12.5
"80","2016-08-29",12.49
"81","2016-08-30",12.74
"82","2016-08-31",12.05
"83","2016-09-01",12.402
"84","2016-09-02",11.7
"85","2016-09-06",12.72
"86","2016-09-07",12.15
"87","2016-09-08",12.47
"88","2016-09-09",12.5
"89","2016-09-12",12.1
"90","2016-09-13",12.59
"91","2016-09-14",12.86
"92","2016-09-15",12.9
"93","2016-09-16",12.22
"94","2016-09-19",11.95
"95","2016-09-20",11.8
"96","2016-09-21",12
"97","2016-09-22",11.65
"98","2016-09-23",12.7
"99","2016-09-26",12.97
"100","2016-09-27",11.9
"101","2016-09-28",12.39
"102","2016-09-29",12.34
"103","2016-09-30",12
"104","2016-10-03",11.84
"105","2016-10-04",11.8
"106","2016-10-05",11.85
"107","2016-10-06",11.85
"108","2016-10-07",11.961
"109","2016-10-10",11.96
"110","2016-10-11",11.95
"111","2016-10-12",11.63
"112","2016-10-13",11.94
"113","2016-10-14",11.89
"114","2016-10-17",10.8
"115","2016-10-18",10.959
"116","2016-10-19",10.8
"117","2016-10-20",10.723
"118","2016-10-21",10.45
"119","2016-10-24",10
"120","2016-10-25",10.15
"121","2016-10-26",10
"122","2016-10-27",10.25
"123","2016-10-28",10.2
"124","2016-10-31",10.075
"125","2016-11-01",10.05
"126","2016-11-02",9.97
"127","2016-11-03",9.72
"128","2016-11-04",9.58
"129","2016-11-07",7.85
"130","2016-11-08",7.96
"131","2016-11-09",8.84
"132","2016-11-10",8.01
"133","2016-11-11",8.164
"134","2016-11-14",8.425
"135","2016-11-15",8.8
"136","2016-11-16",8.763
"137","2016-11-17",8.99
"138","2016-11-18",8.85
"139","2016-11-21",8.92
"140","2016-11-22",8.84
