"","date","ESRT"
"1","2013-10-02",13.1
"2","2013-10-03",13.2
"3","2013-10-04",13.15
"4","2013-10-07",13.29
"5","2013-10-08",13.28
"6","2013-10-09",13.27
"7","2013-10-10",13.38
"8","2013-10-11",13.6
"9","2013-10-14",13.63
"10","2013-10-15",13.68
"11","2013-10-16",13.67
"12","2013-10-17",13.9
"13","2013-10-18",13.95
"14","2013-10-21",13.94
"15","2013-10-22",13.81
"16","2013-10-23",14
"17","2013-10-24",14.09
"18","2013-10-25",14.55
"19","2013-10-28",14.4
"20","2013-10-29",14.17
"21","2013-10-30",13.94
"22","2013-10-31",14.15
"23","2013-11-01",14.01
"24","2013-11-04",14.1
"25","2013-11-05",13.96
"26","2013-11-06",14
"27","2013-11-07",13.73
"28","2013-11-08",13.51
"29","2013-11-11",13.51
"30","2013-11-12",13.65
"31","2013-11-13",14.04
"32","2013-11-14",14.23
"33","2013-11-15",14.2
"34","2013-11-18",14.01
"35","2013-11-19",13.94
"36","2013-11-20",14.01
"37","2013-11-21",14.06
"38","2013-11-22",13.87
"39","2013-11-25",13.98
"40","2013-11-26",14.08
"41","2013-11-27",14.43
"42","2013-11-29",14.45
"43","2013-12-02",14.28
"44","2013-12-03",14.01
"45","2013-12-04",14.46
"46","2013-12-05",14.49
"47","2013-12-06",14.39
"48","2013-12-09",14.6
"49","2013-12-10",14.46
"50","2013-12-11",14.05
"51","2013-12-12",14.1
"52","2013-12-13",14.37
"53","2013-12-16",14.49
"54","2013-12-17",14.58
"55","2013-12-18",14.98
"56","2013-12-19",14.95
"57","2013-12-20",15.55
"58","2013-12-23",15.39
"59","2013-12-24",15.35
"60","2013-12-26",15.32
"61","2013-12-27",15.22
"62","2013-12-30",15.28
"63","2013-12-31",15.3
"64","2014-01-02",14.93
"65","2014-01-03",14.86
"66","2014-01-06",15
"67","2014-01-07",15.08
"68","2014-01-08",15.15
"69","2014-01-09",15.1
"70","2014-01-10",15.21
"71","2014-01-13",14.95
"72","2014-01-14",14.91
"73","2014-01-15",15
"74","2014-01-16",15
"75","2014-01-17",14.87
"76","2014-01-21",14.98
"77","2014-01-22",14.86
"78","2014-01-23",14.75
"79","2014-01-24",14.68
"80","2014-01-27",14.59
"81","2014-01-28",14.65
"82","2014-01-29",14.46
"83","2014-01-30",14.63
"84","2014-01-31",14.66
"85","2014-02-03",14.34
"86","2014-02-04",14.35
"87","2014-02-05",14.19
"88","2014-02-06",14.47
"89","2014-02-07",14.65
"90","2014-02-10",14.55
"91","2014-02-11",14.65
"92","2014-02-12",14.64
"93","2014-02-13",14.57
"94","2014-02-14",14.67
"95","2014-02-18",14.86
"96","2014-02-19",14.95
"97","2014-02-20",14.93
"98","2014-02-21",14.96
"99","2014-02-24",14.95
"100","2014-02-25",15.01
"101","2014-02-26",15.03
"102","2014-02-27",15.14
"103","2014-02-28",15.32
"104","2014-03-03",15.1
"105","2014-03-04",15.35
"106","2014-03-05",15.29
"107","2014-03-06",15.09
"108","2014-03-07",14.94
"109","2014-03-10",14.93
"110","2014-03-11",14.95
"111","2014-03-12",14.81
"112","2014-03-13",14.84
"113","2014-03-14",14.81
"114","2014-03-17",14.92
"115","2014-03-18",14.98
"116","2014-03-19",14.88
"117","2014-03-20",14.81
"118","2014-03-21",15.1
"119","2014-03-24",15.06
"120","2014-03-25",15.03
"121","2014-03-26",14.85
"122","2014-03-27",15
"123","2014-03-28",15.04
"124","2014-03-31",15.11
"125","2014-04-01",15.33
"126","2014-04-02",15.33
"127","2014-04-03",15.16
"128","2014-04-04",15.07
"129","2014-04-07",15.08
"130","2014-04-08",14.92
"131","2014-04-09",14.94
"132","2014-04-10",14.9
"133","2014-04-11",14.9
"134","2014-04-14",14.82
"135","2014-04-15",14.84
"136","2014-04-16",15.08
"137","2014-04-17",15.13
"138","2014-04-21",15.25
"139","2014-04-22",15.44
"140","2014-04-23",15.39
"141","2014-04-24",15.33
"142","2014-04-25",15.2
"143","2014-04-28",15.33
"144","2014-04-29",15.25
"145","2014-04-30",15.3
"146","2014-05-01",15.35
"147","2014-05-02",15.57
"148","2014-05-05",15.33
