"","date","ARAY"
"1","2007-02-08",28.469999
"2","2007-02-09",29.25
"3","2007-02-12",28.549999
"4","2007-02-13",27.610001
"5","2007-02-14",26.620001
"6","2007-02-15",26.4
"7","2007-02-16",27.25
"8","2007-02-20",27.65
"9","2007-02-21",27.950001
"10","2007-02-22",27.27
"11","2007-02-23",27.01
"12","2007-02-26",26.65
"13","2007-02-27",25.76
"14","2007-02-28",25.48
"15","2007-03-01",25.200001
"16","2007-03-02",24.25
"17","2007-03-05",24.32
"18","2007-03-06",24.389999
"19","2007-03-07",24.610001
"20","2007-03-08",24.860001
"21","2007-03-09",25.870001
"22","2007-03-12",25.5
"23","2007-03-13",24.75
"24","2007-03-14",24.799999
"25","2007-03-15",24.51
"26","2007-03-16",23.6
"27","2007-03-19",24.08
"28","2007-03-20",21.75
"29","2007-03-21",21.18
"30","2007-03-22",22.389999
"31","2007-03-23",22.700001
"32","2007-03-26",22.23
"33","2007-03-27",22.85
"34","2007-03-28",22.85
"35","2007-03-29",22.309999
"36","2007-03-30",22.24
"37","2007-04-02",22.030001
"38","2007-04-03",22.41
"39","2007-04-04",22.49
"40","2007-04-05",23.24
"41","2007-04-09",24.030001
"42","2007-04-10",23.58
"43","2007-04-11",23.360001
"44","2007-04-12",23.780001
"45","2007-04-13",23.959999
"46","2007-04-16",24.4
"47","2007-04-17",24.309999
"48","2007-04-18",23.58
"49","2007-04-19",23.280001
"50","2007-04-20",23.209999
"51","2007-04-23",23.43
"52","2007-04-24",23.799999
"53","2007-04-25",22.99
"54","2007-04-26",23.110001
"55","2007-04-27",23.09
"56","2007-04-30",23.6
"57","2007-05-01",23.280001
"58","2007-05-02",25.620001
"59","2007-05-03",25.49
"60","2007-05-04",25.690001
"61","2007-05-07",26.120001
"62","2007-05-08",27.379999
"63","2007-05-09",26.83
"64","2007-05-10",25
"65","2007-05-11",24.950001
"66","2007-05-14",24.709999
"67","2007-05-15",24
"68","2007-05-16",24.299999
"69","2007-05-17",23.25
"70","2007-05-18",23.73
"71","2007-05-21",24.34
"72","2007-05-22",24.02
"73","2007-05-23",24.379999
"74","2007-05-24",24.24
"75","2007-05-25",24.139999
"76","2007-05-29",23.83
"77","2007-05-30",23.68
"78","2007-05-31",23
"79","2007-06-01",23.33
"80","2007-06-04",23.379999
"81","2007-06-05",23.41
"82","2007-06-06",23.5
"83","2007-06-07",23.370001
"84","2007-06-08",23.690001
"85","2007-06-11",22.4
"86","2007-06-12",21.84
"87","2007-06-13",21.57
"88","2007-06-14",21.99
"89","2007-06-15",22.610001
"90","2007-06-18",22.129999
"91","2007-06-19",22.700001
"92","2007-06-20",22.540001
"93","2007-06-21",22.860001
"94","2007-06-22",22.549999
"95","2007-06-25",22.200001
"96","2007-06-26",21.940001
"97","2007-06-27",21.83
"98","2007-06-28",22.83
"99","2007-06-29",22.18
"100","2007-07-02",22.860001
"101","2007-07-03",22.23
"102","2007-07-05",21.5
"103","2007-07-06",22.24
"104","2007-07-09",22.5
"105","2007-07-10",21.42
"106","2007-07-11",21.049999
"107","2007-07-12",20.18
"108","2007-07-13",20.190001
"109","2007-07-16",20
"110","2007-07-17",19
"111","2007-07-18",19
"112","2007-07-19",18.09
"113","2007-07-20",18.4
"114","2007-07-23",18.85
"115","2007-07-24",18.459999
"116","2007-07-25",18.92
"117","2007-07-26",18.15
"118","2007-07-27",18.049999
"119","2007-07-30",18.790001
"120","2007-07-31",18.91
"121","2007-08-01",19.110001
"122","2007-08-02",19.52
"123","2007-08-03",18.82
"124","2007-08-06",19.860001
"125","2007-08-07",20.18
"126","2007-08-08",20.709999
"127","2007-08-09",20.83
"128","2007-08-10",20.74
"129","2007-08-13",20.23
"130","2007-08-14",19.83
"131","2007-08-15",19.42
"132","2007-08-16",18.07
"133","2007-08-17",13.45
"134","2007-08-20",13.75
"135","2007-08-21",13.54
"136","2007-08-22",13.18
"137","2007-08-23",12.8
"138","2007-08-24",13.18
"139","2007-08-27",13.04
"140","2007-08-28",13.1
"141","2007-08-29",13.4
"142","2007-08-30",13.73
"143","2007-08-31",13.83
"144","2007-09-04",14.22
"145","2007-09-05",14.82
"146","2007-09-06",14.11
"147","2007-09-07",13.55
"148","2007-09-10",13.6
"149","2007-09-11",13.65
"150","2007-09-12",13.55
"151","2007-09-13",13.55
"152","2007-09-14",13.67
"153","2007-09-17",13.68
"154","2007-09-18",13.79
"155","2007-09-19",14.15
"156","2007-09-20",13.86
"157","2007-09-21",14.58
"158","2007-09-24",14.99
"159","2007-09-25",16.09
"160","2007-09-26",17.950001
"161","2007-09-27",17.639999
"162","2007-09-28",17.459999
"163","2007-10-01",17.799999
"164","2007-10-02",17.85
"165","2007-10-03",18.49
"166","2007-10-04",17.93
"167","2007-10-05",17.35
"168","2007-10-08",17.66
"169","2007-10-09",17.629999
"170","2007-10-10",17.389999
"171","2007-10-11",17.75
"172","2007-10-12",18.24
"173","2007-10-15",17.870001
"174","2007-10-16",17.99
"175","2007-10-17",18.299999
"176","2007-10-18",18.370001
"177","2007-10-19",17.969999
"178","2007-10-22",17.99
"179","2007-10-23",17.780001
"180","2007-10-24",17.530001
"181","2007-10-25",17.719999
"182","2007-10-26",17.5
"183","2007-10-29",18.91
"184","2007-10-30",20.27
"185","2007-10-31",20.1
"186","2007-11-01",19.459999
"187","2007-11-02",19.120001
"188","2007-11-05",20.280001
"189","2007-11-06",20.1
"190","2007-11-07",19.02
"191","2007-11-08",17.66
"192","2007-11-09",17
"193","2007-11-12",15.9
"194","2007-11-13",16.940001
"195","2007-11-14",16.1
"196","2007-11-15",15.3
"197","2007-11-16",15.3
"198","2007-11-19",15.38
"199","2007-11-20",15.02
"200","2007-11-21",15.05
"201","2007-11-23",15.2
"202","2007-11-26",15.01
"203","2007-11-27",15.06
"204","2007-11-28",16.33
"205","2007-11-29",16.32
"206","2007-11-30",16.610001
"207","2007-12-03",16.450001
"208","2007-12-04",15.95
"209","2007-12-05",16.1
"210","2007-12-06",15.96
"211","2007-12-07",15.71
"212","2007-12-10",15.32
"213","2007-12-11",15.2
"214","2007-12-12",14.95
"215","2007-12-13",14.83
"216","2007-12-14",14.57
"217","2007-12-17",14.32
"218","2007-12-18",15.26
"219","2007-12-19",15.67
"220","2007-12-20",15.03
"221","2007-12-21",14.87
"222","2007-12-24",15.07
"223","2007-12-26",15.46
"224","2007-12-27",15.04
"225","2007-12-28",15.01
"226","2007-12-31",15.22
"227","2008-01-02",15.1
"228","2008-01-03",16.48
