"","date","RNDB"
"1","2016-07-01",12.19
"2","2016-07-05",12.28
"3","2016-07-06",12.286
"4","2016-07-07",12.29
"5","2016-07-08",12.27
"6","2016-07-11",12.335
"7","2016-07-12",12.35
"8","2016-07-13",12.36
"9","2016-07-14",12.41
"10","2016-07-15",12.37
"11","2016-07-18",12.65
"12","2016-07-19",12.5
"13","2016-07-20",12.65
"14","2016-07-21",12.7
"15","2016-07-22",12.7
"16","2016-07-25",12.66
"17","2016-07-26",12.695
"18","2016-07-27",12.69
"19","2016-07-28",12.75
"20","2016-07-29",12.76
"21","2016-08-01",12.8
"22","2016-08-02",12.75
"23","2016-08-03",12.8
"24","2016-08-04",12.77
"25","2016-08-05",12.789
"26","2016-08-08",12.75
"27","2016-08-09",12.79
"28","2016-08-10",12.75
"29","2016-08-11",12.79
"30","2016-08-12",12.777
"31","2016-08-15",12.76
"32","2016-08-16",12.75
"33","2016-08-17",12.75
"34","2016-08-18",12.76
"35","2016-08-19",12.81
"36","2016-08-22",12.76
"37","2016-08-23",12.76
"38","2016-08-24",12.81
"39","2016-08-25",12.81
"40","2016-08-26",12.83
"41","2016-08-29",12.75
"42","2016-08-30",12.77
"43","2016-08-31",12.79
"44","2016-09-01",12.7
"45","2016-09-02",12.79
"46","2016-09-06",12.96
"47","2016-09-07",12.98
"48","2016-09-08",13.08
"49","2016-09-09",13.05
"50","2016-09-12",13.08
"51","2016-09-13",13.17
"52","2016-09-14",13.15
"53","2016-09-15",13.07
"54","2016-09-16",12.64
"55","2016-09-19",13.05
"56","2016-09-20",13.07
"57","2016-09-21",13.1
"58","2016-09-22",13.02
"59","2016-09-23",13.17
"60","2016-09-26",13.23
"61","2016-09-27",13.34
"62","2016-09-28",13.31
"63","2016-09-29",13.49
"64","2016-09-30",13.63
"65","2016-10-03",13.94
"66","2016-10-04",13.9
"67","2016-10-05",13.89
"68","2016-10-06",13.86
"69","2016-10-07",13.89
"70","2016-10-10",13.93
"71","2016-10-11",13.91
"72","2016-10-12",13.92
"73","2016-10-13",13.73
"74","2016-10-14",13.74
"75","2016-10-17",13.89
"76","2016-10-18",13.87
"77","2016-10-19",13.92
"78","2016-10-20",13.87
"79","2016-10-21",13.87
"80","2016-10-24",13.85
"81","2016-10-25",13.77
"82","2016-10-26",13.79
"83","2016-10-27",13.8
"84","2016-10-28",13.93
"85","2016-10-31",13.9
"86","2016-11-01",13.848
"87","2016-11-02",13.86
"88","2016-11-03",13.844
"89","2016-11-04",13.76
"90","2016-11-07",13.85
"91","2016-11-08",13.81
"92","2016-11-09",13.848
"93","2016-11-10",13.95
"94","2016-11-11",13.953
"95","2016-11-14",14.35
"96","2016-11-15",14.356
"97","2016-11-16",14.84
"98","2016-11-17",14.48
"99","2016-11-18",14.91
"100","2016-11-21",14.9
"101","2016-11-22",14.837
"102","2016-11-23",14.9
"103","2016-11-25",15.128
"104","2016-11-28",14.92
"105","2016-11-29",14.91
"106","2016-11-30",14.772
"107","2016-12-01",14.73
"108","2016-12-02",14.62
"109","2016-12-05",14.77
"110","2016-12-06",14.75
"111","2016-12-07",14.89
"112","2016-12-08",14.8
"113","2016-12-09",14.77
"114","2016-12-12",14.7
"115","2016-12-13",14.8
"116","2016-12-14",14.87
"117","2016-12-15",15.25
"118","2016-12-16",15.32
"119","2016-12-19",15.74
"120","2016-12-20",15.88
"121","2016-12-21",15.73
"122","2016-12-22",15.71
"123","2016-12-23",16.23
"124","2016-12-27",16.209999
"125","2016-12-28",16.25
"126","2016-12-29",16.315001
"127","2016-12-30",16.120001
"128","2017-01-03",15.55
"129","2017-01-04",15.53
"130","2017-01-05",15.64
"131","2017-01-06",15.66
"132","2017-01-09",15.32
"133","2017-01-10",15.65
"134","2017-01-11",15.883
"135","2017-01-12",15.5
"136","2017-01-13",15.4
"137","2017-01-17",14.93
"138","2017-01-18",15.14
"139","2017-01-19",14.96
"140","2017-01-20",14.6
"141","2017-01-23",14.705
"142","2017-01-24",14.799
"143","2017-01-25",14.75
"144","2017-01-26",15
"145","2017-01-27",14.97
"146","2017-01-30",14.85
"147","2017-01-31",14.99
"148","2017-02-01",14.84
"149","2017-02-02",14.906
"150","2017-02-03",14.96
"151","2017-02-06",14.948
"152","2017-02-07",15
"153","2017-02-08",15
"154","2017-02-09",14.82
"155","2017-02-10",14.8
"156","2017-02-13",15
"157","2017-02-14",15
"158","2017-02-15",15.02
"159","2017-02-16",15.023
"160","2017-02-17",15.25
"161","2017-02-21",15.25
"162","2017-02-22",15.11
"163","2017-02-23",15.07
"164","2017-02-24",14.87
"165","2017-02-27",15.25
"166","2017-02-28",15.25
"167","2017-03-01",15.25
"168","2017-03-02",15.45
"169","2017-03-03",15.47
"170","2017-03-06",15.45
"171","2017-03-07",15.3
"172","2017-03-08",15.25
"173","2017-03-09",15.26
"174","2017-03-10",15.25
"175","2017-03-13",15.26
"176","2017-03-14",15.6
"177","2017-03-15",15.37
"178","2017-03-16",15.37
"179","2017-03-17",15.6
"180","2017-03-20",15.72
"181","2017-03-21",15.65
"182","2017-03-22",15.51
"183","2017-03-23",15.5
"184","2017-03-24",15.5
"185","2017-03-27",15.51
"186","2017-03-28",15.5
"187","2017-03-29",16
"188","2017-03-30",15.55
"189","2017-03-31",15.5
"190","2017-04-03",15.17
"191","2017-04-04",15.2
"192","2017-04-05",15.547
"193","2017-04-06",15.26
"194","2017-04-07",15.26
"195","2017-04-10",15.38
"196","2017-04-11",15.05
"197","2017-04-12",15.35
"198","2017-04-13",15.35
"199","2017-04-17",15.3
"200","2017-04-18",15.21
"201","2017-04-19",15.5
"202","2017-04-20",15.5
"203","2017-04-21",15.5
"204","2017-04-24",15.425
"205","2017-04-25",15.475
"206","2017-04-26",15.32
"207","2017-04-27",15.32
"208","2017-04-28",15.223
"209","2017-05-01",15.2
"210","2017-05-02",15.2
"211","2017-05-03",15
"212","2017-05-04",14.8
"213","2017-05-05",15.201
"214","2017-05-08",15
"215","2017-05-09",14.85
"216","2017-05-10",15.085
"217","2017-05-11",14.95
"218","2017-05-12",15.06
"219","2017-05-15",15.123
"220","2017-05-16",15.123
"221","2017-05-17",15.17
"222","2017-05-18",15.17
"223","2017-05-19",15.15
"224","2017-05-22",15.076
"225","2017-05-23",14.86
"226","2017-05-24",14.93
"227","2017-05-25",14.899
"228","2017-05-26",14.8
"229","2017-05-30",14.65
"230","2017-05-31",14.93
