"","date","COLM"
"192","2007-10-05",26.965
"193","2007-10-08",26.885
"194","2007-10-09",26.290001
"195","2007-10-10",25.9
"196","2007-10-11",25.440001
"197","2007-10-12",25.610001
"198","2007-10-15",25.76
"199","2007-10-16",25.715
"200","2007-10-17",25.575001
"201","2007-10-18",25.629999
"202","2007-10-19",25.035
"203","2007-10-22",25.385
"204","2007-10-23",25.344999
"205","2007-10-24",25.645
"206","2007-10-25",25.620001
"207","2007-10-26",24.075001
"208","2007-10-29",23.74
"209","2007-10-30",24.225
"210","2007-10-31",24.375
"211","2007-11-01",23.23
"212","2007-11-02",23.26
"213","2007-11-05",23.040001
"214","2007-11-06",23.405001
"215","2007-11-07",22.35
"216","2007-11-08",23.299999
"217","2007-11-09",24.190001
"218","2007-11-12",24.219999
"219","2007-11-13",25.385
"220","2007-11-14",25.860001
"221","2007-11-15",24.715
"222","2007-11-16",23.965
"223","2007-11-19",23.290001
"224","2007-11-20",23.83
"225","2007-11-21",23.1
"226","2007-11-23",23.969999
"227","2007-11-26",23.83
"228","2007-11-27",23.725
"229","2007-11-28",24.34
"230","2007-11-29",24.254999
"231","2007-11-30",24.004999
"232","2007-12-03",23.674999
"233","2007-12-04",22.99
"234","2007-12-05",23.440001
"235","2007-12-06",23.945
"236","2007-12-07",23.879999
"237","2007-12-10",23.995001
"238","2007-12-11",23.065001
"239","2007-12-12",22.969999
"240","2007-12-13",22.76
"241","2007-12-14",22.35
"242","2007-12-17",21.775
"243","2007-12-18",22.365
"244","2007-12-19",22.6
"245","2007-12-20",22.67
"246","2007-12-21",23.275
"247","2007-12-24",23.305
"248","2007-12-26",22.735001
"249","2007-12-27",22.035
"250","2007-12-28",22.41
"251","2007-12-31",22.045
"252","2008-01-02",21.844999
"253","2008-01-03",21.18
"254","2008-01-04",20.17
"255","2008-01-07",20.389999
"256","2008-01-08",19.700001
"257","2008-01-09",19.035
"258","2008-01-10",20.275
"259","2008-01-11",19.23
"260","2008-01-14",19.184999
"261","2008-01-15",17.9
"262","2008-01-16",18.795
"263","2008-01-17",18.6
"264","2008-01-18",18.045
"265","2008-01-22",18.799999
"266","2008-01-23",20.995001
"267","2008-01-24",20.245001
"268","2008-01-25",19.764999
"269","2008-01-28",20.465
"270","2008-01-29",20.875
"271","2008-01-30",20.844999
"272","2008-01-31",21.825001
"273","2008-02-01",20.52
"274","2008-02-04",20.700001
"275","2008-02-05",20.295
"276","2008-02-06",20.41
"277","2008-02-07",20.799999
"278","2008-02-08",20.565001
"279","2008-02-11",20.719999
"280","2008-02-12",21.424999
"281","2008-02-13",21.59
"282","2008-02-14",21.184999
"283","2008-02-15",21.445
"284","2008-02-19",21.23
"285","2008-02-20",21.344999
"286","2008-02-21",21.285
"287","2008-02-22",21.815001
"288","2008-02-25",22.030001
"289","2008-02-26",22.26
"290","2008-02-27",22.08
"291","2008-02-28",21.635
"292","2008-02-29",20.665001
"293","2008-03-03",20.775
"294","2008-03-04",21.365
"295","2008-03-05",21.334999
"296","2008-03-06",20.450001
"297","2008-03-07",20.450001
"298","2008-03-10",20.51
"299","2008-03-11",21.344999
"300","2008-03-12",21.785
"301","2008-03-13",21.959999
"302","2008-03-14",21.07
"303","2008-03-17",20.98
"304","2008-03-18",21.485001
"305","2008-03-19",21.575001
"306","2008-03-20",22.370001
"307","2008-03-24",22.35
"308","2008-03-25",22.334999
"309","2008-03-26",22.25
"310","2008-03-27",21.514999
"311","2008-03-28",21.025
"312","2008-03-31",22.014999
"313","2008-04-01",22.504999
"314","2008-04-02",23.129999
"315","2008-04-03",23.040001
"316","2008-04-04",23.01
"317","2008-04-07",21.805
"318","2008-04-08",21.434999
"319","2008-04-09",20.51
"320","2008-04-10",21.33
"321","2008-04-11",20.790001
"322","2008-04-14",20.629999
"323","2008-04-15",20.455
"324","2008-04-16",20.695
"325","2008-04-17",20.805
"326","2008-04-18",21.575001
"327","2008-04-21",21.705
"328","2008-04-22",21.09
"329","2008-04-23",20.844999
"330","2008-04-24",21.045
"331","2008-04-25",21.450001
"332","2008-04-28",21.115
"333","2008-04-29",21.275
"334","2008-04-30",20.98
"335","2008-05-01",21.065001
"336","2008-05-02",21.16
"337","2008-05-05",20.77
"338","2008-05-06",20.635
"339","2008-05-07",20.5
"340","2008-05-08",20.584999
"341","2008-05-09",20.605
"342","2008-05-12",20.93
"343","2008-05-13",21.129999
"344","2008-05-14",21.445
"345","2008-05-15",21.495001
"346","2008-05-16",21.485001
"347","2008-05-19",21.969999
"348","2008-05-20",21.76
"349","2008-05-21",21.275
"350","2008-05-22",21.205
"351","2008-05-23",20.965
"352","2008-05-27",21.26
"353","2008-05-28",21.65
"354","2008-05-29",21.915001
"355","2008-05-30",21.91
"356","2008-06-02",21.315001
"357","2008-06-03",21.09
"358","2008-06-04",21.1
"359","2008-06-05",21.25
"360","2008-06-06",20.875
"361","2008-06-09",20.620001
"362","2008-06-10",20.82
"363","2008-06-11",20.459999
"364","2008-06-12",20.26
"365","2008-06-13",20.51
"366","2008-06-16",20.879999
"367","2008-06-17",20.205
"368","2008-06-18",19.6
"369","2008-06-19",19.99
"370","2008-06-20",19.530001
"371","2008-06-23",19.01
"372","2008-06-24",19.004999
"373","2008-06-25",19.65
"374","2008-06-26",18.93
"375","2008-06-27",18.66
"376","2008-06-30",18.375
"377","2008-07-01",18.51
"378","2008-07-02",18.290001
"379","2008-07-03",17.945
"380","2008-07-07",17.885
"381","2008-07-08",18.719999
"382","2008-07-09",17.875
"383","2008-07-10",17.555
"384","2008-07-11",17.094999
"385","2008-07-14",16.860001
"386","2008-07-15",17.855
"387","2008-07-16",18.705
"388","2008-07-17",19.32
"389","2008-07-18",19.25
"390","2008-07-21",19.084999
"391","2008-07-22",20.355
"392","2008-07-23",20.790001
"393","2008-07-24",19.905001
"394","2008-07-25",18.315001
"395","2008-07-28",17.84
"396","2008-07-29",18.610001
"397","2008-07-30",18.875
"398","2008-07-31",18.655001
"399","2008-08-01",18.790001
"400","2008-08-04",18.75
"401","2008-08-05",19.665001
"402","2008-08-06",19.690001
"403","2008-08-07",19.395
"404","2008-08-08",20.275
"405","2008-08-11",20.635
"406","2008-08-12",20.07
"407","2008-08-13",19.705
"408","2008-08-14",20.16
"409","2008-08-15",20.27
"410","2008-08-18",20.1
"411","2008-08-19",20.33
"412","2008-08-20",20.1
"413","2008-08-21",20.195
"414","2008-08-22",20.434999
"415","2008-08-25",19.825001
"416","2008-08-26",19.77
"417","2008-08-27",20.040001
"418","2008-08-28",20.370001
"419","2008-08-29",20.195
"420","2008-09-02",20.615
"421","2008-09-03",20.745001
"422","2008-09-04",20.264999
"423","2008-09-05",20.030001
"424","2008-09-08",20.719999
"425","2008-09-09",20.559999
"426","2008-09-10",20.705
"427","2008-09-11",21.26
"428","2008-09-12",20.940001
"429","2008-09-15",20.785
"430","2008-09-16",21.65
"431","2008-09-17",21.075001
"432","2008-09-18",23.120001
"433","2008-09-19",23.49
"434","2008-09-22",22.075001
"435","2008-09-23",21.83
"436","2008-09-24",21.450001
"437","2008-09-25",21.9
"438","2008-09-26",21.719999
"439","2008-09-29",20.67
"440","2008-09-30",20.98
"441","2008-10-01",20.450001
"442","2008-10-02",19.924999
"443","2008-10-03",19.02
"444","2008-10-06",18.23
"445","2008-10-07",17.375
"446","2008-10-08",17.445
"447","2008-10-09",16.879999
"448","2008-10-10",17.860001
"449","2008-10-13",18.190001
"450","2008-10-14",16.98
"451","2008-10-15",16.025
"452","2008-10-16",17.040001
"453","2008-10-17",17.34
"454","2008-10-20",16.424999
"455","2008-10-21",15.88
"456","2008-10-22",15.29
"457","2008-10-23",15.52
"458","2008-10-24",15.675
"459","2008-10-27",16.295
"460","2008-10-28",18.705
"461","2008-10-29",18.645
"462","2008-10-30",17.73
"463","2008-10-31",18.434999
"464","2008-11-03",18.075001
"465","2008-11-04",18.440001
"466","2008-11-05",17.184999
"467","2008-11-06",16.84
"468","2008-11-07",17.309999
"469","2008-11-10",16.684999
"470","2008-11-11",17.375
"471","2008-11-12",16.98
"472","2008-11-13",18.915001
"473","2008-11-14",18
"474","2008-11-17",17.875
"475","2008-11-18",17.645
"476","2008-11-19",15.58
"477","2008-11-20",15.915
"478","2008-11-21",17.41
"479","2008-11-24",15.42
"480","2008-11-25",14.92
"481","2008-11-26",15.9
"482","2008-11-28",15.775
"483","2008-12-01",14.465
"484","2008-12-02",16.66
"485","2008-12-03",16.455
"486","2008-12-04",16.684999
"487","2008-12-05",17.645
"488","2008-12-08",18.375
"489","2008-12-09",17.549999
"490","2008-12-10",18.35
"491","2008-12-11",16.955
"492","2008-12-12",17.27
"493","2008-12-15",16.555
"494","2008-12-16",17.780001
"495","2008-12-17",18.125
"496","2008-12-18",17.934999
"497","2008-12-19",17.9
"498","2008-12-22",17.25
"499","2008-12-23",16.620001
"500","2008-12-24",16.715
"501","2008-12-26",17.23
"502","2008-12-29",16.905001
"503","2008-12-30",17.450001
"504","2008-12-31",17.684999
"505","2009-01-02",17.965
"506","2009-01-05",17.455
"507","2009-01-06",17.795
"508","2009-01-07",17.26
"509","2009-01-08",16.950001
"510","2009-01-09",16.26
"511","2009-01-12",16.299999
"512","2009-01-13",16.200001
"513","2009-01-14",15.795
"514","2009-01-15",16.605
"515","2009-01-16",16.725
"516","2009-01-20",15.57
"517","2009-01-21",16.004999
"518","2009-01-22",16.110001
"519","2009-01-23",15.605
"520","2009-01-26",15.745
"521","2009-01-27",15.595
"522","2009-01-28",16.709999
"523","2009-01-29",16.030001
"524","2009-01-30",14.36
"525","2009-02-02",14.745
"526","2009-02-03",14.745
"527","2009-02-04",14.79
"528","2009-02-05",15.285
"529","2009-02-06",15.665
"530","2009-02-09",15.165
"531","2009-02-10",14.805
"532","2009-02-11",14.895
"533","2009-02-12",15.055
"534","2009-02-13",14.855
"535","2009-02-17",14.735
"536","2009-02-18",14.505
"537","2009-02-19",14.6
"538","2009-02-20",14.86
"539","2009-02-23",14.35
"540","2009-02-24",14.565
"541","2009-02-25",14.54
"542","2009-02-26",13.74
"543","2009-02-27",13.56
"544","2009-03-02",13.1
"545","2009-03-03",12.61
"546","2009-03-04",13.135
"547","2009-03-05",12.735
"548","2009-03-06",12.865
"549","2009-03-09",12.645
"550","2009-03-10",13.41
"551","2009-03-11",13.43
"552","2009-03-12",14.485
"553","2009-03-13",14.665
"554","2009-03-16",14.14
"555","2009-03-17",14.29
"556","2009-03-18",15.055
"557","2009-03-19",15.38
"558","2009-03-20",14.965
"559","2009-03-23",15.565
