"","date","HTA"
"1","2012-06-06",19.84
"2","2012-06-07",19.780001
"3","2012-06-08",19.700001
"4","2012-06-11",19.9
"5","2012-06-12",19.959999
"6","2012-06-13",19.9
"7","2012-06-14",19.940001
"8","2012-06-15",19.780001
"9","2012-06-18",19.799999
"10","2012-06-19",19.9
"11","2012-06-20",19.860001
"12","2012-06-21",19.82
"13","2012-06-22",19.860001
"14","2012-06-25",19.84
"15","2012-06-26",19.84
"16","2012-06-27",19.84
"17","2012-06-28",19.84
"18","2012-06-29",19.84
"19","2012-07-02",19.860001
"20","2012-07-03",19.74
"21","2012-07-05",19.780001
"22","2012-07-06",19.76
"23","2012-07-09",19.76
"24","2012-07-10",19.719999
"25","2012-07-11",19.719999
"26","2012-07-12",19.74
"27","2012-07-13",19.76
"28","2012-07-16",19.780001
"29","2012-07-17",19.700001
"30","2012-07-18",19.700001
"31","2012-07-19",19.219999
"32","2012-07-20",19.34
"33","2012-07-23",19.24
"34","2012-07-24",19.139999
"35","2012-07-25",19.32
"36","2012-07-26",19.08
"37","2012-07-27",18.82
"38","2012-07-30",18.66
"39","2012-07-31",18.379999
"40","2012-08-01",18.540001
"41","2012-08-02",18.540001
"42","2012-08-03",18.6
"43","2012-08-06",18.5
"44","2012-08-07",18.48
"45","2012-08-08",18.559999
"46","2012-08-09",18.52
"47","2012-08-10",18.5
"48","2012-08-13",18.5
"49","2012-08-14",18.48
"50","2012-08-15",18.700001
"51","2012-08-16",18.5
"52","2012-08-17",18.5
"53","2012-08-20",18.379999
"54","2012-08-21",18.32
"55","2012-08-22",18.299999
"56","2012-08-23",18.360001
"57","2012-08-24",18.280001
"58","2012-08-27",18.299999
"59","2012-08-28",18.42
"60","2012-08-29",18.639999
"61","2012-08-30",18.559999
"62","2012-08-31",18.799999
"63","2012-09-04",18.92
"64","2012-09-05",19.200001
"65","2012-09-06",19.139999
"66","2012-09-07",19.08
"67","2012-09-10",19.059999
"68","2012-09-11",19.280001
"69","2012-09-12",19.540001
"70","2012-09-13",19.719999
"71","2012-09-14",19.74
"72","2012-09-17",19.58
"73","2012-09-18",19.4
"74","2012-09-19",19.74
"75","2012-09-20",19.68
"76","2012-09-21",19.959999
"77","2012-09-24",19.940001
"78","2012-09-25",19.879999
"79","2012-09-26",19.620001
"80","2012-09-27",19.620001
"81","2012-09-28",19.559999
"82","2012-10-01",19.6
"83","2012-10-02",19.6
"84","2012-10-03",19.620001
"85","2012-10-04",19.68
"86","2012-10-05",19.799999
"87","2012-10-08",19.82
"88","2012-10-09",19.879999
"89","2012-10-10",19.76
"90","2012-10-11",19.860001
"91","2012-10-12",19.879999
"92","2012-10-15",19.940001
"93","2012-10-16",19.92
"94","2012-10-17",20.059999
"95","2012-10-18",20.18
"96","2012-10-19",20.08
"97","2012-10-22",20.16
"98","2012-10-23",20.42
"99","2012-10-24",20.08
"100","2012-10-25",20.02
"101","2012-10-26",19.860001
"102","2012-10-31",20
"103","2012-11-01",20.18
"104","2012-11-02",20.24
"105","2012-11-05",20.1
"106","2012-11-06",20.18
"107","2012-11-07",20.1
"108","2012-11-08",20.040001
"109","2012-11-09",20.5
