"","date","NHIC"
"1","2020-09-22",9.73
"2","2020-09-23",9.73
"3","2020-09-24",9.795
"4","2020-09-25",9.78
"5","2020-09-28",9.74
"6","2020-09-29",9.71
"7","2020-09-30",9.75
"8","2020-10-01",9.73
"9","2020-10-02",9.92
"10","2020-10-05",9.785
"11","2020-10-06",9.74
"12","2020-10-07",9.74
"13","2020-10-08",9.65
"14","2020-10-09",9.65
"15","2020-10-12",9.65
"16","2020-10-13",9.655
"17","2020-10-14",9.64
"18","2020-10-15",9.7
"19","2020-10-16",9.64
"20","2020-10-19",9.64
"21","2020-10-20",9.64
"22","2020-10-21",9.7
"23","2020-10-22",9.715
"24","2020-10-23",9.7
"25","2020-10-26",9.69
"26","2020-10-27",9.69
"27","2020-10-28",9.64
"28","2020-10-29",9.68
"29","2020-10-30",9.62
"30","2020-11-02",9.69
"31","2020-11-03",9.67
"32","2020-11-04",9.66
"33","2020-11-05",9.69
"34","2020-11-06",9.73
"35","2020-11-09",9.71
"36","2020-11-10",9.71
"37","2020-11-11",9.72
"38","2020-11-12",9.705
"39","2020-11-13",9.75
"40","2020-11-16",9.77
"41","2020-11-17",9.79
"42","2020-11-18",9.79
"43","2020-11-19",9.725
"44","2020-11-20",9.815
"45","2020-11-23",9.867
"46","2020-11-24",9.867
"47","2020-11-25",9.71
"48","2020-11-27",9.89
