"","date","DFHT"
"1","2020-09-21",9.9
"2","2020-09-22",10.13
"3","2020-09-23",10.13
"4","2020-09-24",10.13
"5","2020-09-25",10.13
"6","2020-09-28",10.13
"7","2020-09-29",10.13
"8","2020-09-30",10.5
"9","2020-10-01",10.62
"10","2020-10-02",10.21
"11","2020-10-05",10.62
"12","2020-10-06",10.52
"13","2020-10-07",10.445
"14","2020-10-08",10.65
"15","2020-10-09",10.55
"16","2020-10-12",10.55
"17","2020-10-13",10.2
"18","2020-10-14",10.2
"19","2020-10-15",10.27
"20","2020-10-16",10.27
"21","2020-10-19",10.25
"22","2020-10-20",10.25
"23","2020-10-21",10.205
"24","2020-10-22",10.205
"25","2020-10-23",10.2
"26","2020-10-26",10.15
"27","2020-10-27",10.25
"28","2020-10-28",10.3
"29","2020-10-29",10.3
"30","2020-10-30",10.1
"31","2020-11-02",10.12
"32","2020-11-03",10.35
"33","2020-11-04",10.25
"34","2020-11-05",10.25
"35","2020-11-06",10.2
"36","2020-11-09",10.2
"37","2020-11-10",10.15
"38","2020-11-11",10.15
"39","2020-11-12",10.2
"40","2020-11-13",10.2
"41","2020-11-16",10.15
"42","2020-11-17",10.15
"43","2020-11-18",10.16
"44","2020-11-19",10.16
"45","2020-11-20",10.25
"46","2020-11-23",10.35
"47","2020-11-24",10.25
"48","2020-11-25",10.45
"49","2020-11-27",10.35
