"","date","EAST"
"1","2017-01-03",5.85
"2","2017-01-04",5.73
"3","2017-01-05",5.4
"4","2017-01-06",5.4
"5","2017-01-09",5.4
"6","2017-01-10",5.55
"7","2017-01-11",5.55
"8","2017-01-12",5.55
"9","2017-01-13",6.63
"10","2017-01-17",7.5
"11","2017-01-18",5.7
"12","2017-01-19",5.7
"13","2017-01-20",7.2
"14","2017-01-23",7.05
"15","2017-01-24",6
"16","2017-01-25",6
"17","2017-01-26",6
"18","2017-01-27",6
"19","2017-01-30",5.7
"20","2017-01-31",6.3
"21","2017-02-01",5.4
"22","2017-02-02",5.4
"23","2017-02-03",5.4
"24","2017-02-06",5.25
"25","2017-02-07",5.25
"26","2017-02-08",5.25
"27","2017-02-09",5.25
"28","2017-02-10",5.25
"29","2017-02-13",5.25
"30","2017-02-14",5.25
"31","2017-02-15",5.25
"32","2017-02-16",5.25
"33","2017-02-17",5.1
"34","2017-02-21",4.65
"35","2017-02-22",4.95
"36","2017-02-23",4.95
"37","2017-02-24",4.95
"38","2017-02-27",4.95
"39","2017-02-28",5.25
"40","2017-03-01",4.65
"41","2017-03-02",4.95
"42","2017-03-03",4.8
"43","2017-03-06",4.65
"44","2017-03-07",4.35
"45","2017-03-08",4.35
"46","2017-03-09",4.5
"47","2017-03-10",4.5
"48","2017-03-13",4.5
"49","2017-03-14",4.5
"50","2017-03-15",4.62
"51","2017-03-16",4.5
"52","2017-03-17",4.5
"53","2017-03-20",4.5
"54","2017-03-21",4.5
"55","2017-03-22",4.5
"56","2017-03-23",4.5
"57","2017-03-24",4.35
"58","2017-03-27",4.35
"59","2017-03-28",4.5
"60","2017-03-29",4.35
"61","2017-03-30",4.35
"62","2017-03-31",4.38
"63","2017-04-03",4.8
"64","2017-04-04",4.83
"65","2017-04-05",4.8
"66","2017-04-06",4.77
"67","2017-04-07",4.74
"68","2017-04-10",4.92
"69","2017-04-11",4.455
"70","2017-04-12",4.5
"71","2017-04-13",4.95
"72","2017-04-17",4.95
"73","2017-04-18",4.95
"74","2017-04-19",5.1
"75","2017-04-20",4.8
"76","2017-04-21",4.05
"77","2017-04-24",4.5
"78","2017-04-25",4.5
"79","2017-04-26",4.5
"80","2017-04-27",4.5
"81","2017-04-28",4.2
"82","2017-05-01",4.8
"83","2017-05-02",4.74
"84","2017-05-03",4.8
"85","2017-05-04",4.8
"86","2017-05-05",4.74
"87","2017-05-08",4.5
"88","2017-05-09",4.71
"89","2017-05-10",4.68
"90","2017-05-11",4.74
"91","2017-05-12",4.74
"92","2017-05-15",5.79
"93","2017-05-16",6
"94","2017-05-17",6.12
"95","2017-05-18",6
"96","2017-05-19",6.144
"97","2017-05-22",6.18
"98","2017-05-23",6
"99","2017-05-24",6.12
"100","2017-05-25",6.12
"101","2017-05-26",6
"102","2017-05-30",6
"103","2017-05-31",6.282
"104","2017-06-01",6.15
"105","2017-06-02",6
"106","2017-06-05",6
"107","2017-06-06",5.49
"108","2017-06-07",5.1
"109","2017-06-08",5.01
"110","2017-06-09",4.83
"111","2017-06-12",5.07
"112","2017-06-13",4.5
"113","2017-06-14",4.5
"114","2017-06-15",6.75
"115","2017-06-16",6.7
"116","2017-06-19",5.28
"117","2017-06-20",4.5
"118","2017-06-21",4
"119","2017-06-22",5.25
"120","2017-06-23",5.75
"121","2017-06-26",6.2
"122","2017-06-27",5.99
"123","2017-06-28",5.9
"124","2017-06-29",5.78
"125","2017-06-30",5.9
"126","2017-07-03",6
"127","2017-07-05",6
"128","2017-07-06",5.85
"129","2017-07-07",5.8
"130","2017-07-10",6.35
"131","2017-07-11",5.85
"132","2017-07-12",6
"133","2017-07-13",5.8
"134","2017-07-14",6.25
"135","2017-07-17",6.1
"136","2017-07-18",5.94
"137","2017-07-19",6.19
"138","2017-07-20",6
"139","2017-07-21",6.25
"140","2017-07-24",6.5
"141","2017-07-25",6.2
"142","2017-07-26",6.7
"143","2017-07-27",6.5
"144","2017-07-28",6.35
"145","2017-07-31",6.72
"146","2017-08-01",6.5
"147","2017-08-02",6
"148","2017-08-03",6
"149","2017-08-04",6.3
"150","2017-08-07",6.5
"151","2017-08-08",6.5
"152","2017-08-09",6.2
"153","2017-08-10",3.4
"154","2017-08-11",3.5
"155","2017-08-14",3.75
"156","2017-08-15",3.8
"157","2017-08-16",3.97
"158","2017-08-17",3.75
"159","2017-08-18",3.94
"160","2017-08-21",4
"161","2017-08-22",3.9
"162","2017-08-23",3.95
"163","2017-08-24",4.01
"164","2017-08-25",3.996
"165","2017-08-28",3.87
"166","2017-08-29",4
"167","2017-08-30",3.98
"168","2017-08-31",3.89
"169","2017-09-01",3.9
"170","2017-09-05",3.85
"171","2017-09-06",4.1
"172","2017-09-07",3.91
"173","2017-09-08",4.05
"174","2017-09-11",4.1
"175","2017-09-12",4.05
"176","2017-09-13",4.05
"177","2017-09-14",4.05
"178","2017-09-15",3.78
"179","2017-09-18",3.78
"180","2017-09-19",3.76
"181","2017-09-20",3.7
"182","2017-09-21",3.69
"183","2017-09-22",3.8
"184","2017-09-25",3.61
"185","2017-09-26",3.63
"186","2017-09-27",3.98
"187","2017-09-28",3.97
"188","2017-09-29",3.989
"189","2017-10-02",4
"190","2017-10-03",3.96
"191","2017-10-04",4.01
"192","2017-10-05",4.05
"193","2017-10-06",4.05
"194","2017-10-09",4
"195","2017-10-10",4.035
"196","2017-10-11",3.92
"197","2017-10-12",3.81
"198","2017-10-13",3.9
"199","2017-10-16",3.86
"200","2017-10-17",3.91
"201","2017-10-18",3.81
"202","2017-10-19",4
"203","2017-10-20",3.946
"204","2017-10-23",4.06
"205","2017-10-24",3.97
"206","2017-10-25",4.04
"207","2017-10-26",3.96
"208","2017-10-27",3.99
"209","2017-10-30",4.07
"210","2017-10-31",3.96
"211","2017-11-01",4
"212","2017-11-02",4.021
"213","2017-11-03",4
"214","2017-11-06",3.961
"215","2017-11-07",4
"216","2017-11-08",3.943
"217","2017-11-09",3.94
"218","2017-11-10",4.06
"219","2017-11-13",4.1
"220","2017-11-14",4.03
"221","2017-11-15",4.09
"222","2017-11-16",4.35
"223","2017-11-17",5.69
"224","2017-11-20",4.78
"225","2017-11-21",4.86
"226","2017-11-22",5.075
"227","2017-11-24",5.14
"228","2017-11-27",5.01
"229","2017-11-28",4.99
"230","2017-11-29",5.01
"231","2017-11-30",5.08
"232","2017-12-01",4.98
"233","2017-12-04",4.93
"234","2017-12-05",4.84
"235","2017-12-06",4.59
"236","2017-12-07",4.82
"237","2017-12-08",4.8
"238","2017-12-11",4.62
"239","2017-12-12",4.56
"240","2017-12-13",4.46
"241","2017-12-14",4.33
"242","2017-12-15",4.37
"243","2017-12-18",4.49
"244","2017-12-19",4.46
"245","2017-12-20",4.45
"246","2017-12-21",4.48
"247","2017-12-22",4.54
"248","2017-12-26",4.25
"249","2017-12-27",4.125
"250","2017-12-28",3.91
"251","2017-12-29",4.03
"252","2018-01-02",3.9
"253","2018-01-03",3.99
"254","2018-01-04",3.87
"255","2018-01-05",4
"256","2018-01-08",3.921
"257","2018-01-09",4.03
"258","2018-01-10",4.045
"259","2018-01-11",3.99
"260","2018-01-12",4.07
"261","2018-01-16",4.18
"262","2018-01-17",4.06
"263","2018-01-18",4.13
"264","2018-01-19",4.16
"265","2018-01-22",4.37
"266","2018-01-23",4.26
"267","2018-01-24",4.32
"268","2018-01-25",4.3
"269","2018-01-26",4.23
"270","2018-01-29",4.2
"271","2018-01-30",4.32
"272","2018-01-31",5.051
"273","2018-02-01",5.3
"274","2018-02-02",5.27
"275","2018-02-05",5.224
"276","2018-02-06",4.85
"277","2018-02-07",4.98
"278","2018-02-08",5.11
"279","2018-02-09",5.1
"280","2018-02-12",5.12
"281","2018-02-13",5
"282","2018-02-14",5.1
"283","2018-02-15",5.09
"284","2018-02-16",5.2
"285","2018-02-20",5.1
"286","2018-02-21",5.008
"287","2018-02-22",5
"288","2018-02-23",4.97
"289","2018-02-26",4.95
"290","2018-02-27",5.27
"291","2018-02-28",5.39
"292","2018-03-01",6.33
"293","2018-03-02",6.201
"294","2018-03-05",6.5
"295","2018-03-06",6.89
"296","2018-03-07",7.15
"297","2018-03-08",7.3
"298","2018-03-09",6.85
"299","2018-03-12",6.5
"300","2018-03-13",6.93
"301","2018-03-14",7.13
"302","2018-03-15",7.39
"303","2018-03-16",7.75
"304","2018-03-19",7.264
"305","2018-03-20",7.48
"306","2018-03-21",7.35
"307","2018-03-22",7.29
"308","2018-03-23",7.4
"309","2018-03-26",7.43
"310","2018-03-27",7.2
"311","2018-03-28",7.09
"312","2018-03-29",7
"313","2018-04-02",7.05
"314","2018-04-03",7
"315","2018-04-04",7.24
"316","2018-04-05",7.25
"317","2018-04-06",7.218
"318","2018-04-09",7.104
"319","2018-04-10",7.15
"320","2018-04-11",6.95
"321","2018-04-12",6.6
"322","2018-04-13",7.14
"323","2018-04-16",6.823
"324","2018-04-17",7.19
"325","2018-04-18",6.8
"326","2018-04-19",6.996
"327","2018-04-20",7
"328","2018-04-23",6.91
"329","2018-04-24",7.18
"330","2018-04-25",7.15
"331","2018-04-26",7.04
"332","2018-04-27",7.1
"333","2018-04-30",7.16
"334","2018-05-01",7.09
"335","2018-05-02",7.05
"336","2018-05-03",7
"337","2018-05-04",7.07
"338","2018-05-07",7.04
"339","2018-05-08",7.01
"340","2018-05-09",6.951
"341","2018-05-10",7.096
"342","2018-05-11",7.11
"343","2018-05-14",7.5
"344","2018-05-15",7.4
"345","2018-05-16",7.39
"346","2018-05-17",7.4
"347","2018-05-18",7.01
"348","2018-05-21",7.15
"349","2018-05-22",6.77
"350","2018-05-23",6.9
"351","2018-05-24",6.91
"352","2018-05-25",6.852
"353","2018-05-29",6.95
"354","2018-05-30",6.81
"355","2018-05-31",6.81
"356","2018-06-01",7.27
"357","2018-06-04",7.3
"358","2018-06-05",7.33
"359","2018-06-06",7.14
"360","2018-06-07",7.45
"361","2018-06-08",7
"362","2018-06-11",7.09
"363","2018-06-12",7.33
"364","2018-06-13",7.15
"365","2018-06-14",7
"366","2018-06-15",7.08
"367","2018-06-18",7.02
"368","2018-06-19",7.39
"369","2018-06-20",7.9
"370","2018-06-21",8.89
"371","2018-06-22",9.25
"372","2018-06-25",8.75
"373","2018-06-26",8.69
"374","2018-06-27",8.14
"375","2018-06-28",8.25
"376","2018-06-29",8.5
"377","2018-07-02",8.5
"378","2018-07-03",8.44
"379","2018-07-05",8.45
"380","2018-07-06",8.59
"381","2018-07-09",8.29
"382","2018-07-10",8.3
"383","2018-07-11",8.02
"384","2018-07-12",8.08
"385","2018-07-13",7.91
"386","2018-07-16",7.85
"387","2018-07-17",8.14
"388","2018-07-18",8.31
"389","2018-07-19",8.35
"390","2018-07-20",8.24
"391","2018-07-23",8.1
"392","2018-07-24",7.7
"393","2018-07-25",7.7
"394","2018-07-26",7.75
"395","2018-07-27",7.74
"396","2018-07-30",7.92
"397","2018-07-31",7.97
"398","2018-08-01",8
"399","2018-08-02",8
"400","2018-08-03",7.47
"401","2018-08-06",7.47
"402","2018-08-07",7.1
"403","2018-08-08",7.15
"404","2018-08-09",7.47
"405","2018-08-10",7.9
"406","2018-08-13",8
"407","2018-08-14",7.65
"408","2018-08-15",7.4
"409","2018-08-16",7.5
"410","2018-08-17",7.69
"411","2018-08-20",7.69
"412","2018-08-21",7.32
"413","2018-08-22",7.35
"414","2018-08-23",7.5
"415","2018-08-24",7.64
"416","2018-08-27",7.7
"417","2018-08-28",7.48
"418","2018-08-29",7.51
"419","2018-08-30",7.55
"420","2018-08-31",7.3
"421","2018-09-04",7.6
"422","2018-09-05",7.54
"423","2018-09-06",7.59
"424","2018-09-07",7.68
"425","2018-09-10",7.55
"426","2018-09-11",7.75
"427","2018-09-12",7.75
"428","2018-09-13",7.75
"429","2018-09-14",7.82
"430","2018-09-17",7.7
"431","2018-09-18",7.7
"432","2018-09-19",7.8
"433","2018-09-20",7.85
"434","2018-09-21",8.39
"435","2018-09-24",8.59
