"","date","MCBS"
"1","2019-09-05",15.26
"2","2019-09-06",17
"3","2019-09-09",17
"4","2019-09-10",16
"5","2019-09-11",16.139999
"6","2019-09-12",16.92
"7","2019-09-13",16
"8","2019-09-16",16
"9","2019-09-17",16
"10","2019-09-18",15.28
"11","2019-09-19",15.28
"12","2019-09-20",15.5
"13","2019-09-23",15.5
"14","2019-09-24",15.5
"15","2019-09-25",15.5
"16","2019-09-26",15.75
"17","2019-09-27",15.5
"18","2019-09-30",15.5
"19","2019-10-01",15.5
"20","2019-10-02",15.5
"21","2019-10-03",13.49
"22","2019-10-04",13.4
"23","2019-10-07",13.4
"24","2019-10-08",13.303
"25","2019-10-09",13.38
"26","2019-10-10",13.512
"27","2019-10-11",13.49
"28","2019-10-14",13.47
"29","2019-10-15",13.48
"30","2019-10-16",13.4
"31","2019-10-17",13.5
"32","2019-10-18",13.43
"33","2019-10-21",13.68
"34","2019-10-22",13.89
"35","2019-10-23",13.95
"36","2019-10-24",14.25
"37","2019-10-25",14.5
"38","2019-10-28",14.6
"39","2019-10-29",14.55
"40","2019-10-30",14.55
"41","2019-10-31",14.54
"42","2019-11-01",14.43
"43","2019-11-04",14.46
"44","2019-11-05",14.49
"45","2019-11-06",14.43
"46","2019-11-07",14.4
"47","2019-11-08",14.46
"48","2019-11-11",14.4
"49","2019-11-12",14.39
"50","2019-11-13",14.34
"51","2019-11-14",14.3
"52","2019-11-15",14.35
"53","2019-11-18",14.375
"54","2019-11-19",14.25
"55","2019-11-20",14.43
"56","2019-11-21",14.39
"57","2019-11-22",14.14
"58","2019-11-25",14.35
"59","2019-11-26",14.35
"60","2019-11-27",14.34
"61","2019-11-29",14.3
"62","2019-12-02",14.95
"63","2019-12-03",15.24
"64","2019-12-04",15.9
"65","2019-12-05",16.540001
"66","2019-12-06",16.58
"67","2019-12-09",16.23
"68","2019-12-10",16.49
"69","2019-12-11",16.709999
"70","2019-12-12",16.889999
"71","2019-12-13",17
"72","2019-12-16",17.040001
"73","2019-12-17",16.950001
"74","2019-12-18",15.89
"75","2019-12-19",15.63
"76","2019-12-20",17.440001
"77","2019-12-23",17.389999
"78","2019-12-24",17.450001
"79","2019-12-26",17.469999
"80","2019-12-27",17.5
"81","2019-12-30",17.65
"82","2019-12-31",17.51
"83","2020-01-02",17.639999
"84","2020-01-03",17.73
"85","2020-01-06",17.73
"86","2020-01-07",17.76
"87","2020-01-08",17.870001
"88","2020-01-09",18.08
"89","2020-01-10",18.120001
"90","2020-01-13",18.684999
"91","2020-01-14",18.9
"92","2020-01-15",18.129999
"93","2020-01-16",18.93
"94","2020-01-17",18.700001
"95","2020-01-21",18.690001
"96","2020-01-22",18.290001
"97","2020-01-23",18.4
"98","2020-01-24",17.860001
"99","2020-01-27",17.92
"100","2020-01-28",17.469999
"101","2020-01-29",17.209999
"102","2020-01-30",17.07
"103","2020-01-31",16.07
"104","2020-02-03",16.43
"105","2020-02-04",16.440001
"106","2020-02-05",16.4
"107","2020-02-06",15.75
"108","2020-02-07",15.5
"109","2020-02-10",15.55
"110","2020-02-11",15.51
"111","2020-02-12",15.34
"112","2020-02-13",15.47
"113","2020-02-14",15
"114","2020-02-18",14.64
"115","2020-02-19",14.32
"116","2020-02-20",14.21
"117","2020-02-21",14.65
"118","2020-02-24",14.62
"119","2020-02-25",14.64
"120","2020-02-26",14.73
"121","2020-02-27",14.56
"122","2020-02-28",14.06
"123","2020-03-02",15
"124","2020-03-03",13.93
"125","2020-03-04",14.32
"126","2020-03-05",14.02
"127","2020-03-06",13.42
"128","2020-03-09",12.01
"129","2020-03-10",12.8
"130","2020-03-11",11.77
"131","2020-03-12",11.13
"132","2020-03-13",11.75
"133","2020-03-16",10.42
"134","2020-03-17",12.27
"135","2020-03-18",10.32
"136","2020-03-19",12.19
"137","2020-03-20",11.92
"138","2020-03-23",11.06
"139","2020-03-24",11.44
"140","2020-03-25",11.49
"141","2020-03-26",11.99
"142","2020-03-27",11
"143","2020-03-30",11.11
"144","2020-03-31",11.74
"145","2020-04-01",10.68
"146","2020-04-02",10.92
"147","2020-04-03",10.55
"148","2020-04-06",11.33
"149","2020-04-07",10.95
"150","2020-04-08",11.16
"151","2020-04-09",11.16
"152","2020-04-13",10.81
"153","2020-04-14",10.63
"154","2020-04-15",9.86
"155","2020-04-16",9.59
"156","2020-04-17",10.2
"157","2020-04-20",10.07
"158","2020-04-21",10.03
"159","2020-04-22",9.88
"160","2020-04-23",9.62
"161","2020-04-24",10.1
"162","2020-04-27",10.86
"163","2020-04-28",11.11
"164","2020-04-29",11.62
"165","2020-04-30",10.585
"166","2020-05-01",9.95
"167","2020-05-04",9.8
"168","2020-05-05",9.375
"169","2020-05-06",9.51
"170","2020-05-07",9.39
"171","2020-05-08",9.45
"172","2020-05-11",9.27
"173","2020-05-12",8.89
"174","2020-05-13",8.8
"175","2020-05-14",8.43
"176","2020-05-15",8.7
"177","2020-05-18",9.97
"178","2020-05-19",9.07
"179","2020-05-20",9.7
"180","2020-05-21",10.04
"181","2020-05-22",10.12
"182","2020-05-26",10.33
"183","2020-05-27",11.45
"184","2020-05-28",11.63
"185","2020-05-29",11.56
"186","2020-06-01",10.99
"187","2020-06-02",11.03
"188","2020-06-03",11.25
"189","2020-06-04",11.68
"190","2020-06-05",12.49
"191","2020-06-08",13.8
"192","2020-06-09",13.83
"193","2020-06-10",13.73
"194","2020-06-11",12.04
"195","2020-06-12",13.11
"196","2020-06-15",14.43
"197","2020-06-16",15.42
"198","2020-06-17",15.13
"199","2020-06-18",15.9
"200","2020-06-19",15.54
"201","2020-06-22",14.43
"202","2020-06-23",13.96
"203","2020-06-24",13.29
"204","2020-06-25",13.58
"205","2020-06-26",13.42
"206","2020-06-29",13.95
"207","2020-06-30",14.33
"208","2020-07-01",13.79
"209","2020-07-02",13.64
"210","2020-07-06",13.6
"211","2020-07-07",13.15
"212","2020-07-08",13.03
"213","2020-07-09",12.3
"214","2020-07-10",12.81
"215","2020-07-13",12.86
"216","2020-07-14",12.9
"217","2020-07-15",13.47
"218","2020-07-16",13.29
"219","2020-07-17",13.16
