"","date","MOFG"
"1","2008-01-29",17.4
"2","2008-01-30",17.4
"3","2008-01-31",17.4
"4","2008-02-01",17.4
"5","2008-02-04",18.25
"6","2008-02-05",18.25
"7","2008-02-06",18.25
"8","2008-02-07",18.25
"9","2008-02-08",18.25
"10","2008-02-11",18.25
"11","2008-02-12",18.25
"12","2008-02-13",18.25
"13","2008-02-14",18.25
"14","2008-02-15",18.25
"15","2008-02-19",18.25
"16","2008-02-20",18.25
"17","2008-02-21",18.25
"18","2008-02-22",18.25
"19","2008-02-25",18.25
"20","2008-02-26",18.25
"21","2008-02-27",18.25
"22","2008-02-28",18.25
"23","2008-02-29",18.25
"24","2008-03-03",18.25
"25","2008-03-04",18.25
"26","2008-03-05",18.25
"27","2008-03-06",18.25
"28","2008-03-07",18.25
"29","2008-03-10",18.25
"30","2008-03-11",18.25
"31","2008-03-12",18.25
"32","2008-03-13",18.25
"33","2008-03-14",18.25
"34","2008-03-17",18.25
"35","2008-03-18",18.25
"36","2008-03-19",18.25
"37","2008-03-20",16.5
"38","2008-03-24",16.1
"39","2008-03-25",16.1
"40","2008-03-26",16.1
"41","2008-03-27",16.299999
"42","2008-03-28",16.15
"43","2008-03-31",16.99
"44","2008-04-01",16.690001
"45","2008-04-02",17
"46","2008-04-03",17.25
"47","2008-04-04",17.25
"48","2008-04-07",16.75
"49","2008-04-08",16.75
"50","2008-04-09",16.959999
"51","2008-04-10",16.25
"52","2008-04-11",16.25
"53","2008-04-14",16.110001
"54","2008-04-15",16.59
"55","2008-04-16",16.66
"56","2008-04-17",16.690001
"57","2008-04-18",16.5
"58","2008-04-21",16.700001
"59","2008-04-22",16
"60","2008-04-23",16
"61","2008-04-24",16
"62","2008-04-25",15.9
"63","2008-04-28",16
"64","2008-04-29",16.200001
"65","2008-04-30",16.200001
"66","2008-05-01",16.379999
"67","2008-05-02",16.66
"68","2008-05-05",16.25
"69","2008-05-06",16.32
"70","2008-05-07",16.610001
"71","2008-05-08",16.290001
"72","2008-05-09",16.450001
"73","2008-05-12",15.8
"74","2008-05-13",16
"75","2008-05-14",16.139999
"76","2008-05-15",16.24
"77","2008-05-16",16.059999
"78","2008-05-19",16.17
"79","2008-05-20",16
"80","2008-05-21",15.25
"81","2008-05-22",15.7
"82","2008-05-23",15.26
"83","2008-05-27",15.71
"84","2008-05-28",15.79
"85","2008-05-29",15.79
"86","2008-05-30",15.4
"87","2008-06-02",15.06
"88","2008-06-03",15.26
"89","2008-06-04",15
"90","2008-06-05",14.76
"91","2008-06-06",14.76
"92","2008-06-09",14.7
"93","2008-06-10",13.9
"94","2008-06-11",14
"95","2008-06-12",13.77
"96","2008-06-13",14
"97","2008-06-16",13.82
"98","2008-06-17",14
"99","2008-06-18",13.04
"100","2008-06-19",13.31
"101","2008-06-20",13.5
"102","2008-06-23",12.25
"103","2008-06-24",12.08
"104","2008-06-25",12.69
"105","2008-06-26",12.84
"106","2008-06-27",12.7
"107","2008-06-30",12.85
"108","2008-07-01",12.05
"109","2008-07-02",13
"110","2008-07-03",13
"111","2008-07-07",12.25
"112","2008-07-08",13.49
"113","2008-07-09",13.49
"114","2008-07-10",13.49
"115","2008-07-11",13
"116","2008-07-14",13
"117","2008-07-15",12.56
"118","2008-07-16",13.49
"119","2008-07-17",13.48
"120","2008-07-18",14.09
"121","2008-07-21",14.09
"122","2008-07-22",14.03
"123","2008-07-23",14.32
"124","2008-07-24",14
"125","2008-07-25",14
"126","2008-07-28",13.09
"127","2008-07-29",13.09
"128","2008-07-30",13.2
"129","2008-07-31",13.26
"130","2008-08-01",13.26
"131","2008-08-04",13.09
"132","2008-08-05",14.78
"133","2008-08-06",13.85
"134","2008-08-07",14.04
"135","2008-08-08",14
"136","2008-08-11",14.19
"137","2008-08-12",14.05
"138","2008-08-13",14.22
"139","2008-08-14",14.05
"140","2008-08-15",14.04
"141","2008-08-18",14.01
"142","2008-08-19",14
"143","2008-08-20",14.01
"144","2008-08-21",14.01
"145","2008-08-22",14.02
"146","2008-08-25",14
"147","2008-08-26",14
"148","2008-08-27",14
"149","2008-08-28",14
"150","2008-08-29",13.98
"151","2008-09-02",14
"152","2008-09-03",14.14
"153","2008-09-04",14.01
"154","2008-09-05",14
"155","2008-09-08",14.06
"156","2008-09-09",14
"157","2008-09-10",14
"158","2008-09-11",14.01
"159","2008-09-12",14.18
"160","2008-09-15",14.87
"161","2008-09-16",14.75
"162","2008-09-17",14.75
"163","2008-09-18",14.15
"164","2008-09-19",14.66
"165","2008-09-22",14.69
"166","2008-09-23",14.16
"167","2008-09-24",14.29
"168","2008-09-25",14.21
"169","2008-09-26",14.21
"170","2008-09-29",13.79
"171","2008-09-30",13.88
"172","2008-10-01",13.82
"173","2008-10-02",14.47
"174","2008-10-03",13.51
"175","2008-10-06",13.57
"176","2008-10-07",13.5
"177","2008-10-08",13.6
"178","2008-10-09",13.6
"179","2008-10-10",13.4
"180","2008-10-13",13.4
"181","2008-10-14",13.21
"182","2008-10-15",13.26
"183","2008-10-16",13.26
"184","2008-10-17",13.32
"185","2008-10-20",13.32
"186","2008-10-21",13.45
"187","2008-10-22",13.45
"188","2008-10-23",12.54
"189","2008-10-24",12.73
"190","2008-10-27",12.45
"191","2008-10-28",12.95
"192","2008-10-29",12.95
"193","2008-10-30",12
"194","2008-10-31",13
"195","2008-11-03",13.49
"196","2008-11-04",12.99
"197","2008-11-05",12.99
"198","2008-11-06",13.38
"199","2008-11-07",12.76
"200","2008-11-10",12.76
"201","2008-11-11",13
"202","2008-11-12",13
"203","2008-11-13",12.96
"204","2008-11-14",13
"205","2008-11-17",12.95
"206","2008-11-18",12.93
"207","2008-11-19",12.32
"208","2008-11-20",10.96
"209","2008-11-21",10.29
"210","2008-11-24",10.94
"211","2008-11-25",11.03
"212","2008-11-26",10.85
"213","2008-11-28",11.08
"214","2008-12-01",10.65
"215","2008-12-02",11
"216","2008-12-03",10.32
"217","2008-12-04",9.75
"218","2008-12-05",9.8
"219","2008-12-08",9.9
"220","2008-12-09",9.81
"221","2008-12-10",9.78
"222","2008-12-11",8.88
"223","2008-12-12",8.96
"224","2008-12-15",9.33
"225","2008-12-16",8.77
"226","2008-12-17",9.57
"227","2008-12-18",9.57
"228","2008-12-19",9.5
"229","2008-12-22",9.68
"230","2008-12-23",9.75
"231","2008-12-24",9.9
"232","2008-12-26",9.69
"233","2008-12-29",9.99
"234","2008-12-30",10
"235","2008-12-31",9.9
"236","2009-01-02",9.91
"237","2009-01-05",10.2
"238","2009-01-06",10.2
"239","2009-01-07",10.35
"240","2009-01-08",9.9
"241","2009-01-09",9.9
"242","2009-01-12",9.5
"243","2009-01-13",9.47
"244","2009-01-14",9.26
"245","2009-01-15",9.35
"246","2009-01-16",9
"247","2009-01-20",9.75
"248","2009-01-21",9.25
"249","2009-01-22",9.34
"250","2009-01-23",8.75
"251","2009-01-26",8.3
"252","2009-01-27",8.75
"253","2009-01-28",8.5
"254","2009-01-29",8.05
"255","2009-01-30",8.5
"256","2009-02-02",7.85
"257","2009-02-03",7.6
"258","2009-02-04",7.35
"259","2009-02-05",7.25
"260","2009-02-06",7.49
"261","2009-02-09",7.89
"262","2009-02-10",7.89
"263","2009-02-11",7.89
"264","2009-02-12",7.1
"265","2009-02-13",8.4
"266","2009-02-17",7.66
"267","2009-02-18",7.25
"268","2009-02-19",7.5
"269","2009-02-20",7.5
"270","2009-02-23",7
"271","2009-02-24",7
"272","2009-02-25",6.75
"273","2009-02-26",6.75
"274","2009-02-27",6.74
"275","2009-03-02",6.75
"276","2009-03-03",7
"277","2009-03-04",6.98
"278","2009-03-05",6.69
"279","2009-03-06",7
"280","2009-03-09",6.54
"281","2009-03-10",6.89
"282","2009-03-11",7.1
"283","2009-03-12",7.4
"284","2009-03-13",8.45
"285","2009-03-16",8.25
"286","2009-03-17",8.7
"287","2009-03-18",8.7
"288","2009-03-19",8.8
"289","2009-03-20",8.26
"290","2009-03-23",8.76
"291","2009-03-24",8.8
"292","2009-03-25",8.8
"293","2009-03-26",8.75
"294","2009-03-27",9.05
"295","2009-03-30",9.35
"296","2009-03-31",9.35
"297","2009-04-01",10.5
"298","2009-04-02",9.99
"299","2009-04-03",10
"300","2009-04-06",9.8
"301","2009-04-07",9.5
"302","2009-04-08",9.05
"303","2009-04-09",8.58
"304","2009-04-13",9.35
"305","2009-04-14",9.35
"306","2009-04-15",9.35
"307","2009-04-16",9.47
"308","2009-04-17",9.5
"309","2009-04-20",9.49
"310","2009-04-21",9.49
"311","2009-04-22",9.5
"312","2009-04-23",9.5
"313","2009-04-24",9.1
"314","2009-04-27",9
"315","2009-04-28",8.6
"316","2009-04-29",8.74
"317","2009-04-30",8.45
"318","2009-05-01",8.95
"319","2009-05-04",8.95
"320","2009-05-05",8.99
"321","2009-05-06",9.01
"322","2009-05-07",8.7
"323","2009-05-08",8.65
"324","2009-05-11",8.5
"325","2009-05-12",7.75
"326","2009-05-13",7.8
"327","2009-05-14",7.81
"328","2009-05-15",7.81
"329","2009-05-18",8.04
"330","2009-05-19",7.96
"331","2009-05-20",8.09
"332","2009-05-21",8.09
"333","2009-05-22",8
"334","2009-05-26",7.9
"335","2009-05-27",7.9
"336","2009-05-28",7.73
"337","2009-05-29",7.75
"338","2009-06-01",7.75
"339","2009-06-02",7.52
"340","2009-06-03",7
"341","2009-06-04",6.62
"342","2009-06-05",6.97
"343","2009-06-08",6.85
"344","2009-06-09",6.8
"345","2009-06-10",6.75
"346","2009-06-11",6.75
"347","2009-06-12",6.81
"348","2009-06-15",6.8
"349","2009-06-16",6.8
"350","2009-06-17",7.14
"351","2009-06-18",7.39
"352","2009-06-19",7.35
"353","2009-06-22",7.38
"354","2009-06-23",7.15
"355","2009-06-24",7.15
"356","2009-06-25",7.94
"357","2009-06-26",7.79
"358","2009-06-29",7.85
"359","2009-06-30",7.81
"360","2009-07-01",7.2
"361","2009-07-02",7.25
"362","2009-07-06",7.09
"363","2009-07-07",7.47
"364","2009-07-08",7
"365","2009-07-09",7
"366","2009-07-10",7.45
