"","date","ANGO"
"1","2007-01-03",21.969999
"2","2007-01-04",25.389999
"3","2007-01-05",25.98
"4","2007-01-08",25.049999
"5","2007-01-09",24.18
"6","2007-01-10",24.370001
"7","2007-01-11",24.84
"8","2007-01-12",24.639999
"9","2007-01-16",24.57
"10","2007-01-17",24
"11","2007-01-18",23.73
"12","2007-01-19",23.620001
"13","2007-01-22",23.959999
"14","2007-01-23",24.6
"15","2007-01-24",24.700001
"16","2007-01-25",25.450001
"17","2007-01-26",25.17
"18","2007-01-29",25.73
"19","2007-01-30",26.120001
"20","2007-01-31",26.290001
"21","2007-02-01",26.700001
"22","2007-02-02",26.530001
"23","2007-02-05",26.030001
"24","2007-02-06",26.08
"25","2007-02-07",26
"26","2007-02-08",26.02
"27","2007-02-09",25.91
"28","2007-02-12",25.75
"29","2007-02-13",25.24
"30","2007-02-14",24.950001
"31","2007-02-15",24.860001
"32","2007-02-16",25.02
"33","2007-02-20",24.940001
"34","2007-02-21",24.51
"35","2007-02-22",24.23
"36","2007-02-23",23.950001
"37","2007-02-26",23.690001
"38","2007-02-27",23.559999
"39","2007-02-28",24
"40","2007-03-01",24.01
"41","2007-03-02",23.299999
"42","2007-03-05",22.4
"43","2007-03-06",22.959999
"44","2007-03-07",23.200001
"45","2007-03-08",23.690001
"46","2007-03-09",23.49
"47","2007-03-12",23.59
"48","2007-03-13",22.49
"49","2007-03-14",22.34
"50","2007-03-15",21.58
"51","2007-03-16",21.290001
"52","2007-03-19",21.75
"53","2007-03-20",20.790001
"54","2007-03-21",21.540001
"55","2007-03-22",21.99
"56","2007-03-23",22.01
"57","2007-03-26",21.76
"58","2007-03-27",22.6
"59","2007-03-28",17.92
"60","2007-03-29",16.85
"61","2007-03-30",16.889999
"62","2007-04-02",17.01
"63","2007-04-03",17.389999
"64","2007-04-04",17
"65","2007-04-05",17
"66","2007-04-09",16.58
"67","2007-04-10",16.67
"68","2007-04-11",16.610001
"69","2007-04-12",16.76
"70","2007-04-13",16.780001
"71","2007-04-16",16.780001
"72","2007-04-17",16.49
"73","2007-04-18",16.1
"74","2007-04-19",16.01
"75","2007-04-20",16.200001
"76","2007-04-23",17.75
"77","2007-04-24",17.32
"78","2007-04-25",17.129999
"79","2007-04-26",17.51
"80","2007-04-27",17.15
"81","2007-04-30",16.639999
"82","2007-05-01",16.530001
"83","2007-05-02",17
