"","date","JRJC"
"1","2007-01-03",49.799999
"2","2007-01-04",52
"3","2007-01-05",47
"4","2007-01-08",50.599998
"5","2007-01-09",48.799999
"6","2007-01-10",51
"7","2007-01-11",50.5
"8","2007-01-12",48.5
"9","2007-01-16",47.799999
"10","2007-01-17",47.700001
"11","2007-01-18",48
"12","2007-01-19",47.5
"13","2007-01-22",48.299999
"14","2007-01-23",47.900002
"15","2007-01-24",48
"16","2007-01-25",50.599998
"17","2007-01-26",51.5
"18","2007-01-29",52.299999
"19","2007-01-30",51.799999
"20","2007-01-31",53.299999
"21","2007-02-01",50.700001
"22","2007-02-02",52.099998
"23","2007-02-05",53.299999
"24","2007-02-06",51.400002
"25","2007-02-07",51.5
"26","2007-02-08",54
"27","2007-02-09",62.599998
"28","2007-02-12",67.699997
"29","2007-02-13",67.900002
"30","2007-02-14",62.5
"31","2007-02-15",60.099998
"32","2007-02-16",67.900002
"33","2007-02-20",67.599998
"34","2007-02-21",67.099998
"35","2007-02-22",70.599998
"36","2007-02-23",70.400002
"37","2007-02-26",70.300003
"38","2007-02-27",65.900002
"39","2007-02-28",65.300003
"40","2007-03-01",60.700001
"41","2007-03-02",60.400002
"42","2007-03-05",61.5
"43","2007-03-06",59.700001
"44","2007-03-07",60.5
"45","2007-03-08",60.200001
"46","2007-03-09",60
"47","2007-03-12",60.200001
"48","2007-03-13",61.5
"49","2007-03-14",61.5
"50","2007-03-15",61.5
"51","2007-03-16",60.5
"52","2007-03-19",61.299999
"53","2007-03-20",60.900002
"54","2007-03-21",61.099998
"55","2007-03-22",62.299999
"56","2007-03-23",63
"57","2007-03-26",63.299999
"58","2007-03-27",61.099998
"59","2007-03-28",60.200001
"60","2007-03-29",60.400002
"61","2007-03-30",60.5
"62","2007-04-02",61.5
"63","2007-04-03",60.900002
"64","2007-04-04",61.299999
"65","2007-04-05",62.5
"66","2007-04-09",64.099998
"67","2007-04-10",66.900002
"68","2007-04-11",68.900002
"69","2007-04-12",68.900002
"70","2007-04-13",65.900002
"71","2007-04-16",67.5
"72","2007-04-17",66.599998
"73","2007-04-18",66.699997
"74","2007-04-19",66.199997
"75","2007-04-20",66.900002
"76","2007-04-23",67.300003
"77","2007-04-24",66.199997
"78","2007-04-25",66.699997
"79","2007-04-26",64.699997
"80","2007-04-27",66.900002
"81","2007-04-30",67.800003
"82","2007-05-01",66.400002
"83","2007-05-02",66.199997
"84","2007-05-03",66.099998
"85","2007-05-04",66
"86","2007-05-07",65.300003
"87","2007-05-08",67.300003
"88","2007-05-09",65.099998
"89","2007-05-10",65.900002
"90","2007-05-11",65.400002
"91","2007-05-14",65.400002
"92","2007-05-15",65.400002
"93","2007-05-16",66.800003
"94","2007-05-17",68.099998
"95","2007-05-18",69
"96","2007-05-21",72
"97","2007-05-22",81.5
"98","2007-05-23",95.699997
"99","2007-05-24",100.099998
"100","2007-05-25",92
"101","2007-05-29",93.5
"102","2007-05-30",95.300003
"103","2007-05-31",91.400002
"104","2007-06-01",90.800003
"105","2007-06-04",85.300003
"106","2007-06-05",85.800003
"107","2007-06-06",84.099998
"108","2007-06-07",85.400002
"109","2007-06-08",85.900002
"110","2007-06-11",90
"111","2007-06-12",89.900002
"112","2007-06-13",91
"113","2007-06-14",95
"114","2007-06-15",95.400002
"115","2007-06-18",97.400002
"116","2007-06-19",96.099998
"117","2007-06-20",92
"118","2007-06-21",89.599998
"119","2007-06-22",89.5
"120","2007-06-25",89.199997
"121","2007-06-26",89.800003
"122","2007-06-27",86.5
"123","2007-06-28",83.199997
"124","2007-06-29",84.699997
"125","2007-07-02",92
"126","2007-07-03",92.800003
"127","2007-07-05",92.300003
"128","2007-07-06",101.599998
"129","2007-07-09",114
"130","2007-07-10",110.199997
"131","2007-07-11",124.5
"132","2007-07-12",125.599998
"133","2007-07-13",124.400002
"134","2007-07-16",115.599998
"135","2007-07-17",116.699997
"136","2007-07-18",110.800003
"137","2007-07-19",110.199997
"138","2007-07-20",110.300003
"139","2007-07-23",114.800003
"140","2007-07-24",106.599998
"141","2007-07-25",106.800003
"142","2007-07-26",103.900002
"143","2007-07-27",100.400002
"144","2007-07-30",102.199997
"145","2007-07-31",106.800003
"146","2007-08-01",102.900002
"147","2007-08-02",104.800003
"148","2007-08-03",102.199997
"149","2007-08-06",99.199997
"150","2007-08-07",97.199997
"151","2007-08-08",100.800003
"152","2007-08-09",98.5
"153","2007-08-10",93.5
"154","2007-08-13",95.5
"155","2007-08-14",103.900002
"156","2007-08-15",104.699997
"157","2007-08-16",89.699997
"158","2007-08-17",96.199997
"159","2007-08-20",93
"160","2007-08-21",93
"161","2007-08-22",103.5
"162","2007-08-23",102.5
"163","2007-08-24",104.5
"164","2007-08-27",101.5
"165","2007-08-28",95.199997
"166","2007-08-29",99.199997
"167","2007-08-30",101.599998
"168","2007-08-31",107
"169","2007-09-04",109.400002
"170","2007-09-05",119.900002
