"","date","VRSK"
"1","2009-10-07",27.219999
"2","2009-10-08",26.6
"3","2009-10-09",26.4
"4","2009-10-12",26.25
"5","2009-10-13",27.190001
"6","2009-10-14",27.99
"7","2009-10-15",28.309999
"8","2009-10-16",28.57
"9","2009-10-19",27.5
"10","2009-10-20",28.059999
"11","2009-10-21",28
"12","2009-10-22",27.889999
"13","2009-10-23",28.370001
"14","2009-10-26",28.450001
"15","2009-10-27",28.559999
"16","2009-10-28",27.690001
"17","2009-10-29",27.889999
"18","2009-10-30",27.43
"19","2009-11-02",27.370001
"20","2009-11-03",27.360001
"21","2009-11-04",26.959999
"22","2009-11-05",27.299999
"23","2009-11-06",27.1
"24","2009-11-09",27.58
"25","2009-11-10",27.67
"26","2009-11-11",28.98
"27","2009-11-12",28.9
"28","2009-11-13",28.9
"29","2009-11-16",28.85
"30","2009-11-17",27.85
"31","2009-11-18",28.5
"32","2009-11-19",28.540001
"33","2009-11-20",28.549999
"34","2009-11-23",28.4
"35","2009-11-24",27.780001
"36","2009-11-25",27.299999
"37","2009-11-27",26.99
"38","2009-11-30",26.91
"39","2009-12-01",27.780001
"40","2009-12-02",27.51
"41","2009-12-03",27.719999
"42","2009-12-04",28.43
"43","2009-12-07",28.74
"44","2009-12-08",28.610001
"45","2009-12-09",28.65
"46","2009-12-10",28.4
"47","2009-12-11",28.66
"48","2009-12-14",28.99
"49","2009-12-15",29.299999
"50","2009-12-16",30.389999
"51","2009-12-17",30.4
"52","2009-12-18",30.559999
"53","2009-12-21",30.5
"54","2009-12-22",30.58
"55","2009-12-23",30.68
"56","2009-12-24",30.799999
"57","2009-12-28",30.959999
"58","2009-12-29",31
"59","2009-12-30",31
"60","2009-12-31",30.280001
"61","2010-01-04",29.85
"62","2010-01-05",30.049999
"63","2010-01-06",30.440001
"64","2010-01-07",30.389999
"65","2010-01-08",30
"66","2010-01-11",29.93
"67","2010-01-12",30.16
"68","2010-01-13",30.15
"69","2010-01-14",29.91
"70","2010-01-15",28.950001
"71","2010-01-19",27.950001
"72","2010-01-20",27.99
"73","2010-01-21",28.040001
"74","2010-01-22",28.01
"75","2010-01-25",27.950001
"76","2010-01-26",28.35
"77","2010-01-27",28.9
"78","2010-01-28",28.77
"79","2010-01-29",28.120001
"80","2010-02-01",28.41
"81","2010-02-02",27.959999
"82","2010-02-03",27.99
"83","2010-02-04",27.75
"84","2010-02-05",27.700001
"85","2010-02-08",27.629999
