"","date","MGY"
"1","2017-06-29",10
"2","2017-06-30",10.06
"3","2017-07-03",10.06
"4","2017-07-05",10.06
"5","2017-07-06",10.06
"6","2017-07-07",9.84
"7","2017-07-10",9.84
"8","2017-07-11",9.84
"9","2017-07-12",9.84
"10","2017-07-13",9.85
"11","2017-07-14",9.85
"12","2017-07-17",9.9
"13","2017-07-18",9.9
"14","2017-07-19",9.9
"15","2017-07-20",9.9
"16","2017-07-21",9.9
"17","2017-07-24",9.9
"18","2017-07-25",9.9
"19","2017-07-26",9.9
"20","2017-07-27",9.9
"21","2017-07-28",9.9
"22","2017-07-31",9.9
"23","2017-08-01",9.9
"24","2017-08-02",9.9
"25","2017-08-03",9.9
"26","2017-08-04",9.9
"27","2017-08-07",9.88
"28","2017-08-08",9.88
"29","2017-08-09",9.88
"30","2017-08-10",9.88
"31","2017-08-11",9.88
"32","2017-08-14",9.88
"33","2017-08-15",9.7
"34","2017-08-16",9.8
"35","2017-08-17",9.8
"36","2017-08-18",9.8
"37","2017-08-21",9.8
"38","2017-08-22",9.8
"39","2017-08-23",9.8
"40","2017-08-24",9.8
"41","2017-08-25",9.8
"42","2017-08-28",9.778
"43","2017-08-29",9.778
"44","2017-08-30",9.778
"45","2017-08-31",9.835
"46","2017-09-01",9.809
"47","2017-09-05",9.85
"48","2017-09-06",9.815
"49","2017-09-07",9.85
"50","2017-09-08",9.85
"51","2017-09-11",9.85
"52","2017-09-12",9.795
"53","2017-09-13",9.8
"54","2017-09-14",9.8
"55","2017-09-15",9.8
"56","2017-09-18",9.8
"57","2017-09-19",9.83
"58","2017-09-20",9.83
"59","2017-09-21",9.811
"60","2017-09-22",9.811
"61","2017-09-25",9.811
"62","2017-09-26",9.772
"63","2017-09-27",9.772
"64","2017-09-28",9.772
"65","2017-09-29",9.772
"66","2017-10-02",9.772
"67","2017-10-03",9.7
"68","2017-10-04",9.7
"69","2017-10-05",9.83
"70","2017-10-06",9.86
"71","2017-10-09",9.86
"72","2017-10-10",9.86
"73","2017-10-11",9.859
"74","2017-10-12",9.859
"75","2017-10-13",9.859
"76","2017-10-16",9.9
"77","2017-10-17",9.8
"78","2017-10-18",9.9
"79","2017-10-19",9.83
"80","2017-10-20",9.83
"81","2017-10-23",9.86
"82","2017-10-24",9.8
"83","2017-10-25",9.8
"84","2017-10-26",9.77
"85","2017-10-27",9.77
"86","2017-10-30",9.77
"87","2017-10-31",9.76
"88","2017-11-01",9.758
"89","2017-11-02",9.758
"90","2017-11-03",9.758
"91","2017-11-06",9.73
"92","2017-11-07",9.73
"93","2017-11-08",9.73
"94","2017-11-09",9.73
"95","2017-11-10",9.72
"96","2017-11-13",9.72
"97","2017-11-14",9.72
"98","2017-11-15",9.72
"99","2017-11-16",9.85
"100","2017-11-17",9.7
"101","2017-11-20",9.7
"102","2017-11-21",9.72
"103","2017-11-22",9.72
"104","2017-11-24",9.72
"105","2017-11-27",9.72
"106","2017-11-28",9.69
"107","2017-11-29",9.69
"108","2017-11-30",9.68
"109","2017-12-01",9.72
"110","2017-12-04",9.739
"111","2017-12-05",9.739
"112","2017-12-06",9.74
"113","2017-12-07",9.72
"114","2017-12-08",9.72
"115","2017-12-11",9.72
"116","2017-12-12",9.74
"117","2017-12-13",9.74
"118","2017-12-14",9.75
"119","2017-12-15",9.75
"120","2017-12-18",9.75
"121","2017-12-19",9.74
"122","2017-12-20",9.73
"123","2017-12-21",9.73
"124","2017-12-22",9.73
"125","2017-12-26",9.73
"126","2017-12-27",9.73
"127","2017-12-28",9.73
"128","2017-12-29",9.74
"129","2018-01-02",9.74
"130","2018-01-03",9.73
"131","2018-01-04",9.8
"132","2018-01-05",9.76
"133","2018-01-08",9.76
"134","2018-01-09",9.77
"135","2018-01-10",9.77
"136","2018-01-11",9.77
"137","2018-01-12",9.75
"138","2018-01-16",9.78
"139","2018-01-17",9.74
"140","2018-01-18",9.74
"141","2018-01-19",9.76
"142","2018-01-22",9.73
"143","2018-01-23",9.73
"144","2018-01-24",9.73
"145","2018-01-25",9.73
"146","2018-01-26",9.73
"147","2018-01-29",9.73
"148","2018-01-30",9.73
"149","2018-01-31",9.73
"150","2018-02-01",9.73
"151","2018-02-02",9.75
"152","2018-02-05",9.75
"153","2018-02-06",9.73
"154","2018-02-07",9.73
"155","2018-02-08",9.7
"156","2018-02-09",9.7
"157","2018-02-12",9.71
"158","2018-02-13",9.7
"159","2018-02-14",9.7
"160","2018-02-15",9.69
"161","2018-02-16",9.69
"162","2018-02-20",9.69
