"","date","REXR"
"1","2013-07-19",14.04
"2","2013-07-22",14
"3","2013-07-23",14.09
"4","2013-07-24",14.02
"5","2013-07-25",14.03
"6","2013-07-26",14.13
"7","2013-07-29",14.04
"8","2013-07-30",14.01
"9","2013-07-31",14.03
"10","2013-08-01",14.01
"11","2013-08-02",14
"12","2013-08-05",14.01
"13","2013-08-06",13.95
"14","2013-08-07",13.82
"15","2013-08-08",13.63
"16","2013-08-09",13.46
"17","2013-08-12",13.6
"18","2013-08-13",13.9
"19","2013-08-14",13.99
"20","2013-08-15",13.59
"21","2013-08-16",13.87
"22","2013-08-19",13.42
"23","2013-08-20",13.6
"24","2013-08-21",13.18
"25","2013-08-22",13.29
"26","2013-08-23",13.6
"27","2013-08-26",13.54
"28","2013-08-27",13.66
"29","2013-08-28",13.28
"30","2013-08-29",13.27
"31","2013-08-30",13.18
"32","2013-09-03",13.55
"33","2013-09-04",13.53
"34","2013-09-05",13.25
"35","2013-09-06",13.19
"36","2013-09-09",13.45
"37","2013-09-10",13.53
"38","2013-09-11",13.42
"39","2013-09-12",13.58
"40","2013-09-13",13.67
"41","2013-09-16",13.96
"42","2013-09-17",13.97
"43","2013-09-18",14.09
"44","2013-09-19",13.95
"45","2013-09-20",13.45
"46","2013-09-23",13.88
"47","2013-09-24",13.79
"48","2013-09-25",13.97
"49","2013-09-26",13.94
"50","2013-09-27",13.72
"51","2013-09-30",13.51
"52","2013-10-01",13.69
"53","2013-10-02",13.63
"54","2013-10-03",13.65
"55","2013-10-04",13.52
"56","2013-10-07",13.39
"57","2013-10-08",13.15
"58","2013-10-09",13.22
"59","2013-10-10",13.38
"60","2013-10-11",13.44
"61","2013-10-14",13.6
"62","2013-10-15",13.56
"63","2013-10-16",13.54
"64","2013-10-17",13.59
"65","2013-10-18",13.68
"66","2013-10-21",13.57
"67","2013-10-22",13.67
"68","2013-10-23",13.69
"69","2013-10-24",13.82
"70","2013-10-25",14.15
"71","2013-10-28",14.05
"72","2013-10-29",14.01
"73","2013-10-30",14
