"","date","NBN"
"1","2007-01-03",19.059999
"2","2007-01-04",19.120001
"3","2007-01-05",19.4
"4","2007-01-08",19.52
"5","2007-01-09",19.6
"6","2007-01-10",20
"7","2007-01-11",20.1
"8","2007-01-12",20.1
"9","2007-01-16",20.1
"10","2007-01-17",20.1
"11","2007-01-18",20.1
"12","2007-01-19",20.59
"13","2007-01-22",20.200001
"14","2007-01-23",20.200001
"15","2007-01-24",20.1
"16","2007-01-25",19.84
"17","2007-01-26",19.75
"18","2007-01-29",19.59
"19","2007-01-30",19.799999
"20","2007-01-31",19.799999
"21","2007-02-01",19.620001
"22","2007-02-02",19.620001
"23","2007-02-05",19.549999
"24","2007-02-06",19.389999
"25","2007-02-07",19.389999
"26","2007-02-08",19.25
"27","2007-02-09",19.25
"28","2007-02-12",19.129999
"29","2007-02-13",19
"30","2007-02-14",19.049999
"31","2007-02-15",18.98
"32","2007-02-16",18.98
"33","2007-02-20",19.08
"34","2007-02-21",19.15
"35","2007-02-22",19.049999
"36","2007-02-23",19
"37","2007-02-26",18.959999
"38","2007-02-27",18.540001
"39","2007-02-28",18.57
"40","2007-03-01",18.700001
"41","2007-03-02",18.58
"42","2007-03-05",18.75
"43","2007-03-06",18.67
"44","2007-03-07",18.76
"45","2007-03-08",18.690001
"46","2007-03-09",18.690001
"47","2007-03-12",18.790001
"48","2007-03-13",18.719999
"49","2007-03-14",18.58
"50","2007-03-15",18.629999
"51","2007-03-16",18.549999
"52","2007-03-19",18.540001
"53","2007-03-20",18.52
"54","2007-03-21",18.6
"55","2007-03-22",18.6
"56","2007-03-23",18.52
"57","2007-03-26",18.52
"58","2007-03-27",18.68
"59","2007-03-28",18.610001
"60","2007-03-29",18.65
"61","2007-03-30",18.65
"62","2007-04-02",18.65
"63","2007-04-03",18.65
"64","2007-04-04",18.65
"65","2007-04-05",18.610001
"66","2007-04-09",18.73
"67","2007-04-10",18.73
"68","2007-04-11",18.809999
"69","2007-04-12",18.68
"70","2007-04-13",18.91
"71","2007-04-16",18.83
"72","2007-04-17",18.879999
"73","2007-04-18",19.08
"74","2007-04-19",18.85
"75","2007-04-20",18.610001
"76","2007-04-23",18.67
"77","2007-04-24",18.23
"78","2007-04-25",18.049999
"79","2007-04-26",18
"80","2007-04-27",18.129999
"81","2007-04-30",17.75
"82","2007-05-01",17.940001
"83","2007-05-02",17.85
"84","2007-05-03",17.85
"85","2007-05-04",17.85
"86","2007-05-07",17.719999
"87","2007-05-08",17.799999
"88","2007-05-09",17.799999
"89","2007-05-10",17.719999
"90","2007-05-11",17.65
"91","2007-05-14",17.68
"92","2007-05-15",17.68
"93","2007-05-16",17.6
"94","2007-05-17",17.6
"95","2007-05-18",17.48
"96","2007-05-21",17.6
"97","2007-05-22",17.6
"98","2007-05-23",17.48
"99","2007-05-24",17.48
"100","2007-05-25",17.469999
"101","2007-05-29",17.469999
"102","2007-05-30",17.440001
"103","2007-05-31",17.4
"104","2007-06-01",17.299999
"105","2007-06-04",17.459999
"106","2007-06-05",17.75
"107","2007-06-06",17.66
"108","2007-06-07",17.5
"109","2007-06-08",17.4
"110","2007-06-11",17.4
"111","2007-06-12",17.280001
"112","2007-06-13",17.280001
"113","2007-06-14",17.280001
"114","2007-06-15",17.280001
"115","2007-06-18",16.700001
"116","2007-06-19",16.870001
"117","2007-06-20",16.700001
"118","2007-06-21",16.68
