"","date","FOLD"
"1","2007-05-31",14.43
"2","2007-06-01",13.5
"3","2007-06-04",13.8
"4","2007-06-05",14.02
"5","2007-06-06",14
"6","2007-06-07",13.95
"7","2007-06-08",14.19
"8","2007-06-11",13.98
"9","2007-06-12",13.87
"10","2007-06-13",13.52
"11","2007-06-14",13.6
"12","2007-06-15",13.93
"13","2007-06-18",13.08
"14","2007-06-19",12.85
"15","2007-06-20",12.24
"16","2007-06-21",11.22
"17","2007-06-22",10.83
"18","2007-06-25",10.58
"19","2007-06-26",10.84
"20","2007-06-27",11.57
"21","2007-06-28",11.54
"22","2007-06-29",11.5
"23","2007-07-02",12.08
"24","2007-07-03",12
"25","2007-07-05",11.98
"26","2007-07-06",12.18
"27","2007-07-09",12.82
"28","2007-07-10",12.89
"29","2007-07-11",13
"30","2007-07-12",13.26
"31","2007-07-13",13.47
"32","2007-07-16",13.16
"33","2007-07-17",12.57
"34","2007-07-18",12.38
"35","2007-07-19",12.08
"36","2007-07-20",11.81
"37","2007-07-23",12
"38","2007-07-24",11.67
"39","2007-07-25",11.54
"40","2007-07-26",11.5
"41","2007-07-27",11.53
"42","2007-07-30",11.74
"43","2007-07-31",11.28
"44","2007-08-01",11.74
"45","2007-08-02",11.7
"46","2007-08-03",11.06
"47","2007-08-06",11.22
"48","2007-08-07",11.45
"49","2007-08-08",12.11
"50","2007-08-09",12.24
"51","2007-08-10",12.13
"52","2007-08-13",12.12
"53","2007-08-14",11.71
"54","2007-08-15",11.51
"55","2007-08-16",12.16
"56","2007-08-17",11.24
"57","2007-08-20",11.75
"58","2007-08-21",11.82
"59","2007-08-22",11.5
"60","2007-08-23",11.15
"61","2007-08-24",11.45
"62","2007-08-27",11.44
"63","2007-08-28",11.45
"64","2007-08-29",11.87
"65","2007-08-30",11.92
"66","2007-08-31",11.88
"67","2007-09-04",12.16
"68","2007-09-05",12.13
"69","2007-09-06",12.63
"70","2007-09-07",12.55
"71","2007-09-10",12.16
"72","2007-09-11",12.64
"73","2007-09-12",12.2
"74","2007-09-13",12.3
"75","2007-09-14",13.2
"76","2007-09-17",13.37
"77","2007-09-18",13.52
"78","2007-09-19",14.57
"79","2007-09-20",15.26
"80","2007-09-21",15.12
"81","2007-09-24",15.11
"82","2007-09-25",15
"83","2007-09-26",15.2
"84","2007-09-27",15.58
"85","2007-09-28",16.709999
"86","2007-10-01",17.35
"87","2007-10-02",17.1
"88","2007-10-03",16.77
"89","2007-10-04",16.700001
"90","2007-10-05",18
"91","2007-10-08",18.040001
"92","2007-10-09",17.950001
"93","2007-10-10",18
"94","2007-10-11",17.92
"95","2007-10-12",17.959999
"96","2007-10-15",17.07
"97","2007-10-16",16.860001
"98","2007-10-17",16.68
"99","2007-10-18",16.85
"100","2007-10-19",16.65
"101","2007-10-22",16.75
"102","2007-10-23",16.790001
"103","2007-10-24",16.6
"104","2007-10-25",16.57
"105","2007-10-26",16.559999
"106","2007-10-29",16.530001
"107","2007-10-30",16.25
"108","2007-10-31",16.459999
"109","2007-11-01",16.17
"110","2007-11-02",16.27
"111","2007-11-05",16.139999
"112","2007-11-06",16.4
"113","2007-11-07",16.08
"114","2007-11-08",16.75
"115","2007-11-09",16.73
"116","2007-11-12",16.540001
"117","2007-11-13",16.24
"118","2007-11-14",16.120001
"119","2007-11-15",15.97
"120","2007-11-16",15.8
"121","2007-11-19",14.95
"122","2007-11-20",14.75
"123","2007-11-21",14.66
"124","2007-11-23",14.47
"125","2007-11-26",13.99
"126","2007-11-27",14
"127","2007-11-28",14.01
"128","2007-11-29",14.78
"129","2007-11-30",15.3
"130","2007-12-03",15.49
"131","2007-12-04",15.2
"132","2007-12-05",15.32
"133","2007-12-06",15.47
"134","2007-12-07",15.4
"135","2007-12-10",15.46
"136","2007-12-11",15.34
"137","2007-12-12",15.92
"138","2007-12-13",16.5
"139","2007-12-14",15.72
"140","2007-12-17",15.53
"141","2007-12-18",15.48
"142","2007-12-19",15.13
"143","2007-12-20",9.54
"144","2007-12-21",10.71
"145","2007-12-24",10.77
"146","2007-12-26",10.57
"147","2007-12-27",10.25
"148","2007-12-28",10.49
"149","2007-12-31",10.75
"150","2008-01-02",10.34
"151","2008-01-03",10.14
"152","2008-01-04",10.07
"153","2008-01-07",10.59
"154","2008-01-08",10.56
"155","2008-01-09",10.8
"156","2008-01-10",10.75
"157","2008-01-11",11
"158","2008-01-14",10.9
"159","2008-01-15",10.52
"160","2008-01-16",10.65
"161","2008-01-17",10.74
"162","2008-01-18",10.71
"163","2008-01-22",10.66
"164","2008-01-23",10.84
"165","2008-01-24",10.48
"166","2008-01-25",10.66
"167","2008-01-28",10.74
"168","2008-01-29",10.54
"169","2008-01-30",9.37
"170","2008-01-31",9.72
"171","2008-02-01",10.24
"172","2008-02-04",10.5
"173","2008-02-05",10.21
"174","2008-02-06",10.15
"175","2008-02-07",10
"176","2008-02-08",10.04
"177","2008-02-11",10.12
"178","2008-02-12",10.02
"179","2008-02-13",11.41
"180","2008-02-14",10.81
"181","2008-02-15",10.51
"182","2008-02-19",9.76
"183","2008-02-20",9.64
"184","2008-02-21",10.39
"185","2008-02-22",9.94
"186","2008-02-25",9.95
"187","2008-02-26",10.28
"188","2008-02-27",9.81
"189","2008-02-28",10.48
"190","2008-02-29",9.85
"191","2008-03-03",9.91
"192","2008-03-04",10.11
"193","2008-03-05",9.7
"194","2008-03-06",10.01
"195","2008-03-07",10.71
"196","2008-03-10",9.98
"197","2008-03-11",10.92
"198","2008-03-12",10.66
"199","2008-03-13",11.44
"200","2008-03-14",9.78
"201","2008-03-17",9.42
"202","2008-03-18",10
"203","2008-03-19",10.73
"204","2008-03-20",11.04
"205","2008-03-24",11.53
"206","2008-03-25",11.49
"207","2008-03-26",11.5
