"","date","DHX"
"1","2007-07-26",12.11
"2","2007-07-27",12.3
"3","2007-07-30",12.25
"4","2007-07-31",12
"5","2007-08-01",12.6
"6","2007-08-02",12.7
"7","2007-08-03",12.66
"8","2007-08-06",12.3
"9","2007-08-07",11.72
"10","2007-08-08",11.35
"11","2007-08-09",11.33
"12","2007-08-10",12
"13","2007-08-13",11.99
"14","2007-08-14",11.83
"15","2007-08-15",11
"16","2007-08-16",11.5
"17","2007-08-17",10.36
"18","2007-08-20",10.6
"19","2007-08-21",10.09
"20","2007-08-22",9.83
"21","2007-08-23",10.08
"22","2007-08-24",10.06
"23","2007-08-27",9.82
"24","2007-08-28",9.63
"25","2007-08-29",9.57
"26","2007-08-30",9.8
"27","2007-08-31",9.68
"28","2007-09-04",9.59
"29","2007-09-05",9.7
"30","2007-09-06",9.28
"31","2007-09-07",8.7
"32","2007-09-10",8.47
"33","2007-09-11",8.44
"34","2007-09-12",8.07
"35","2007-09-13",7.84
"36","2007-09-14",7.81
"37","2007-09-17",8
"38","2007-09-18",8.35
"39","2007-09-19",9.58
"40","2007-09-20",9.8
"41","2007-09-21",9.82
"42","2007-09-24",10.18
"43","2007-09-25",9.88
"44","2007-09-26",10.24
"45","2007-09-27",10.25
"46","2007-09-28",10.28
"47","2007-10-01",11.05
"48","2007-10-02",11.1
"49","2007-10-03",11.5
"50","2007-10-04",11.81
"51","2007-10-05",12.4
"52","2007-10-08",11.74
"53","2007-10-09",11.63
"54","2007-10-10",11.45
"55","2007-10-11",11.6
"56","2007-10-12",12.06
"57","2007-10-15",11.75
"58","2007-10-16",11.57
"59","2007-10-17",12.01
"60","2007-10-18",11.93
"61","2007-10-19",11.65
"62","2007-10-22",11.5
"63","2007-10-23",11.23
"64","2007-10-24",10.9
"65","2007-10-25",11.21
"66","2007-10-26",11.49
"67","2007-10-29",11.43
"68","2007-10-30",12
"69","2007-10-31",12.81
"70","2007-11-01",13.09
"71","2007-11-02",13
"72","2007-11-05",12.39
"73","2007-11-06",11.77
"74","2007-11-07",11.27
"75","2007-11-08",9.74
"76","2007-11-09",9.1
"77","2007-11-12",9.8
"78","2007-11-13",10.99
"79","2007-11-14",11.06
"80","2007-11-15",11.97
"81","2007-11-16",11.13
"82","2007-11-19",10.36
"83","2007-11-20",10.38
"84","2007-11-21",9.81
"85","2007-11-23",9.93
"86","2007-11-26",9.55
"87","2007-11-27",9.77
"88","2007-11-28",10.27
"89","2007-11-29",9.9
"90","2007-11-30",9.88
"91","2007-12-03",10.59
"92","2007-12-04",9.99
"93","2007-12-05",9.77
"94","2007-12-06",10.27
"95","2007-12-07",10.01
"96","2007-12-10",10.06
"97","2007-12-11",9.61
"98","2007-12-12",9.57
"99","2007-12-13",9.74
"100","2007-12-14",9.06
"101","2007-12-17",8.6
"102","2007-12-18",8.36
"103","2007-12-19",8.3
"104","2007-12-20",8
"105","2007-12-21",8.05
"106","2007-12-24",8.16
"107","2007-12-26",8.14
"108","2007-12-27",8.25
"109","2007-12-28",7.95
"110","2007-12-31",7.99
"111","2008-01-02",7.6
"112","2008-01-03",7.1
"113","2008-01-04",7.01
"114","2008-01-07",7.31
"115","2008-01-08",7.57
"116","2008-01-09",8.68
"117","2008-01-10",8.57
"118","2008-01-11",8.76
"119","2008-01-14",9.37
"120","2008-01-15",9.1
"121","2008-01-16",8.58
"122","2008-01-17",7.62
"123","2008-01-18",7.38
"124","2008-01-22",6.89
"125","2008-01-23",6.74
"126","2008-01-24",6.75
"127","2008-01-25",6.8
"128","2008-01-28",6.7
"129","2008-01-29",6.6
"130","2008-01-30",6.53
"131","2008-01-31",6.38
"132","2008-02-01",6.43
"133","2008-02-04",6.51
"134","2008-02-05",6.4
"135","2008-02-06",6.75
"136","2008-02-07",7.5
"137","2008-02-08",7.5
"138","2008-02-11",6.96
"139","2008-02-12",6.65
"140","2008-02-13",6.37
"141","2008-02-14",6.28
"142","2008-02-15",6.04
"143","2008-02-19",5.97
"144","2008-02-20",6.25
"145","2008-02-21",6.27
"146","2008-02-22",6.73
"147","2008-02-25",7.11
"148","2008-02-26",7.44
"149","2008-02-27",7.29
"150","2008-02-28",7.1
"151","2008-02-29",7.27
"152","2008-03-03",7.28
"153","2008-03-04",7.28
"154","2008-03-05",7.27
"155","2008-03-06",7.15
"156","2008-03-07",7.26
"157","2008-03-10",7.22
"158","2008-03-11",7.72
"159","2008-03-12",7.27
"160","2008-03-13",7.59
"161","2008-03-14",7.26
"162","2008-03-17",7.48
"163","2008-03-18",7.66
"164","2008-03-19",7.56
"165","2008-03-20",7.5
"166","2008-03-24",8.15
"167","2008-03-25",8.94
"168","2008-03-26",8.85
"169","2008-03-27",9.12
"170","2008-03-28",9.01
"171","2008-03-31",8.91
"172","2008-04-01",8.93
"173","2008-04-02",8.84
"174","2008-04-03",8.82
"175","2008-04-04",9.04
"176","2008-04-07",8.63
"177","2008-04-08",8.57
"178","2008-04-09",8.39
"179","2008-04-10",8.29
"180","2008-04-11",8.03
"181","2008-04-14",7.98
"182","2008-04-15",7.97
"183","2008-04-16",8
"184","2008-04-17",8.05
"185","2008-04-18",8.09
"186","2008-04-21",8.07
"187","2008-04-22",7.79
"188","2008-04-23",7.64
"189","2008-04-24",7.66
"190","2008-04-25",7.53
"191","2008-04-28",7.3
"192","2008-04-29",6.95
"193","2008-04-30",6.82
"194","2008-05-01",7.08
"195","2008-05-02",7.04
"196","2008-05-05",6.63
"197","2008-05-06",6.5
"198","2008-05-07",6.46
"199","2008-05-08",6.49
"200","2008-05-09",6.29
"201","2008-05-12",6.29
"202","2008-05-13",6.53
"203","2008-05-14",6.57
"204","2008-05-15",6.59
"205","2008-05-16",6.6
"206","2008-05-19",6.8
"207","2008-05-20",6.79
"208","2008-05-21",6.85
"209","2008-05-22",7
"210","2008-05-23",7.11
"211","2008-05-27",7.61
"212","2008-05-28",7.36
"213","2008-05-29",7.96
"214","2008-05-30",7.61
"215","2008-06-02",7.41
"216","2008-06-03",7.16
"217","2008-06-04",7.27
"218","2008-06-05",7.41
"219","2008-06-06",7.3
"220","2008-06-09",7.29
"221","2008-06-10",7.29
"222","2008-06-11",7.25
"223","2008-06-12",7.41
"224","2008-06-13",7.88
"225","2008-06-16",8.05
"226","2008-06-17",7.39
"227","2008-06-18",7.45
"228","2008-06-19",7.65
"229","2008-06-20",7.46
"230","2008-06-23",7.39
"231","2008-06-24",7.25
"232","2008-06-25",8.05
"233","2008-06-26",7.89
"234","2008-06-27",8.19
"235","2008-06-30",8.26
"236","2008-07-01",8.19
"237","2008-07-02",7.99
"238","2008-07-03",7.35
"239","2008-07-07",7.14
"240","2008-07-08",7.4
"241","2008-07-09",7.35
"242","2008-07-10",7.38
"243","2008-07-11",7.22
"244","2008-07-14",7.41
"245","2008-07-15",7.38
"246","2008-07-16",7.4
"247","2008-07-17",7.67
"248","2008-07-18",7.56
"249","2008-07-21",7.5
"250","2008-07-22",7.86
"251","2008-07-23",7.84
"252","2008-07-24",8.09
"253","2008-07-25",8.25
"254","2008-07-28",8.45
"255","2008-07-29",8.74
"256","2008-07-30",8.83
"257","2008-07-31",8.88
"258","2008-08-01",8.66
"259","2008-08-04",8.63
"260","2008-08-05",8.79
"261","2008-08-06",8.99
"262","2008-08-07",8.9
"263","2008-08-08",9.13
"264","2008-08-11",9.1
"265","2008-08-12",9.24
"266","2008-08-13",9.14
"267","2008-08-14",9.14
"268","2008-08-15",9.14
"269","2008-08-18",8.87
"270","2008-08-19",8.82
"271","2008-08-20",8.84
"272","2008-08-21",8.85
"273","2008-08-22",8.9
"274","2008-08-25",8.74
"275","2008-08-26",8.7
"276","2008-08-27",8.95
"277","2008-08-28",8.94
"278","2008-08-29",8.89
"279","2008-09-02",8.7
"280","2008-09-03",9.15
"281","2008-09-04",8.56
"282","2008-09-05",8.28
"283","2008-09-08",8.18
"284","2008-09-09",8.01
"285","2008-09-10",8
"286","2008-09-11",7.68
"287","2008-09-12",6.96
"288","2008-09-15",6.76
"289","2008-09-16",6.82
"290","2008-09-17",6.67
"291","2008-09-18",7.1
"292","2008-09-19",7
"293","2008-09-22",6.52
