"","date","GLOB"
"1","2014-07-18",11.25
"2","2014-07-21",11.51
"3","2014-07-22",11.44
"4","2014-07-23",11.02
"5","2014-07-24",10.99
"6","2014-07-25",10.67
"7","2014-07-28",11.15
"8","2014-07-29",11.42
"9","2014-07-30",11.47
"10","2014-07-31",11.32
"11","2014-08-01",11.42
"12","2014-08-04",11.74
"13","2014-08-05",11.91
"14","2014-08-06",11.89
"15","2014-08-07",11.67
"16","2014-08-08",11.95
"17","2014-08-11",12.36
"18","2014-08-12",12.14
"19","2014-08-13",12.19
"20","2014-08-14",12.32
"21","2014-08-15",12.16
"22","2014-08-18",12.05
"23","2014-08-19",11.81
"24","2014-08-20",11.57
"25","2014-08-21",12.45
"26","2014-08-22",12.6
"27","2014-08-25",12.5
"28","2014-08-26",12.48
"29","2014-08-27",12.4
"30","2014-08-28",12.33
"31","2014-08-29",12.41
"32","2014-09-02",13.13
"33","2014-09-03",13.59
"34","2014-09-04",14.2
"35","2014-09-05",13.99
"36","2014-09-08",13.65
"37","2014-09-09",13
"38","2014-09-10",13.15
"39","2014-09-11",13.13
"40","2014-09-12",13.09
"41","2014-09-15",13.02
"42","2014-09-16",12.75
"43","2014-09-17",12.9
"44","2014-09-18",13.38
"45","2014-09-19",13.34
"46","2014-09-22",13.3
"47","2014-09-23",13.44
"48","2014-09-24",13.28
"49","2014-09-25",12.97
"50","2014-09-26",13.82
"51","2014-09-29",13.72
"52","2014-09-30",14.07
"53","2014-10-01",13.81
"54","2014-10-02",13.57
"55","2014-10-03",13.59
"56","2014-10-06",13.95
"57","2014-10-07",13.55
"58","2014-10-08",13.56
"59","2014-10-09",13.01
"60","2014-10-10",13.3
"61","2014-10-13",13.16
"62","2014-10-14",13.39
"63","2014-10-15",13.21
"64","2014-10-16",13.62
"65","2014-10-17",12.63
"66","2014-10-20",13.24
"67","2014-10-21",13.07
"68","2014-10-22",12.72
"69","2014-10-23",12.79
"70","2014-10-24",12.54
"71","2014-10-27",12.19
"72","2014-10-28",12.98
"73","2014-10-29",12.73
"74","2014-10-30",13.2
"75","2014-10-31",12.94
"76","2014-11-03",13.42
"77","2014-11-04",13.48
"78","2014-11-05",13.46
"79","2014-11-06",13.42
"80","2014-11-07",14.12
"81","2014-11-10",14
"82","2014-11-11",13.42
"83","2014-11-12",13.54
"84","2014-11-13",13.28
"85","2014-11-14",13.13
"86","2014-11-17",13.12
"87","2014-11-18",12.99
"88","2014-11-19",12.8
"89","2014-11-20",13
"90","2014-11-21",13.05
"91","2014-11-24",13.5
"92","2014-11-25",13.28
"93","2014-11-26",13.65
"94","2014-11-28",13.8
"95","2014-12-01",12.9
"96","2014-12-02",13.17
"97","2014-12-03",13.25
"98","2014-12-04",13.3
"99","2014-12-05",13.25
"100","2014-12-08",13.15
"101","2014-12-09",13.81
"102","2014-12-10",13.46
"103","2014-12-11",13.47
"104","2014-12-12",13.33
"105","2014-12-15",13.34
"106","2014-12-16",13.44
"107","2014-12-17",13.87
"108","2014-12-18",13.69
"109","2014-12-19",15.02
"110","2014-12-22",14.55
"111","2014-12-23",14.62
"112","2014-12-24",14.65
"113","2014-12-26",14.85
"114","2014-12-29",15.26
"115","2014-12-30",15
"116","2014-12-31",15.62
"117","2015-01-02",15.5
"118","2015-01-05",14.94
"119","2015-01-06",14.43
"120","2015-01-07",13.99
"121","2015-01-08",13.95
"122","2015-01-09",14.02
"123","2015-01-12",13.65
"124","2015-01-13",13.91
"125","2015-01-14",14.19
"126","2015-01-15",13.74
"127","2015-01-16",14.4
"128","2015-01-20",14.11
"129","2015-01-21",13.63
"130","2015-01-22",13.8
"131","2015-01-23",13.94
"132","2015-01-26",14.45
"133","2015-01-27",14.34
"134","2015-01-28",14.04
"135","2015-01-29",14.14
"136","2015-01-30",13.88
"137","2015-02-02",13.3
"138","2015-02-03",14
"139","2015-02-04",14.11
"140","2015-02-05",14.48
"141","2015-02-06",14.3
"142","2015-02-09",14.15
"143","2015-02-10",13.96
"144","2015-02-11",14.26
"145","2015-02-12",14.4
"146","2015-02-13",14.37
"147","2015-02-17",14.21
"148","2015-02-18",14.21
"149","2015-02-19",14.17
"150","2015-02-20",14.25
"151","2015-02-23",14.3
"152","2015-02-24",14.67
"153","2015-02-25",14.92
"154","2015-02-26",15.73
"155","2015-02-27",16.690001
"156","2015-03-02",17.52
"157","2015-03-03",17.809999
"158","2015-03-04",17.639999
"159","2015-03-05",18.459999
"160","2015-03-06",18.309999
"161","2015-03-09",17.780001
"162","2015-03-10",17.780001
"163","2015-03-11",18.02
"164","2015-03-12",17.85
"165","2015-03-13",17.389999
"166","2015-03-16",17.889999
"167","2015-03-17",18.299999
"168","2015-03-18",17.950001
"169","2015-03-19",17.799999
"170","2015-03-20",17.809999
"171","2015-03-23",17.84
"172","2015-03-24",18.02
"173","2015-03-25",17.540001
"174","2015-03-26",18.5
"175","2015-03-27",21.07
"176","2015-03-30",21.059999
"177","2015-03-31",21.059999
"178","2015-04-01",21.17
"179","2015-04-02",20.950001
"180","2015-04-06",20.940001
"181","2015-04-07",22.610001
"182","2015-04-08",24.33
"183","2015-04-09",24.870001
"184","2015-04-10",24.33
"185","2015-04-13",24.209999
"186","2015-04-14",23.860001
"187","2015-04-15",23.18
"188","2015-04-16",23.780001
"189","2015-04-17",23.08
"190","2015-04-20",23.030001
"191","2015-04-21",22.77
"192","2015-04-22",22.33
"193","2015-04-23",22.84
"194","2015-04-24",22.190001
"195","2015-04-27",21.6
"196","2015-04-28",22.280001
"197","2015-04-29",21.58
"198","2015-04-30",21.01
"199","2015-05-01",21.18
"200","2015-05-04",21.209999
"201","2015-05-05",21.139999
"202","2015-05-06",20.690001
"203","2015-05-07",21.35
"204","2015-05-08",21.24
"205","2015-05-11",21.85
"206","2015-05-12",21.68
"207","2015-05-13",23
"208","2015-05-14",22.959999
"209","2015-05-15",24.379999
"210","2015-05-18",23.98
"211","2015-05-19",23.57
"212","2015-05-20",26.01
"213","2015-05-21",25.77
"214","2015-05-22",24.889999
"215","2015-05-26",25.02
"216","2015-05-27",25.68
"217","2015-05-28",25.719999
"218","2015-05-29",26.040001
"219","2015-06-01",26.24
"220","2015-06-02",26.25
"221","2015-06-03",27.82
"222","2015-06-04",27.809999
"223","2015-06-05",28.309999
"224","2015-06-08",28.52
"225","2015-06-09",27.15
"226","2015-06-10",29.280001
"227","2015-06-11",29.01
"228","2015-06-12",29.879999
"229","2015-06-15",31.65
"230","2015-06-16",31.24
"231","2015-06-17",31.120001
"232","2015-06-18",31.629999
"233","2015-06-19",31.209999
"234","2015-06-22",31.17
"235","2015-06-23",30.799999
"236","2015-06-24",30.5
"237","2015-06-25",31
"238","2015-06-26",30.75
"239","2015-06-29",29.799999
"240","2015-06-30",30.43
"241","2015-07-01",30.610001
"242","2015-07-02",30.370001
"243","2015-07-06",30.26
"244","2015-07-07",28.98
"245","2015-07-08",28.309999
"246","2015-07-09",29.110001
"247","2015-07-10",31.299999
"248","2015-07-13",32.82
"249","2015-07-14",33.400002
"250","2015-07-15",32.009998
"251","2015-07-16",33.970001
"252","2015-07-17",34.119999
"253","2015-07-20",33.330002
"254","2015-07-21",33.049999
"255","2015-07-22",33.200001
"256","2015-07-23",34.200001
"257","2015-07-24",32.919998
"258","2015-07-27",30.809999
"259","2015-07-28",32.439999
"260","2015-07-29",32.459999
"261","2015-07-30",32.209999
"262","2015-07-31",31.799999
"263","2015-08-03",31.5
"264","2015-08-04",31.42
"265","2015-08-05",31.719999
"266","2015-08-06",31.76
"267","2015-08-07",31.110001
"268","2015-08-10",32.240002
"269","2015-08-11",30.77
"270","2015-08-12",29.34
"271","2015-08-13",29.99
"272","2015-08-14",31.26
"273","2015-08-17",31.82
"274","2015-08-18",31.120001
"275","2015-08-19",31.049999
"276","2015-08-20",31.219999
"277","2015-08-21",32.66
"278","2015-08-24",29.4
"279","2015-08-25",27.690001
"280","2015-08-26",26.389999
"281","2015-08-27",27
"282","2015-08-28",27.559999
