"","date","QADA"
"1","2010-12-16",11.5
"2","2010-12-17",12
"3","2010-12-20",10.51
"4","2010-12-21",9.8
"5","2010-12-22",9.84
"6","2010-12-23",9.8
"7","2010-12-27",9.83
"8","2010-12-28",9.77
"9","2010-12-29",9.43
"10","2010-12-30",9.23
"11","2010-12-31",9.1
"12","2011-01-03",8.73
"13","2011-01-04",9.12
"14","2011-01-05",9.4
"15","2011-01-06",9.17
"16","2011-01-07",9.33
"17","2011-01-10",9.18
"18","2011-01-11",9.17
"19","2011-01-12",9.42
"20","2011-01-13",9.51
"21","2011-01-14",9.78
"22","2011-01-18",9.4
"23","2011-01-19",9.44
"24","2011-01-20",9.14
"25","2011-01-21",9.05
"26","2011-01-24",8.91
"27","2011-01-25",9.06
"28","2011-01-26",8.96
"29","2011-01-27",8.93
"30","2011-01-28",8.75
"31","2011-01-31",8.58
"32","2011-02-01",8.58
"33","2011-02-02",8.75
"34","2011-02-03",8.59
"35","2011-02-04",8.88
"36","2011-02-07",9.04
"37","2011-02-08",9.18
"38","2011-02-09",8.84
"39","2011-02-10",9.14
"40","2011-02-11",8.76
"41","2011-02-14",8.75
"42","2011-02-15",8.85
"43","2011-02-16",8.9
"44","2011-02-17",9
"45","2011-02-18",8.86
"46","2011-02-22",9.05
"47","2011-02-23",8.99
"48","2011-02-24",9.03
"49","2011-02-25",9.09
"50","2011-02-28",9.09
"51","2011-03-01",9.07
"52","2011-03-02",9.07
"53","2011-03-03",9.14
"54","2011-03-04",9.21
"55","2011-03-07",8.88
"56","2011-03-08",9.03
"57","2011-03-09",8.78
"58","2011-03-10",8.68
"59","2011-03-11",9.88
"60","2011-03-14",10.34
"61","2011-03-15",10.11
"62","2011-03-16",10.1
"63","2011-03-17",9.96
"64","2011-03-18",9.73
"65","2011-03-21",10.29
"66","2011-03-22",10.11
"67","2011-03-23",10.07
"68","2011-03-24",10.17
"69","2011-03-25",10.1
"70","2011-03-28",10.27
"71","2011-03-29",10.04
"72","2011-03-30",10.2
"73","2011-03-31",10.77
"74","2011-04-01",10.51
"75","2011-04-04",10.25
"76","2011-04-05",10.58
"77","2011-04-06",10.75
"78","2011-04-07",11.05
"79","2011-04-08",11.07
"80","2011-04-11",10.75
"81","2011-04-12",10.51
"82","2011-04-13",10.93
"83","2011-04-14",10.89
"84","2011-04-15",11.01
"85","2011-04-18",10.83
"86","2011-04-19",10.83
"87","2011-04-20",10.95
"88","2011-04-21",11.2
"89","2011-04-25",11.1
"90","2011-04-26",10.99
"91","2011-04-27",11.21
"92","2011-04-28",11.16
"93","2011-04-29",10.92
"94","2011-05-02",11.09
"95","2011-05-03",11
"96","2011-05-04",11.02
"97","2011-05-05",10.56
"98","2011-05-06",10.69
"99","2011-05-09",10.71
"100","2011-05-10",11.01
"101","2011-05-11",10.89
"102","2011-05-12",10.9
"103","2011-05-13",11.05
"104","2011-05-16",10.6
"105","2011-05-17",10.72
"106","2011-05-18",10.99
"107","2011-05-19",11
"108","2011-05-20",10.72
"109","2011-05-23",10.62
"110","2011-05-24",10.83
"111","2011-05-25",10.79
"112","2011-05-26",10.5
"113","2011-05-27",10.76
"114","2011-05-31",10.8
"115","2011-06-01",10.47
"116","2011-06-02",10.5
"117","2011-06-03",10.55
"118","2011-06-06",9.95
"119","2011-06-07",9.95
"120","2011-06-08",9.51
"121","2011-06-09",9.38
"122","2011-06-10",9
"123","2011-06-13",9.76
"124","2011-06-14",9.87
"125","2011-06-15",9.66
"126","2011-06-16",9.62
"127","2011-06-17",10
"128","2011-06-20",10.18
"129","2011-06-21",10.1
"130","2011-06-22",10.31
"131","2011-06-23",10.22
"132","2011-06-24",10.93
"133","2011-06-27",10.76
"134","2011-06-28",10.69
"135","2011-06-29",10.32
"136","2011-06-30",10.22
"137","2011-07-01",10.25
"138","2011-07-05",10.33
"139","2011-07-06",10.71
"140","2011-07-07",10.35
"141","2011-07-08",10.83
"142","2011-07-11",10.7
"143","2011-07-12",10.73
"144","2011-07-13",10.9
"145","2011-07-14",10.84
"146","2011-07-15",10.4
"147","2011-07-18",10.88
"148","2011-07-19",10.45
"149","2011-07-20",10.97
"150","2011-07-21",10.8
"151","2011-07-22",10.98
"152","2011-07-25",10.95
"153","2011-07-26",10.85
"154","2011-07-27",10.79
"155","2011-07-28",10.48
"156","2011-07-29",10.8
"157","2011-08-01",10.6
"158","2011-08-02",10.51
"159","2011-08-03",10.42
"160","2011-08-04",10.76
"161","2011-08-05",10.4
"162","2011-08-08",9.84
"163","2011-08-09",10.82
"164","2011-08-10",10.4
"165","2011-08-11",10.53
"166","2011-08-12",10.97
"167","2011-08-15",10.61
"168","2011-08-16",10.75
"169","2011-08-17",10.37
"170","2011-08-18",10.18
"171","2011-08-19",10.11
"172","2011-08-22",10.12
"173","2011-08-23",10.22
"174","2011-08-24",10.59
"175","2011-08-25",10.15
"176","2011-08-26",10.64
"177","2011-08-29",10.92
"178","2011-08-30",11.13
"179","2011-08-31",11.46
"180","2011-09-01",11.25
"181","2011-09-02",10.55
"182","2011-09-06",10.88
"183","2011-09-07",10.9
"184","2011-09-08",10.66
"185","2011-09-09",10.55
"186","2011-09-12",10.48
"187","2011-09-13",10.63
"188","2011-09-14",10.91
"189","2011-09-15",10.97
"190","2011-09-16",11.18
"191","2011-09-19",11.19
"192","2011-09-20",10.97
"193","2011-09-21",10.73
"194","2011-09-22",10.21
"195","2011-09-23",10.84
"196","2011-09-26",11.12
"197","2011-09-27",11.03
"198","2011-09-28",10.24
"199","2011-09-29",10.7
"200","2011-09-30",10.69
"201","2011-10-03",10.47
"202","2011-10-04",10.71
"203","2011-10-05",11.06
"204","2011-10-06",10.6
"205","2011-10-07",10.6
"206","2011-10-10",10.87
"207","2011-10-11",10.95
"208","2011-10-12",11.34
"209","2011-10-13",11.06
"210","2011-10-14",11.28
"211","2011-10-17",11.3
"212","2011-10-18",11.41
"213","2011-10-19",11.27
"214","2011-10-20",11.34
"215","2011-10-21",11.6
"216","2011-10-24",11.78
"217","2011-10-25",11.54
"218","2011-10-26",11.75
"219","2011-10-27",12.17
"220","2011-10-28",12.27
"221","2011-10-31",11.56
"222","2011-11-01",11.2
"223","2011-11-02",11.58
"224","2011-11-03",11.86
"225","2011-11-04",11.77
"226","2011-11-07",11.72
"227","2011-11-08",12.04
"228","2011-11-09",11.24
"229","2011-11-10",11.61
