"","date","GL"
"1","2007-01-03",28.64889
"2","2007-01-04",28.666666
"3","2007-01-05",28.191111
"4","2007-01-08",27.973333
"5","2007-01-09",28.026667
"6","2007-01-10",28.302221
"7","2007-01-11",28.742222
"8","2007-01-12",28.799999
"9","2007-01-16",28.577778
"10","2007-01-17",28.742222
"11","2007-01-18",28.697779
"12","2007-01-19",28.706667
"13","2007-01-22",28.551111
"14","2007-01-23",28.688889
"15","2007-01-24",29.106667
"16","2007-01-25",28.559999
"17","2007-01-26",28.484444
"18","2007-01-29",28.68
"19","2007-01-30",28.888889
"20","2007-01-31",28.884445
"21","2007-02-01",29.217777
"22","2007-02-02",29.355556
"23","2007-02-05",29.360001
"24","2007-02-06",29.435556
"25","2007-02-07",29.719999
"26","2007-02-08",28.777779
"27","2007-02-09",28.711111
"28","2007-02-12",28.56889
"29","2007-02-13",28.822222
"30","2007-02-14",28.928888
"31","2007-02-15",28.955555
"32","2007-02-16",28.955555
"33","2007-02-20",29.031111
"34","2007-02-21",28.871111
"35","2007-02-22",29.022223
"36","2007-02-23",28.911112
"37","2007-02-26",28.728889
"38","2007-02-27",28.195555
"39","2007-02-28",28.40889
"40","2007-03-01",28.484444
"41","2007-03-02",28.377777
"42","2007-03-05",28.231112
"43","2007-03-06",28.24
"44","2007-03-07",28.106667
"45","2007-03-08",28.346666
"46","2007-03-09",28.515556
"47","2007-03-12",28.595556
"48","2007-03-13",27.924444
"49","2007-03-14",28.040001
"50","2007-03-15",28.293333
"51","2007-03-16",28.08
"52","2007-03-19",28.311111
"53","2007-03-20",28.582222
"54","2007-03-21",28.911112
"55","2007-03-22",28.755556
"56","2007-03-23",28.933332
"57","2007-03-26",29.071112
"58","2007-03-27",28.924444
"59","2007-03-28",28.773333
"60","2007-03-29",29.071112
"61","2007-03-30",29.151112
"62","2007-04-02",29.053333
"63","2007-04-03",29.128889
"64","2007-04-04",29.062222
"65","2007-04-05",29.106667
"66","2007-04-09",29.004444
"67","2007-04-10",28.871111
"68","2007-04-11",28.657778
