"","date","BEPC"
"1","2020-07-24",42.84
"2","2020-07-27",42.580002
"3","2020-07-28",41.68
"4","2020-07-29",43.779999
"5","2020-07-30",40.720001
"6","2020-07-31",44.939999
"7","2020-08-03",47
"8","2020-08-04",45.169998
"9","2020-08-05",46.740002
"10","2020-08-06",46.540001
"11","2020-08-07",48.02
"12","2020-08-10",48.220001
"13","2020-08-11",47.150002
"14","2020-08-12",47.32
"15","2020-08-13",46.779999
"16","2020-08-14",47.099998
"17","2020-08-17",46.869999
"18","2020-08-18",46.560001
"19","2020-08-19",48.82
"20","2020-08-20",50.549999
"21","2020-08-21",51.099998
"22","2020-08-24",53.27
"23","2020-08-25",53.549999
"24","2020-08-26",54.049999
"25","2020-08-27",54.16
"26","2020-08-28",52.720001
"27","2020-08-31",50.919998
"28","2020-09-01",50.16
"29","2020-09-02",51.970001
"30","2020-09-03",51.16
"31","2020-09-04",50.889999
"32","2020-09-08",50.369999
"33","2020-09-09",51.169998
"34","2020-09-10",50.52
"35","2020-09-11",50.580002
"36","2020-09-14",50.16
"37","2020-09-15",51.599998
"38","2020-09-16",52.700001
"39","2020-09-17",52.650002
"40","2020-09-18",52.009998
"41","2020-09-21",51.689999
"42","2020-09-22",51.16
"43","2020-09-23",50.91
"44","2020-09-24",51.16
"45","2020-09-25",53.73
"46","2020-09-28",55.5
"47","2020-09-29",56.689999
"48","2020-09-30",58.599998
"49","2020-10-01",59.709999
"50","2020-10-02",59.639999
"51","2020-10-05",64.059998
"52","2020-10-06",61.439999
"53","2020-10-07",64.980003
"54","2020-10-08",63.43
"55","2020-10-09",63.73
"56","2020-10-12",66.620003
"57","2020-10-13",64.949997
"58","2020-10-14",65.449997
"59","2020-10-15",65.629997
"60","2020-10-16",66.529999
"61","2020-10-19",67.779999
"62","2020-10-20",68.559998
"63","2020-10-21",68.080002
"64","2020-10-22",66.800003
"65","2020-10-23",64.529999
"66","2020-10-26",63.75
"67","2020-10-27",65.839996
"68","2020-10-28",64.669998
"69","2020-10-29",66.830002
"70","2020-10-30",66.769997
"71","2020-11-02",69.739998
"72","2020-11-03",69.550003
"73","2020-11-04",69.419998
"74","2020-11-05",72.870003
"75","2020-11-06",73.739998
"76","2020-11-09",72.830002
"77","2020-11-10",70.690002
"78","2020-11-11",74.040001
"79","2020-11-12",73.639999
"80","2020-11-13",73.410004
"81","2020-11-16",71.360001
"82","2020-11-17",72.349998
"83","2020-11-18",71.760002
"84","2020-11-19",71.480003
"85","2020-11-20",72.410004
"86","2020-11-23",73.889999
"87","2020-11-24",77.050003
"88","2020-11-25",79.370003
"89","2020-11-27",77.910004
