"","date","JCS"
"1","2007-01-03",10.25
"2","2007-01-04",10.55
"3","2007-01-05",10.65
"4","2007-01-08",10.65
"5","2007-01-09",10.6
"6","2007-01-10",10.65
"7","2007-01-11",10.1
"8","2007-01-12",10.35
"9","2007-01-16",10.2
"10","2007-01-17",10.19
"11","2007-01-18",10.29
"12","2007-01-19",10.31
"13","2007-01-22",11.02
"14","2007-01-23",11.07
"15","2007-01-24",11.05
"16","2007-01-25",10.89
"17","2007-01-26",10.8
"18","2007-01-29",10.65
"19","2007-01-30",10.54
"20","2007-01-31",10.16
"21","2007-02-01",10.6
"22","2007-02-02",10.39
"23","2007-02-05",10.75
"24","2007-02-06",10.65
"25","2007-02-07",10.33
"26","2007-02-08",10.6
"27","2007-02-09",10.6
"28","2007-02-12",10.75
"29","2007-02-13",10.78
"30","2007-02-14",10.62
"31","2007-02-15",10.78
"32","2007-02-16",10.85
"33","2007-02-20",10.85
"34","2007-02-21",10.65
"35","2007-02-22",10.72
"36","2007-02-23",10.79
"37","2007-02-26",11
"38","2007-02-27",10.94
"39","2007-02-28",10.65
"40","2007-03-01",10.72
"41","2007-03-02",10.35
"42","2007-03-05",10.35
"43","2007-03-06",10.3
"44","2007-03-07",10.31
"45","2007-03-08",10.16
"46","2007-03-09",10.07
"47","2007-03-12",10.45
"48","2007-03-13",10.65
"49","2007-03-14",10.93
"50","2007-03-15",11.25
"51","2007-03-16",10.84
"52","2007-03-19",10.65
"53","2007-03-20",10.24
"54","2007-03-21",10.1
"55","2007-03-22",10.21
"56","2007-03-23",10.34
"57","2007-03-26",10.49
"58","2007-03-27",10.3
"59","2007-03-28",10.32
"60","2007-03-29",10.31
"61","2007-03-30",10.44
"62","2007-04-02",10.99
"63","2007-04-03",10.89
"64","2007-04-04",10.89
"65","2007-04-05",10.97
"66","2007-04-09",10.86
"67","2007-04-10",10.89
"68","2007-04-11",10.73
"69","2007-04-12",10.87
"70","2007-04-13",10.9
"71","2007-04-16",10.98
"72","2007-04-17",10.95
"73","2007-04-18",10.88
"74","2007-04-19",10.94
"75","2007-04-20",11.05
"76","2007-04-23",11.05
"77","2007-04-24",11
"78","2007-04-25",11.08
"79","2007-04-26",11.32
"80","2007-04-27",11.25
"81","2007-04-30",11.26
"82","2007-05-01",11.2
"83","2007-05-02",11.16
"84","2007-05-03",11.16
"85","2007-05-04",11.25
"86","2007-05-07",11.3
"87","2007-05-08",11.41
"88","2007-05-09",11.34
"89","2007-05-10",11.21
"90","2007-05-11",11.1
"91","2007-05-14",11.15
"92","2007-05-15",11.15
"93","2007-05-16",11.11
"94","2007-05-17",10.87
"95","2007-05-18",10.75
"96","2007-05-21",10.61
"97","2007-05-22",10.36
"98","2007-05-23",10.15
"99","2007-05-24",9.77
"100","2007-05-25",9.9
"101","2007-05-29",10.05
"102","2007-05-30",10
"103","2007-05-31",9.88
"104","2007-06-01",9.83
"105","2007-06-04",9.87
"106","2007-06-05",9.8
"107","2007-06-06",10
"108","2007-06-07",9.99
"109","2007-06-08",9.97
"110","2007-06-11",10.22
"111","2007-06-12",10.01
"112","2007-06-13",10.35
"113","2007-06-14",10.31
"114","2007-06-15",10.6
"115","2007-06-18",10.27
"116","2007-06-19",10.27
"117","2007-06-20",10.11
"118","2007-06-21",10.22
"119","2007-06-22",10.27
"120","2007-06-25",10.42
"121","2007-06-26",10.59
"122","2007-06-27",10.45
"123","2007-06-28",10.52
"124","2007-06-29",11.11
"125","2007-07-02",11.33
"126","2007-07-03",11.4
"127","2007-07-05",11.51
"128","2007-07-06",11.64
"129","2007-07-09",11.48
"130","2007-07-10",11.5
"131","2007-07-11",11.35
"132","2007-07-12",11.32
"133","2007-07-13",11.5
"134","2007-07-16",11.25
"135","2007-07-17",10.81
"136","2007-07-18",10.6
"137","2007-07-19",10.89
"138","2007-07-20",11.45
"139","2007-07-23",11.49
"140","2007-07-24",11.2
"141","2007-07-25",10.87
"142","2007-07-26",10.55
"143","2007-07-27",10.5
"144","2007-07-30",10.28
"145","2007-07-31",10.17
"146","2007-08-01",10.25
"147","2007-08-02",10.18
"148","2007-08-03",10.04
"149","2007-08-06",10.05
"150","2007-08-07",9.89
"151","2007-08-08",10.3
"152","2007-08-09",10.25
"153","2007-08-10",9.92
"154","2007-08-13",10
"155","2007-08-14",10.92
"156","2007-08-15",10.5
"157","2007-08-16",10.34
"158","2007-08-17",10.41
"159","2007-08-20",10.51
"160","2007-08-21",10.37
"161","2007-08-22",10.54
"162","2007-08-23",10.5
"163","2007-08-24",10.6
"164","2007-08-27",10.58
"165","2007-08-28",10.58
"166","2007-08-29",11.07
"167","2007-08-30",10.95
"168","2007-08-31",10.85
"169","2007-09-04",10.9
"170","2007-09-05",10.8
"171","2007-09-06",10.65
"172","2007-09-07",10.28
"173","2007-09-10",10.56
"174","2007-09-11",10.36
"175","2007-09-12",10.48
"176","2007-09-13",10.47
"177","2007-09-14",10.48
"178","2007-09-17",10.6
"179","2007-09-18",11.09
"180","2007-09-19",11.02
"181","2007-09-20",11.15
"182","2007-09-21",10.9
"183","2007-09-24",10.51
"184","2007-09-25",10.45
"185","2007-09-26",10.39
"186","2007-09-27",10.5
"187","2007-09-28",10.5
"188","2007-10-01",10.5
"189","2007-10-02",10.5
"190","2007-10-03",10.72
"191","2007-10-04",10.75
"192","2007-10-05",11.03
"193","2007-10-08",10.97
"194","2007-10-09",10.98
"195","2007-10-10",11.19
"196","2007-10-11",11
"197","2007-10-12",10.97
"198","2007-10-15",10.99
"199","2007-10-16",10.9
"200","2007-10-17",10.85
"201","2007-10-18",10.93
"202","2007-10-19",11.13
"203","2007-10-22",11.13
"204","2007-10-23",11.23
"205","2007-10-24",10.98
"206","2007-10-25",11
"207","2007-10-26",11
"208","2007-10-29",11
"209","2007-10-30",11.18
"210","2007-10-31",11.23
"211","2007-11-01",10.95
"212","2007-11-02",10.96
"213","2007-11-05",10.99
"214","2007-11-06",10.89
"215","2007-11-07",10.5
"216","2007-11-08",10.63
"217","2007-11-09",10.25
"218","2007-11-12",10.07
"219","2007-11-13",10.45
"220","2007-11-14",10.65
"221","2007-11-15",10.48
"222","2007-11-16",10.65
"223","2007-11-19",10.72
"224","2007-11-20",10.59
"225","2007-11-21",10.86
"226","2007-11-23",11.02
"227","2007-11-26",10.98
"228","2007-11-27",11.09
"229","2007-11-28",10.85
"230","2007-11-29",11.14
"231","2007-11-30",11.2
"232","2007-12-03",11.34
"233","2007-12-04",11.4
"234","2007-12-05",11.55
"235","2007-12-06",11.76
"236","2007-12-07",11.78
"237","2007-12-10",11.82
"238","2007-12-11",11.79
"239","2007-12-12",11.74
"240","2007-12-13",11.63
"241","2007-12-14",11.85
"242","2007-12-17",11.52
