"","date","EIGI"
"229","2014-09-23",15.1
"230","2014-09-24",15.67
"231","2014-09-25",15.78
"232","2014-09-26",16.59
"233","2014-09-29",16.6
"234","2014-09-30",16.27
"235","2014-10-01",15.94
"236","2014-10-02",16.549999
"237","2014-10-03",16.809999
"238","2014-10-06",16.450001
"239","2014-10-07",16.190001
"240","2014-10-08",16.700001
"241","2014-10-09",16.370001
"242","2014-10-10",16.15
"243","2014-10-13",15.96
"244","2014-10-14",16.02
"245","2014-10-15",15.7
"246","2014-10-16",15.64
"247","2014-10-17",15.47
"248","2014-10-20",15.67
"249","2014-10-21",16.01
"250","2014-10-22",15.51
"251","2014-10-23",15.72
"252","2014-10-24",15.87
"253","2014-10-27",15.78
"254","2014-10-28",16.280001
"255","2014-10-29",15.9
"256","2014-10-30",16.41
"257","2014-10-31",16.620001
"258","2014-11-03",16.690001
"259","2014-11-04",16.940001
"260","2014-11-05",17.040001
"261","2014-11-06",16.32
"262","2014-11-07",16.18
"263","2014-11-10",16
"264","2014-11-11",15.78
"265","2014-11-12",15.78
"266","2014-11-13",15.86
"267","2014-11-14",15.69
"268","2014-11-17",14.48
"269","2014-11-18",14.56
"270","2014-11-19",14.24
"271","2014-11-20",14.67
"272","2014-11-21",17.120001
"273","2014-11-24",17.059999
"274","2014-11-25",16.75
"275","2014-11-26",16.84
"276","2014-11-28",16.620001
"277","2014-12-01",16.43
"278","2014-12-02",16.440001
"279","2014-12-03",16.49
"280","2014-12-04",16.65
"281","2014-12-05",16.23
"282","2014-12-08",15.84
"283","2014-12-09",16.190001
"284","2014-12-10",15.73
"285","2014-12-11",15.91
"286","2014-12-12",15.75
"287","2014-12-15",16.040001
"288","2014-12-16",16.17
"289","2014-12-17",16.74
"290","2014-12-18",17.799999
"291","2014-12-19",18.780001
"292","2014-12-22",18.639999
"293","2014-12-23",18.690001
"294","2014-12-24",18.75
"295","2014-12-26",18.879999
"296","2014-12-29",18.639999
"297","2014-12-30",18.27
"298","2014-12-31",18.43
"299","2015-01-02",18.34
"300","2015-01-05",17.92
"301","2015-01-06",17.85
"302","2015-01-07",17.84
"303","2015-01-08",17.540001
"304","2015-01-09",17.559999
"305","2015-01-12",17.34
"306","2015-01-13",17.83
"307","2015-01-14",17.51
"308","2015-01-15",16.129999
"309","2015-01-16",17.049999
"310","2015-01-20",17.040001
"311","2015-01-21",17.16
"312","2015-01-22",17.129999
"313","2015-01-23",17.639999
"314","2015-01-26",18.25
"315","2015-01-27",17.950001
"316","2015-01-28",17.68
"317","2015-01-29",17.92
"318","2015-01-30",16.809999
"319","2015-02-02",16.209999
"320","2015-02-03",17
"321","2015-02-04",16.67
"322","2015-02-05",16.57
"323","2015-02-06",18.059999
"324","2015-02-09",17.98
"325","2015-02-10",18.1
"326","2015-02-11",18.01
"327","2015-02-12",18.049999
"328","2015-02-13",19.49
"329","2015-02-17",19.559999
"330","2015-02-18",19.74
"331","2015-02-19",19.809999
"332","2015-02-20",19.889999
"333","2015-02-23",19.09
"334","2015-02-24",19.200001
"335","2015-02-25",19.469999
"336","2015-02-26",19
"337","2015-02-27",18.620001
"338","2015-03-02",19.280001
"339","2015-03-03",19.17
"340","2015-03-04",19.389999
"341","2015-03-05",19.540001
"342","2015-03-06",19.200001
"343","2015-03-09",19.370001
"344","2015-03-10",19.190001
"345","2015-03-11",18.110001
"346","2015-03-12",18.540001
"347","2015-03-13",18
"348","2015-03-16",17.98
"349","2015-03-17",18.66
"350","2015-03-18",18.84
"351","2015-03-19",19.67
"352","2015-03-20",19.1
"353","2015-03-23",18.75
"354","2015-03-24",18.639999
"355","2015-03-25",18.040001
"356","2015-03-26",18.049999
"357","2015-03-27",18.25
"358","2015-03-30",18.83
"359","2015-03-31",19.059999
"360","2015-04-01",19.66
"361","2015-04-02",19.709999
"362","2015-04-06",19.9
"363","2015-04-07",19.780001
"364","2015-04-08",20
"365","2015-04-09",20.98
"366","2015-04-10",22.1
"367","2015-04-13",22.049999
"368","2015-04-14",22.08
"369","2015-04-15",22.27
"370","2015-04-16",22.860001
"371","2015-04-17",22.75
"372","2015-04-20",22.6
"373","2015-04-21",22.65
"374","2015-04-22",22.360001
"375","2015-04-23",23.030001
"376","2015-04-24",22.799999
"377","2015-04-27",21.940001
"378","2015-04-28",19.700001
"379","2015-04-29",18.33
"380","2015-04-30",18.34
"381","2015-05-01",19.18
"382","2015-05-04",20.01
"383","2015-05-05",19.540001
"384","2015-05-06",20.030001
"385","2015-05-07",20.93
"386","2015-05-08",20.959999
"387","2015-05-11",20.57
"388","2015-05-12",21.02
"389","2015-05-13",20.75
"390","2015-05-14",20.959999
"391","2015-05-15",20.9
"392","2015-05-18",21.030001
"393","2015-05-19",21.610001
"394","2015-05-20",21.41
"395","2015-05-21",21.059999
"396","2015-05-22",20.799999
"397","2015-05-26",20.379999
"398","2015-05-27",20.49
"399","2015-05-28",20.540001
"400","2015-05-29",20.33
"401","2015-06-01",20.040001
"402","2015-06-02",20.4
"403","2015-06-03",20.49
"404","2015-06-04",20.4
"405","2015-06-05",20.25
"406","2015-06-08",20.379999
"407","2015-06-09",20.73
"408","2015-06-10",20.790001
"409","2015-06-11",20.92
"410","2015-06-12",20.48
"411","2015-06-15",20.93
"412","2015-06-16",20.91
"413","2015-06-17",21.07
"414","2015-06-18",21.68
"415","2015-06-19",21.530001
"416","2015-06-22",21.290001
"417","2015-06-23",21.66
"418","2015-06-24",20.59
"419","2015-06-25",20.809999
"420","2015-06-26",20.4
"421","2015-06-29",20
"422","2015-06-30",20.66
"423","2015-07-01",20.74
"424","2015-07-02",19.91
"425","2015-07-06",20.549999
"426","2015-07-07",20.4
"427","2015-07-08",20.040001
"428","2015-07-09",20.49
"429","2015-07-10",21.190001
"430","2015-07-13",21.389999
"431","2015-07-14",21.57
"432","2015-07-15",21.25
"433","2015-07-16",21.450001
"434","2015-07-17",21.700001
"435","2015-07-20",21.620001
"436","2015-07-21",21.49
"437","2015-07-22",21.559999
"438","2015-07-23",20.91
"439","2015-07-24",20.41
"440","2015-07-27",20.200001
