"","date","KTCC"
"1","2007-01-03",4.84
"2","2007-01-04",4.7
"3","2007-01-05",4.67
"4","2007-01-08",4.67
"5","2007-01-09",4.69
"6","2007-01-10",4.68
"7","2007-01-11",4.67
"8","2007-01-12",4.68
"9","2007-01-16",4.65
"10","2007-01-17",4.8
"11","2007-01-18",4.8
"12","2007-01-19",4.81
"13","2007-01-22",4.8
"14","2007-01-23",4.82
"15","2007-01-24",4.81
"16","2007-01-25",4.8
"17","2007-01-26",4.78
"18","2007-01-29",4.83
"19","2007-01-30",4.91
"20","2007-01-31",4
"21","2007-02-01",4
"22","2007-02-02",4
"23","2007-02-05",3.99
"24","2007-02-06",3.98
"25","2007-02-07",3.99
"26","2007-02-08",3.93
"27","2007-02-09",3.94
"28","2007-02-12",3.89
"29","2007-02-13",3.88
"30","2007-02-14",3.9
"31","2007-02-15",3.9
"32","2007-02-16",4.05
"33","2007-02-20",4.08
"34","2007-02-21",4.08
"35","2007-02-22",4.07
"36","2007-02-23",4.02
"37","2007-02-26",4.02
"38","2007-02-27",3.99
"39","2007-02-28",4.08
"40","2007-03-01",4.12
"41","2007-03-02",4.22
"42","2007-03-05",4.32
"43","2007-03-06",4.29
"44","2007-03-07",4.2
"45","2007-03-08",4.09
"46","2007-03-09",4
"47","2007-03-12",4.13
"48","2007-03-13",4.1
"49","2007-03-14",4.02
"50","2007-03-15",3.98
"51","2007-03-16",3.97
"52","2007-03-19",3.99
"53","2007-03-20",3.98
"54","2007-03-21",3.99
"55","2007-03-22",3.98
"56","2007-03-23",3.96
"57","2007-03-26",3.96
"58","2007-03-27",3.92
"59","2007-03-28",3.91
"60","2007-03-29",3.92
"61","2007-03-30",4.1
"62","2007-04-02",3.97
"63","2007-04-03",3.94
"64","2007-04-04",3.95
"65","2007-04-05",3.94
"66","2007-04-09",3.96
"67","2007-04-10",3.97
"68","2007-04-11",4
"69","2007-04-12",3.95
"70","2007-04-13",3.98
"71","2007-04-16",3.99
"72","2007-04-17",4
"73","2007-04-18",4.03
"74","2007-04-19",4
"75","2007-04-20",4
"76","2007-04-23",4.01
"77","2007-04-24",4.03
"78","2007-04-25",4.02
"79","2007-04-26",4.02
"80","2007-04-27",4.01
"81","2007-04-30",3.98
"82","2007-05-01",4.15
"83","2007-05-02",4.7
"84","2007-05-03",4.58
"85","2007-05-04",4.52
"86","2007-05-07",4.77
"87","2007-05-08",5.16
"88","2007-05-09",4.94
"89","2007-05-10",4.88
"90","2007-05-11",4.77
"91","2007-05-14",4.75
"92","2007-05-15",4.74
"93","2007-05-16",4.56
"94","2007-05-17",4.55
"95","2007-05-18",4.36
"96","2007-05-21",4.41
"97","2007-05-22",4.45
"98","2007-05-23",4.57
"99","2007-05-24",4.56
"100","2007-05-25",4.52
"101","2007-05-29",4.63
"102","2007-05-30",4.56
"103","2007-05-31",4.5
"104","2007-06-01",4.5
"105","2007-06-04",4.47
"106","2007-06-05",4.53
"107","2007-06-06",4.57
"108","2007-06-07",4.59
"109","2007-06-08",4.72
"110","2007-06-11",4.56
"111","2007-06-12",4.56
"112","2007-06-13",4.7
"113","2007-06-14",4.62
"114","2007-06-15",4.62
"115","2007-06-18",4.7
"116","2007-06-19",4.72
"117","2007-06-20",4.75
"118","2007-06-21",5.55
"119","2007-06-22",5.5
"120","2007-06-25",5.05
"121","2007-06-26",5.12
"122","2007-06-27",5.06
"123","2007-06-28",5.1
"124","2007-06-29",5.09
"125","2007-07-02",5.12
"126","2007-07-03",5.16
"127","2007-07-05",5.16
"128","2007-07-06",5.15
"129","2007-07-09",5.3
"130","2007-07-10",5.29
"131","2007-07-11",5.27
"132","2007-07-12",5.27
"133","2007-07-13",5.31
"134","2007-07-16",5.31
"135","2007-07-17",5.43
"136","2007-07-18",5.5
"137","2007-07-19",5.4
"138","2007-07-20",5.35
"139","2007-07-23",5.37
"140","2007-07-24",5.26
"141","2007-07-25",5.23
"142","2007-07-26",5.08
"143","2007-07-27",5.08
"144","2007-07-30",5.01
"145","2007-07-31",5.09
"146","2007-08-01",4.96
"147","2007-08-02",5.01
"148","2007-08-03",4.99
"149","2007-08-06",4.93
"150","2007-08-07",4.96
"151","2007-08-08",4.94
"152","2007-08-09",4.9
"153","2007-08-10",4.91
"154","2007-08-13",4.91
"155","2007-08-14",4.95
"156","2007-08-15",4.97
"157","2007-08-16",4.97
"158","2007-08-17",4.99
"159","2007-08-20",4.87
"160","2007-08-21",4.87
"161","2007-08-22",4.3
"162","2007-08-23",4.38
"163","2007-08-24",4.48
"164","2007-08-27",4.54
"165","2007-08-28",4.5
"166","2007-08-29",4.47
"167","2007-08-30",4.41
"168","2007-08-31",4.52
"169","2007-09-04",4.41
"170","2007-09-05",4.41
"171","2007-09-06",4.52
"172","2007-09-07",4.4
"173","2007-09-10",4.35
"174","2007-09-11",4.38
"175","2007-09-12",4.47
"176","2007-09-13",4.41
"177","2007-09-14",4.52
"178","2007-09-17",4.5
"179","2007-09-18",4.48
"180","2007-09-19",4.58
"181","2007-09-20",4.63
"182","2007-09-21",4.62
"183","2007-09-24",4.64
"184","2007-09-25",4.56
"185","2007-09-26",4.74
"186","2007-09-27",4.65
"187","2007-09-28",4.66
"188","2007-10-01",4.74
"189","2007-10-02",4.65
"190","2007-10-03",4.89
"191","2007-10-04",4.71
"192","2007-10-05",4.72
"193","2007-10-08",4.81
"194","2007-10-09",4.79
"195","2007-10-10",4.5
"196","2007-10-11",4.57
"197","2007-10-12",4.68
"198","2007-10-15",4.6
"199","2007-10-16",4.85
"200","2007-10-17",4.77
"201","2007-10-18",4.7
"202","2007-10-19",4.68
"203","2007-10-22",4.65
"204","2007-10-23",4.68
"205","2007-10-24",4.68
"206","2007-10-25",4.61
"207","2007-10-26",4.66
"208","2007-10-29",4.63
"209","2007-10-30",4.79
"210","2007-10-31",4.47
"211","2007-11-01",4.55
"212","2007-11-02",4.45
"213","2007-11-05",4.44
"214","2007-11-06",4.31
"215","2007-11-07",4.23
"216","2007-11-08",4.35
"217","2007-11-09",4.32
"218","2007-11-12",4.16
"219","2007-11-13",4.17
"220","2007-11-14",4.2
"221","2007-11-15",4.16
"222","2007-11-16",4.23
"223","2007-11-19",4.21
"224","2007-11-20",4.2
"225","2007-11-21",4.2
"226","2007-11-23",4.2
"227","2007-11-26",4.31
"228","2007-11-27",4.18
"229","2007-11-28",4.21
"230","2007-11-29",4.17
"231","2007-11-30",4.23
"232","2007-12-03",4.39
"233","2007-12-04",4.32
"234","2007-12-05",4.28
"235","2007-12-06",4.19
"236","2007-12-07",4.18
"237","2007-12-10",4.28
"238","2007-12-11",4.23
"239","2007-12-12",4.25
"240","2007-12-13",4.25
"241","2007-12-14",4.24
"242","2007-12-17",4.25
"243","2007-12-18",4.11
"244","2007-12-19",4.15
"245","2007-12-20",4.19
"246","2007-12-21",4.16
"247","2007-12-24",4.16
"248","2007-12-26",4.17
"249","2007-12-27",4.14
"250","2007-12-28",4.13
"251","2007-12-31",4.18
"252","2008-01-02",4.29
"253","2008-01-03",3.83
"254","2008-01-04",3.98
"255","2008-01-07",3.96
"256","2008-01-08",3.86
"257","2008-01-09",4.09
"258","2008-01-10",3.92
"259","2008-01-11",3.85
"260","2008-01-14",3.86
"261","2008-01-15",3.85
"262","2008-01-16",3.74
"263","2008-01-17",3.79
"264","2008-01-18",3.67
"265","2008-01-22",3.25
"266","2008-01-23",3.16
"267","2008-01-24",3.54
"268","2008-01-25",3.42
"269","2008-01-28",3.47
"270","2008-01-29",3.57
"271","2008-01-30",3.58
"272","2008-01-31",3.35
"273","2008-02-01",3.57
"274","2008-02-04",3.4
"275","2008-02-05",3.31
"276","2008-02-06",3.3
"277","2008-02-07",3.22
"278","2008-02-08",3.31
"279","2008-02-11",3.32
"280","2008-02-12",3.43
"281","2008-02-13",3.41
"282","2008-02-14",3.45
"283","2008-02-15",3.45
"284","2008-02-19",3.38
"285","2008-02-20",3.33
"286","2008-02-21",3.4
"287","2008-02-22",3.32
"288","2008-02-25",3.35
"289","2008-02-26",3.2
"290","2008-02-27",3.2
"291","2008-02-28",3.22
"292","2008-02-29",3.17
"293","2008-03-03",3.05
"294","2008-03-04",3.11
"295","2008-03-05",3.14
"296","2008-03-06",3.15
"297","2008-03-07",3.12
"298","2008-03-10",2.94
"299","2008-03-11",2.9
"300","2008-03-12",2.85
"301","2008-03-13",2.97
"302","2008-03-14",2.92
"303","2008-03-17",2.87
"304","2008-03-18",2.93
"305","2008-03-19",2.7
"306","2008-03-20",2.66
"307","2008-03-24",2.7
"308","2008-03-25",2.58
"309","2008-03-26",2.46
"310","2008-03-27",2.63
"311","2008-03-28",2.6
"312","2008-03-31",2.59
"313","2008-04-01",2.63
"314","2008-04-02",2.63
