"","date","MBIO"
"1","2017-08-22",9.8
"2","2017-08-23",11.61
"3","2017-08-24",10.98
"4","2017-08-25",11.15
"5","2017-08-28",12.7
"6","2017-08-29",12.85
"7","2017-08-30",13.1
"8","2017-08-31",12.98
"9","2017-09-01",13.1
"10","2017-09-05",12.74
"11","2017-09-06",12.58
"12","2017-09-07",12.58
"13","2017-09-08",12.35
"14","2017-09-11",11.98
"15","2017-09-12",12.22
"16","2017-09-13",11.89
"17","2017-09-14",12.1
"18","2017-09-15",12.2
"19","2017-09-18",12.25
"20","2017-09-19",12.45
"21","2017-09-20",11.629
"22","2017-09-21",11.8
"23","2017-09-22",11.378
"24","2017-09-25",10.69
"25","2017-09-26",10.46
"26","2017-09-27",11.39
"27","2017-09-28",11.14
"28","2017-09-29",11.84
"29","2017-10-02",11.15
"30","2017-10-03",11.02
"31","2017-10-04",10.69
"32","2017-10-05",10.75
"33","2017-10-06",10.3
"34","2017-10-09",10.22
"35","2017-10-10",9.9
"36","2017-10-11",9.8
"37","2017-10-12",9.92
"38","2017-10-13",9.9
"39","2017-10-16",9.86
"40","2017-10-17",9.62
"41","2017-10-18",9.755
"42","2017-10-19",9.3
"43","2017-10-20",8.9
"44","2017-10-23",8.75
"45","2017-10-24",8.959
"46","2017-10-25",8.9
"47","2017-10-26",8.78
"48","2017-10-27",8.83
"49","2017-10-30",9.99
"50","2017-10-31",11.75
"51","2017-11-01",11.46
"52","2017-11-02",10.96
"53","2017-11-03",10.3
"54","2017-11-06",10.32
"55","2017-11-07",10.5
"56","2017-11-08",10.5
"57","2017-11-09",10.68
"58","2017-11-10",10.4
"59","2017-11-13",10.43
"60","2017-11-14",9.8
"61","2017-11-15",9.99
"62","2017-11-16",9.65
"63","2017-11-17",9.97
"64","2017-11-20",9.43
"65","2017-11-21",9.25
"66","2017-11-22",9.007
"67","2017-11-24",9.02
"68","2017-11-27",8.97
"69","2017-11-28",9.62
"70","2017-11-29",8.88
"71","2017-11-30",9.65
"72","2017-12-01",9.57
"73","2017-12-04",9.64
"74","2017-12-05",10.67
"75","2017-12-06",11.08
"76","2017-12-07",10.99
"77","2017-12-08",11.51
"78","2017-12-11",11.1
"79","2017-12-12",10.64
"80","2017-12-13",11.52
"81","2017-12-14",11.68
"82","2017-12-15",11.79
"83","2017-12-18",11.36
"84","2017-12-19",11.31
"85","2017-12-20",10.93
"86","2017-12-21",11.44
"87","2017-12-22",11.8
"88","2017-12-26",11.76
"89","2017-12-27",11.49
"90","2017-12-28",11.78
"91","2017-12-29",11.99
"92","2018-01-02",12.05
"93","2018-01-03",11.62
"94","2018-01-04",11.91
"95","2018-01-05",11.89
"96","2018-01-08",11.82
"97","2018-01-09",11.71
"98","2018-01-10",11.93
"99","2018-01-11",12.38
"100","2018-01-12",11.77
"101","2018-01-16",11.3
"102","2018-01-17",12.01
"103","2018-01-18",12.1
"104","2018-01-19",12.25
"105","2018-01-22",12.18
"106","2018-01-23",12.09
"107","2018-01-24",12.14
"108","2018-01-25",12.03
"109","2018-01-26",12.08
"110","2018-01-29",12.04
"111","2018-01-30",12.16
"112","2018-01-31",11.94
"113","2018-02-01",11.83
"114","2018-02-02",11.25
"115","2018-02-05",10.64
"116","2018-02-06",10.29
"117","2018-02-07",10.94
"118","2018-02-08",10.69
"119","2018-02-09",10.14
"120","2018-02-12",10.42
"121","2018-02-13",10.94
"122","2018-02-14",10.82
"123","2018-02-15",10.66
"124","2018-02-16",11.19
"125","2018-02-20",10.86
"126","2018-02-21",11.05
"127","2018-02-22",11.01
"128","2018-02-23",11.21
"129","2018-02-26",10.75
"130","2018-02-27",11.19
"131","2018-02-28",11.16
"132","2018-03-01",10.66
"133","2018-03-02",10.89
"134","2018-03-05",11
"135","2018-03-06",10.96
"136","2018-03-07",10.97
"137","2018-03-08",11.48
"138","2018-03-09",11.45
"139","2018-03-12",11.45
"140","2018-03-13",11.3
"141","2018-03-14",11.2
"142","2018-03-15",10.97
"143","2018-03-16",11.98
"144","2018-03-19",11.26
"145","2018-03-20",11.34
"146","2018-03-21",11.45
"147","2018-03-22",11.21
"148","2018-03-23",11.2
"149","2018-03-26",11.07
"150","2018-03-27",11
"151","2018-03-28",10.63
"152","2018-03-29",10.94
"153","2018-04-02",10.99
"154","2018-04-03",11
"155","2018-04-04",10.74
"156","2018-04-05",10.86
"157","2018-04-06",10.37
"158","2018-04-09",9.91
"159","2018-04-10",9.9
"160","2018-04-11",10.2
"161","2018-04-12",10.27
"162","2018-04-13",10.7
"163","2018-04-16",10.19
"164","2018-04-17",10
"165","2018-04-18",9.96
"166","2018-04-19",9.86
"167","2018-04-20",9.84
"168","2018-04-23",9.66
"169","2018-04-24",9.26
"170","2018-04-25",8.86
"171","2018-04-26",8.98
"172","2018-04-27",9.31
"173","2018-04-30",8.99
"174","2018-05-01",9.15
"175","2018-05-02",9
"176","2018-05-03",8.78
"177","2018-05-04",8.91
"178","2018-05-07",8.82
"179","2018-05-08",8.8
"180","2018-05-09",8.6
"181","2018-05-10",8.18
"182","2018-05-11",8.25
"183","2018-05-14",8.39
"184","2018-05-15",8.39
"185","2018-05-16",8.12
"186","2018-05-17",7.99
"187","2018-05-18",7.61
"188","2018-05-21",7.33
"189","2018-05-22",7.01
"190","2018-05-23",7.54
"191","2018-05-24",7.41
"192","2018-05-25",7.57
"193","2018-05-29",7.55
"194","2018-05-30",7.6
"195","2018-05-31",7.42
"196","2018-06-01",7.61
"197","2018-06-04",7.39
"198","2018-06-05",7.52
"199","2018-06-06",7.39
"200","2018-06-07",7.17
"201","2018-06-08",7.07
"202","2018-06-11",7.02
"203","2018-06-12",7.21
"204","2018-06-13",7.2
"205","2018-06-14",7.89
"206","2018-06-15",7.76
"207","2018-06-18",7.09
"208","2018-06-19",7.15
"209","2018-06-20",6.86
"210","2018-06-21",6.68
"211","2018-06-22",7.04
"212","2018-06-25",6.95
"213","2018-06-26",7.05
"214","2018-06-27",6.78
"215","2018-06-28",6.98
"216","2018-06-29",6.89
"217","2018-07-02",6.87
"218","2018-07-03",7.19
"219","2018-07-05",7.21
"220","2018-07-06",7.34
"221","2018-07-09",7.58
"222","2018-07-10",7.4
"223","2018-07-11",7.42
"224","2018-07-12",7.44
"225","2018-07-13",7.49
"226","2018-07-16",7.45
"227","2018-07-17",7.23
"228","2018-07-18",7.38
"229","2018-07-19",7.47
"230","2018-07-20",7.4
"231","2018-07-23",7.15
"232","2018-07-24",7.08
"233","2018-07-25",7.37
"234","2018-07-26",7.24
"235","2018-07-27",6.86
"236","2018-07-30",6.39
"237","2018-07-31",6.85
"238","2018-08-01",6.62
"239","2018-08-02",6.63
