"","date","WBS"
"1","2007-01-03",48.759998
"2","2007-01-04",48.759998
"3","2007-01-05",48.209999
"4","2007-01-08",47.68
"5","2007-01-09",47.529999
"6","2007-01-10",47.5
"7","2007-01-11",47.599998
"8","2007-01-12",47.459999
"9","2007-01-16",47.060001
"10","2007-01-17",46.849998
"11","2007-01-18",48.09
"12","2007-01-19",48.849998
"13","2007-01-22",49.220001
"14","2007-01-23",49.810001
"15","2007-01-24",50.240002
"16","2007-01-25",49.580002
"17","2007-01-26",49.290001
"18","2007-01-29",49.650002
"19","2007-01-30",49.91
"20","2007-01-31",49.82
"21","2007-02-01",50.150002
"22","2007-02-02",50.630001
"23","2007-02-05",50.52
"24","2007-02-06",50.740002
"25","2007-02-07",51.029999
"26","2007-02-08",50.400002
"27","2007-02-09",49.799999
"28","2007-02-12",49.93
"29","2007-02-13",50.369999
"30","2007-02-14",50.799999
"31","2007-02-15",50.939999
"32","2007-02-16",50.93
"33","2007-02-20",51.130001
"34","2007-02-21",50.849998
"35","2007-02-22",50.73
"36","2007-02-23",50.459999
"37","2007-02-26",50.27
"38","2007-02-27",49.16
"39","2007-02-28",49.389999
"40","2007-03-01",49.380001
"41","2007-03-02",48.740002
"42","2007-03-05",47.84
"43","2007-03-06",48.189999
"44","2007-03-07",47.939999
"45","2007-03-08",48.43
"46","2007-03-09",48.560001
"47","2007-03-12",48.869999
"48","2007-03-13",47.389999
"49","2007-03-14",47.43
"50","2007-03-15",47.900002
"51","2007-03-16",47.700001
"52","2007-03-19",47.91
"53","2007-03-20",47.98
"54","2007-03-21",48.970001
"55","2007-03-22",48.860001
"56","2007-03-23",49.23
"57","2007-03-26",49.27
"58","2007-03-27",47.810001
"59","2007-03-28",47.759998
"60","2007-03-29",48.150002
"61","2007-03-30",48.009998
"62","2007-04-02",47.48
"63","2007-04-03",47.759998
"64","2007-04-04",47.259998
"65","2007-04-05",46.709999
"66","2007-04-09",46.400002
"67","2007-04-10",46.389999
"68","2007-04-11",45.75
"69","2007-04-12",45.889999
"70","2007-04-13",46.110001
"71","2007-04-16",47.369999
"72","2007-04-17",47.139999
"73","2007-04-18",47.389999
"74","2007-04-19",46.959999
"75","2007-04-20",47
"76","2007-04-23",46.049999
"77","2007-04-24",45.810001
"78","2007-04-25",45.549999
"79","2007-04-26",45.189999
"80","2007-04-27",44.98
"81","2007-04-30",44.450001
"82","2007-05-01",44.540001
"83","2007-05-02",44.919998
"84","2007-05-03",45.07
"85","2007-05-04",45.189999
"86","2007-05-07",45.16
"87","2007-05-08",45.02
"88","2007-05-09",45.139999
"89","2007-05-10",44.490002
"90","2007-05-11",44.970001
"91","2007-05-14",44.700001
"92","2007-05-15",44.650002
"93","2007-05-16",44.93
"94","2007-05-17",44.939999
"95","2007-05-18",44.959999
"96","2007-05-21",45.189999
"97","2007-05-22",45.84
"98","2007-05-23",45.490002
"99","2007-05-24",45.009998
"100","2007-05-25",44.939999
"101","2007-05-29",44.990002
"102","2007-05-30",45.130001
"103","2007-05-31",44.990002
"104","2007-06-01",45.279999
"105","2007-06-04",45.060001
"106","2007-06-05",44.919998
"107","2007-06-06",44.380001
"108","2007-06-07",43.57
"109","2007-06-08",44.09
"110","2007-06-11",43.91
"111","2007-06-12",43.009998
"112","2007-06-13",42.93
"113","2007-06-14",43.529999
"114","2007-06-15",43.630001
"115","2007-06-18",43.689999
"116","2007-06-19",43.41
"117","2007-06-20",42.98
"118","2007-06-21",42.919998
