"","date","OPK"
"1","2007-01-03",0.9
"2","2007-01-04",1
"3","2007-01-05",1
"4","2007-01-08",1.06
"5","2007-01-09",1.15
"6","2007-01-10",1.1
"7","2007-01-11",1.3
"8","2007-01-12",1.39
"9","2007-01-16",1.35
"10","2007-01-17",1.3
"11","2007-01-18",1.15
"12","2007-01-19",1.25
"13","2007-01-22",1.26
"14","2007-01-23",1.25
"15","2007-01-24",1.29
"16","2007-01-25",1.29
"17","2007-01-26",1.3
"18","2007-01-29",1.28
"19","2007-01-30",1.4
"20","2007-01-31",1.4
"21","2007-02-01",1.37
"22","2007-02-02",1.4
"23","2007-02-05",1.5
"24","2007-02-06",1.47
"25","2007-02-07",1.5
"26","2007-02-08",1.75
"27","2007-02-09",1.93
"28","2007-02-12",1.7
"29","2007-02-13",1.63
"30","2007-02-14",1.6
"31","2007-02-15",1.74
"32","2007-02-16",1.84
"33","2007-02-20",1.85
"34","2007-02-21",1.93
"35","2007-02-22",2.08
"36","2007-02-23",2.49
"37","2007-02-26",2.42
"38","2007-02-27",2.05
"39","2007-02-28",2.17
"40","2007-03-01",2.15
"41","2007-03-02",2.17
"42","2007-03-05",2.21
"43","2007-03-06",2.22
"44","2007-03-07",2.28
"45","2007-03-08",2.42
"46","2007-03-09",2.58
"47","2007-03-12",2.48
"48","2007-03-13",2.5
"49","2007-03-14",2.34
"50","2007-03-15",2.4
"51","2007-03-16",2.35
"52","2007-03-19",2.38
"53","2007-03-20",2.5
"54","2007-03-21",2.65
"55","2007-03-22",2.86
"56","2007-03-23",2.78
"57","2007-03-26",2.52
"58","2007-03-27",3.28
"59","2007-03-28",3.8
"60","2007-03-29",3.57
"61","2007-03-30",3.71
"62","2007-04-02",3.78
"63","2007-04-03",3.5
"64","2007-04-04",3.57
"65","2007-04-05",3.54
"66","2007-04-09",3.55
"67","2007-04-10",3.67
"68","2007-04-11",4.02
"69","2007-04-12",4.9
"70","2007-04-13",5.35
"71","2007-04-16",4.88
"72","2007-04-17",4.4
"73","2007-04-18",4.2
"74","2007-04-19",4.5
"75","2007-04-20",4.36
"76","2007-04-23",4.3
"77","2007-04-24",4.6
"78","2007-04-25",4.5
"79","2007-04-26",4.62
"80","2007-04-27",4.7
"81","2007-04-30",4.8
"82","2007-05-01",4.8
"83","2007-05-02",4.83
"84","2007-05-03",4.88
"85","2007-05-04",4.98
"86","2007-05-07",4.9
"87","2007-05-08",4.7
"88","2007-05-09",4.7
"89","2007-05-10",4.85
"90","2007-05-11",4.99
"91","2007-05-14",5
"92","2007-05-15",5.05
"93","2007-05-16",5.03
"94","2007-05-17",4.94
"95","2007-05-18",4.81
"96","2007-05-21",4.65
"97","2007-05-22",4.5
"98","2007-05-23",4.45
"99","2007-05-24",4.39
"100","2007-05-25",4.1
"101","2007-05-29",4.3
"102","2007-05-30",4.1
"103","2007-05-31",4.2
"104","2007-06-01",4.2
"105","2007-06-04",4.2
"106","2007-06-05",4.11
"107","2007-06-06",3.95
"108","2007-06-07",3.89
"109","2007-06-08",4.08
"110","2007-06-11",4.08
"111","2007-06-12",4.08
"112","2007-06-13",4.15
"113","2007-06-14",4.01
"114","2007-06-15",4.01
"115","2007-06-18",4.05
"116","2007-06-19",4.02
"117","2007-06-20",3.99
"118","2007-06-21",3.95
"119","2007-06-22",3.85
"120","2007-06-25",3.72
"121","2007-06-26",3.54
"122","2007-06-27",3.55
"123","2007-06-28",3.57
"124","2007-06-29",3.65
"125","2007-07-02",3.8
"126","2007-07-03",3.75
"127","2007-07-05",3.78
"128","2007-07-06",3.55
"129","2007-07-09",3.66
"130","2007-07-10",3.36
"131","2007-07-11",3.54
"132","2007-07-12",3.72
"133","2007-07-13",3.86
"134","2007-07-16",4.01
"135","2007-07-17",4.05
"136","2007-07-18",4.02
"137","2007-07-19",3.92
"138","2007-07-20",4.04
"139","2007-07-23",4.87
"140","2007-07-24",4.5
"141","2007-07-25",4.18
"142","2007-07-26",4.41
"143","2007-07-27",4.45
"144","2007-07-30",4.39
"145","2007-07-31",4.22
"146","2007-08-01",4.2
"147","2007-08-02",4.19
"148","2007-08-03",4
"149","2007-08-06",3.95
"150","2007-08-07",4.11
"151","2007-08-08",4.02
"152","2007-08-09",4
"153","2007-08-10",3.87
"154","2007-08-13",3.97
"155","2007-08-14",3.92
"156","2007-08-15",3.8
"157","2007-08-16",3.93
"158","2007-08-17",4.45
"159","2007-08-20",4.1
"160","2007-08-21",4.1
"161","2007-08-22",4.25
"162","2007-08-23",4.36
"163","2007-08-24",4.35
"164","2007-08-27",4.21
"165","2007-08-28",4.18
"166","2007-08-29",4.08
"167","2007-08-30",4.16
"168","2007-08-31",4.2
"169","2007-09-04",4.19
"170","2007-09-05",4.12
"171","2007-09-06",4.14
"172","2007-09-07",4.1
"173","2007-09-10",4.04
"174","2007-09-11",3.98
"175","2007-09-12",4.02
"176","2007-09-13",4.06
"177","2007-09-14",4.08
"178","2007-09-17",4.05
"179","2007-09-18",4.06
"180","2007-09-19",4.15
"181","2007-09-20",4.1
"182","2007-09-21",4.04
"183","2007-09-24",4.13
"184","2007-09-25",4
"185","2007-09-26",3.99
"186","2007-09-27",4.01
"187","2007-09-28",4.04
"188","2007-10-01",4.01
"189","2007-10-02",3.94
"190","2007-10-03",3.98
"191","2007-10-04",4
"192","2007-10-05",4.05
"193","2007-10-08",4.04
"194","2007-10-09",4.05
"195","2007-10-10",4.29
"196","2007-10-11",4.23
"197","2007-10-12",4.15
"198","2007-10-15",4.15
"199","2007-10-16",4.17
"200","2007-10-17",4.2
"201","2007-10-18",4.4
"202","2007-10-19",4.3
"203","2007-10-22",4.17
"204","2007-10-23",4.19
"205","2007-10-24",4.26
"206","2007-10-25",4.3
"207","2007-10-26",4.33
"208","2007-10-29",4.32
"209","2007-10-30",4.22
"210","2007-10-31",4.23
"211","2007-11-01",4.22
"212","2007-11-02",4.2
"213","2007-11-05",4.05
"214","2007-11-06",4.07
"215","2007-11-07",4.07
"216","2007-11-08",4
"217","2007-11-09",3.76
"218","2007-11-12",3.51
"219","2007-11-13",3.9
"220","2007-11-14",3.88
"221","2007-11-15",3.75
"222","2007-11-16",3.7
"223","2007-11-19",3.5
"224","2007-11-20",3.53
"225","2007-11-21",3.54
"226","2007-11-23",3.47
"227","2007-11-26",3.4
"228","2007-11-27",3.06
"229","2007-11-28",3.22
"230","2007-11-29",3.48
"231","2007-11-30",3.2
"232","2007-12-03",2.66
"233","2007-12-04",2.7
"234","2007-12-05",2.96
"235","2007-12-06",3.22
"236","2007-12-07",3.24
"237","2007-12-10",3.33
"238","2007-12-11",3.16
"239","2007-12-12",3.05
"240","2007-12-13",3.25
"241","2007-12-14",3.12
"242","2007-12-17",3.1
"243","2007-12-18",2.98
"244","2007-12-19",2.99
"245","2007-12-20",2.89
"246","2007-12-21",3.35
"247","2007-12-24",3.18
"248","2007-12-26",3.05
"249","2007-12-27",2.95
"250","2007-12-28",2.85
"251","2007-12-31",2.85
"252","2008-01-02",2.89
"253","2008-01-03",2.9
"254","2008-01-04",2.89
"255","2008-01-07",2.84
"256","2008-01-08",2.79
"257","2008-01-09",2.79
"258","2008-01-10",3.4
"259","2008-01-11",3.04
"260","2008-01-14",3.24
"261","2008-01-15",3.06
"262","2008-01-16",2.95
"263","2008-01-17",2.97
"264","2008-01-18",2.91
"265","2008-01-22",2.73
"266","2008-01-23",2.9
"267","2008-01-24",2.78
"268","2008-01-25",2.78
"269","2008-01-28",2.88
"270","2008-01-29",3.1
"271","2008-01-30",2.87
