"","date","ESGC"
"1","2020-03-23",1.77
"2","2020-03-24",1.78
"3","2020-03-25",1.75
"4","2020-03-26",1.76
"5","2020-03-27",1.71
"6","2020-03-30",1.66
"7","2020-03-31",1.65
"8","2020-04-01",1.46
"9","2020-04-02",1.46
"10","2020-04-03",1.43
"11","2020-04-06",1.53
"12","2020-04-07",1.53
"13","2020-04-08",1.73
"14","2020-04-09",1.99
"15","2020-04-13",2.12
"16","2020-04-14",2.17
"17","2020-04-15",2.05
"18","2020-04-16",1.96
"19","2020-04-17",3.05
"20","2020-04-20",2.5
"21","2020-04-21",2.31
"22","2020-04-22",2.71
"23","2020-04-23",2.64
"24","2020-04-24",2.51
"25","2020-04-27",2.62
"26","2020-04-28",2.58
"27","2020-04-29",2.72
"28","2020-04-30",2.55
"29","2020-05-01",2.45
"30","2020-05-04",2.45
"31","2020-05-05",2.47
"32","2020-05-06",2.57
"33","2020-05-07",2.9
"34","2020-05-08",3.23
"35","2020-05-11",3.22
"36","2020-05-12",3.13
"37","2020-05-13",3
"38","2020-05-14",3.06
"39","2020-05-15",2.93
"40","2020-05-18",3.08
"41","2020-05-19",3.16
"42","2020-05-20",3.12
"43","2020-05-21",3.22
"44","2020-05-22",3.18
"45","2020-05-26",3.25
"46","2020-05-27",3.32
"47","2020-05-28",3.16
"48","2020-05-29",NA
"49","2020-06-01",NA
"50","2020-06-02",NA
"51","2020-06-03",NA
"52","2020-06-04",NA
"53","2020-06-05",NA
"54","2020-06-08",NA
"55","2020-06-09",NA
"56","2020-06-10",NA
"57","2020-06-11",NA
"58","2020-06-12",NA
"59","2020-06-15",NA
"60","2020-06-16",NA
"61","2020-06-17",NA
"62","2020-06-18",NA
"63","2020-06-19",NA
"64","2020-06-22",NA
"65","2020-06-23",NA
"66","2020-06-24",NA
"67","2020-06-25",NA
"68","2020-06-26",NA
"69","2020-06-29",NA
"70","2020-06-30",NA
"71","2020-07-01",NA
"72","2020-07-02",NA
"73","2020-07-06",NA
"74","2020-07-07",NA
"75","2020-07-08",NA
"76","2020-07-09",NA
"77","2020-07-10",NA
"78","2020-07-13",NA
"79","2020-07-14",NA
"80","2020-07-15",NA
"81","2020-07-16",NA
"82","2020-07-17",NA
"83","2020-07-20",NA
"84","2020-07-21",NA
"85","2020-07-22",NA
"86","2020-07-23",NA
"87","2020-07-24",NA
"88","2020-07-27",NA
"89","2020-07-28",NA
"90","2020-07-29",NA
"91","2020-07-30",NA
"92","2020-07-31",NA
"93","2020-08-03",NA
"94","2020-08-04",NA
"95","2020-08-05",NA
"96","2020-08-06",NA
"97","2020-08-07",NA
"98","2020-08-10",NA
"99","2020-08-11",NA
"100","2020-08-12",NA
"101","2020-08-13",NA
"102","2020-08-14",NA
"103","2020-08-17",NA
"104","2020-08-18",NA
"105","2020-08-19",NA
"106","2020-08-20",NA
"107","2020-08-21",NA
"108","2020-08-24",NA
"109","2020-08-25",NA
"110","2020-08-26",NA
"111","2020-08-27",NA
"112","2020-08-28",NA
"113","2020-08-31",NA
"114","2020-09-01",NA
"115","2020-09-02",NA
"116","2020-09-03",NA
"117","2020-09-04",NA
"118","2020-09-08",NA
"119","2020-09-09",NA
"120","2020-09-10",NA
"121","2020-09-11",NA
"122","2020-09-14",NA
"123","2020-09-15",NA
"124","2020-09-16",NA
"125","2020-09-17",NA
"126","2020-09-18",NA
"127","2020-09-21",NA
"128","2020-09-22",NA
"129","2020-09-23",2.26
"130","2020-09-24",2.22
"131","2020-09-25",2.26
"132","2020-09-28",2.17
"133","2020-09-29",2.16
"134","2020-09-30",2.21
"135","2020-10-01",2.45
"136","2020-10-02",2.46
"137","2020-10-05",2.51
"138","2020-10-06",2.55
"139","2020-10-07",2.65
"140","2020-10-08",2.63
"141","2020-10-09",2.54
"142","2020-10-12",2.47
"143","2020-10-13",2.45
"144","2020-10-14",2.33
"145","2020-10-15",2.33
"146","2020-10-16",2.31
"147","2020-10-19",2.42
"148","2020-10-20",2.33
"149","2020-10-21",2.25
"150","2020-10-22",2.31
"151","2020-10-23",2.35
"152","2020-10-26",2.24
"153","2020-10-27",2.17
"154","2020-10-28",1.95
"155","2020-10-29",2
"156","2020-10-30",1.92
"157","2020-11-02",1.64
"158","2020-11-03",2.09
"159","2020-11-04",2.06
"160","2020-11-05",2.12
"161","2020-11-06",2.08
"162","2020-11-09",2.29
"163","2020-11-10",2.28
"164","2020-11-11",2.29
"165","2020-11-12",2.15
"166","2020-11-13",2.22
"167","2020-11-16",2.29
"168","2020-11-17",2.32
"169","2020-11-18",2.22
"170","2020-11-19",2.26
"171","2020-11-20",2.2
"172","2020-11-23",2.23
"173","2020-11-24",2.33
"174","2020-11-25",2.28
"175","2020-11-27",2.24
