"","date","PRT"
"1","2018-05-02",15.5
"2","2018-05-03",15
"3","2018-05-04",15.52
"4","2018-05-07",15.78
"5","2018-05-08",15.65
"6","2018-05-09",15.57
"7","2018-05-10",15.44
"8","2018-05-11",15.41
"9","2018-05-14",15.45
"10","2018-05-15",15.64
"11","2018-05-16",15.75
"12","2018-05-17",15.8
"13","2018-05-18",15.73
"14","2018-05-21",15.96
"15","2018-05-22",15.84
"16","2018-05-23",15.91
"17","2018-05-24",15.81
"18","2018-05-25",15.6
"19","2018-05-29",16.23
"20","2018-05-30",15.89
"21","2018-05-31",16.18
"22","2018-06-01",15.97
"23","2018-06-04",16.120001
"24","2018-06-05",16
"25","2018-06-06",16.040001
"26","2018-06-07",15.92
"27","2018-06-08",16.120001
"28","2018-06-11",16.15
"29","2018-06-12",16.25
"30","2018-06-13",16.09
"31","2018-06-14",16.1
"32","2018-06-15",16.1
"33","2018-06-18",16.17
"34","2018-06-19",15.62
"35","2018-06-20",15.72
"36","2018-06-21",15.9
"37","2018-06-22",16.190001
"38","2018-06-25",15.92
"39","2018-06-26",16.190001
"40","2018-06-27",16.049999
"41","2018-06-28",16.030001
"42","2018-06-29",16.219999
"43","2018-07-02",16.290001
"44","2018-07-03",16.280001
"45","2018-07-05",16.290001
"46","2018-07-06",16.290001
"47","2018-07-09",16.110001
"48","2018-07-10",16.02
"49","2018-07-11",16
"50","2018-07-12",16.059999
"51","2018-07-13",16.040001
"52","2018-07-16",15.77
"53","2018-07-17",15.83
"54","2018-07-18",15.9
"55","2018-07-19",15.69
"56","2018-07-20",15.85
"57","2018-07-23",15.99
"58","2018-07-24",16
"59","2018-07-25",16.15
"60","2018-07-26",16.25
"61","2018-07-27",16.200001
"62","2018-07-30",16.08
"63","2018-07-31",15.8
"64","2018-08-01",15.67
"65","2018-08-02",15.53
"66","2018-08-03",15.5
"67","2018-08-06",15.85
"68","2018-08-07",15.77
"69","2018-08-08",15.38
"70","2018-08-09",15.63
"71","2018-08-10",15.47
"72","2018-08-13",15.4
"73","2018-08-14",15.79
"74","2018-08-15",15.55
"75","2018-08-16",15.577
"76","2018-08-17",15.68
"77","2018-08-20",15.56
"78","2018-08-21",14.33
"79","2018-08-22",14.68
"80","2018-08-23",13.99
"81","2018-08-24",13.45
"82","2018-08-27",14.69
"83","2018-08-28",14.55
"84","2018-08-29",14.28
"85","2018-08-30",14
"86","2018-08-31",13.72
"87","2018-09-04",13.61
"88","2018-09-05",13.16
"89","2018-09-06",13.21
"90","2018-09-07",13.03
"91","2018-09-10",12.6
"92","2018-09-11",12
"93","2018-09-12",11.96
"94","2018-09-13",12.03
"95","2018-09-14",12
"96","2018-09-17",12.08
"97","2018-09-18",12.95
"98","2018-09-19",12.8
"99","2018-09-20",12.97
"100","2018-09-21",13.01
"101","2018-09-24",13.11
"102","2018-09-25",12.91
"103","2018-09-26",12.77
"104","2018-09-27",12.48
"105","2018-09-28",12.25
"106","2018-10-01",11.9
"107","2018-10-02",12.57
"108","2018-10-03",12.78
"109","2018-10-04",12.46
"110","2018-10-05",12.35
"111","2018-10-08",12.31
"112","2018-10-09",12.46
"113","2018-10-10",12.35
"114","2018-10-11",12.14
"115","2018-10-12",11.95
"116","2018-10-15",11.93
"117","2018-10-16",12
"118","2018-10-17",12.04
"119","2018-10-18",12.02
"120","2018-10-19",11.96
"121","2018-10-22",11.87
"122","2018-10-23",11.75
"123","2018-10-24",11.95
"124","2018-10-25",12.37
"125","2018-10-26",12.7
"126","2018-10-29",12.64
"127","2018-10-30",12.45
"128","2018-10-31",12.55
"129","2018-11-01",12.64
"130","2018-11-02",12.58
"131","2018-11-05",12.64
"132","2018-11-06",12.6
"133","2018-11-07",12.65
"134","2018-11-08",12.55
"135","2018-11-09",12.6
"136","2018-11-12",12.58
"137","2018-11-13",12.5
"138","2018-11-14",11.85
"139","2018-11-15",11.98
"140","2018-11-16",12
"141","2018-11-19",10.62
"142","2018-11-20",10.03
"143","2018-11-21",10.76
"144","2018-11-23",10.77
"145","2018-11-26",10.55
"146","2018-11-27",10.76
"147","2018-11-28",10.14
"148","2018-11-29",10.18
"149","2018-11-30",9.95
"150","2018-12-03",9.84
"151","2018-12-04",9.41
"152","2018-12-06",9
"153","2018-12-07",9.29
"154","2018-12-10",8.5
"155","2018-12-11",8.43
"156","2018-12-12",8.49
"157","2018-12-13",8.02
"158","2018-12-14",7.65
"159","2018-12-17",7.46
"160","2018-12-18",7.02
"161","2018-12-19",6.64
"162","2018-12-20",6.33
"163","2018-12-21",5.93
"164","2018-12-24",6.06
"165","2018-12-26",6.5
"166","2018-12-27",5.93
"167","2018-12-28",5.96
"168","2018-12-31",5.92
"169","2019-01-02",7.48
"170","2019-01-03",8.44
"171","2019-01-04",9.11
"172","2019-01-07",9.8
"173","2019-01-08",10.11
"174","2019-01-09",10.44
"175","2019-01-10",10.17
"176","2019-01-11",9.85
"177","2019-01-14",9.9
"178","2019-01-15",9.99
"179","2019-01-16",9.62
"180","2019-01-17",8.63
"181","2019-01-18",9.43
"182","2019-01-22",9.3
"183","2019-01-23",9.19
"184","2019-01-24",9.45
"185","2019-01-25",9.39
"186","2019-01-28",9.05
"187","2019-01-29",9.145
"188","2019-01-30",9.09
"189","2019-01-31",9.03
"190","2019-02-01",8.95
"191","2019-02-04",8.76
"192","2019-02-05",8.36
"193","2019-02-06",8.39
"194","2019-02-07",8.35
"195","2019-02-08",8.13
"196","2019-02-11",8.311
"197","2019-02-12",8.75
"198","2019-02-13",8.9
"199","2019-02-14",9.29
"200","2019-02-15",8.99
"201","2019-02-19",8.87
"202","2019-02-20",9
"203","2019-02-21",8.93
"204","2019-02-22",9.05
"205","2019-02-25",8.93
"206","2019-02-26",8.78
"207","2019-02-27",8.67
"208","2019-02-28",8.6
"209","2019-03-01",8.34
"210","2019-03-04",8.05
"211","2019-03-05",8.04
"212","2019-03-06",7.82
"213","2019-03-07",7.85
"214","2019-03-08",7.85
"215","2019-03-11",7.92
"216","2019-03-12",7.834
"217","2019-03-13",7.8
"218","2019-03-14",7.86
"219","2019-03-15",7.86
"220","2019-03-18",8
"221","2019-03-19",8.45
"222","2019-03-20",8.81
"223","2019-03-21",8.49
"224","2019-03-22",8.35
"225","2019-03-25",8.37
"226","2019-03-26",8.65
"227","2019-03-27",8.7
