"","date","QIWI"
"1","2013-05-03",17.08
"2","2013-05-06",17
"3","2013-05-07",16.780001
"4","2013-05-08",16.809999
"5","2013-05-09",16.9
"6","2013-05-10",16.91
"7","2013-05-13",16.77
"8","2013-05-14",16.780001
"9","2013-05-15",16.82
"10","2013-05-16",17
"11","2013-05-17",16.959999
"12","2013-05-20",16.860001
"13","2013-05-21",16.77
"14","2013-05-22",16.620001
"15","2013-05-23",16.219999
"16","2013-05-24",16.17
"17","2013-05-28",15.98
"18","2013-05-29",15.62
"19","2013-05-30",15.66
"20","2013-05-31",16.9
"21","2013-06-03",16.610001
"22","2013-06-04",18
"23","2013-06-05",18.709999
"24","2013-06-06",19.719999
"25","2013-06-07",19.9
"26","2013-06-10",19.709999
"27","2013-06-11",19.74
"28","2013-06-12",19.77
"29","2013-06-13",19.6
"30","2013-06-14",20.540001
"31","2013-06-17",21.6
"32","2013-06-18",21.139999
"33","2013-06-19",22.1
"34","2013-06-20",21.84
"35","2013-06-21",22.809999
"36","2013-06-24",22.32
"37","2013-06-25",21.559999
"38","2013-06-26",23.08
"39","2013-06-27",23.17
"40","2013-06-28",23.200001
"41","2013-07-01",23.440001
"42","2013-07-02",23.209999
"43","2013-07-03",23
"44","2013-07-05",23.209999
"45","2013-07-08",22.25
"46","2013-07-09",22.43
"47","2013-07-10",22.16
"48","2013-07-11",22.940001
"49","2013-07-12",25.389999
"50","2013-07-15",26.120001
"51","2013-07-16",26.52
"52","2013-07-17",25.719999
"53","2013-07-18",26
"54","2013-07-19",26.41
"55","2013-07-22",26.200001
"56","2013-07-23",25.780001
"57","2013-07-24",25.540001
"58","2013-07-25",26.559999
"59","2013-07-26",26.25
"60","2013-07-29",27.860001
"61","2013-07-30",27.91
"62","2013-07-31",28.700001
"63","2013-08-01",29.540001
"64","2013-08-02",30
"65","2013-08-05",31.66
"66","2013-08-06",32.290001
"67","2013-08-07",32
"68","2013-08-08",33.740002
"69","2013-08-09",33.330002
"70","2013-08-12",32.73
"71","2013-08-13",31.48
"72","2013-08-14",29.65
"73","2013-08-15",28.620001
"74","2013-08-16",28.9
"75","2013-08-19",29.969999
"76","2013-08-20",29.879999
"77","2013-08-21",30.629999
"78","2013-08-22",31.67
"79","2013-08-23",31.549999
"80","2013-08-26",33.450001
"81","2013-08-27",34.330002
"82","2013-08-28",31.969999
"83","2013-08-29",30.690001
"84","2013-08-30",29.799999
"85","2013-09-03",31.48
"86","2013-09-04",30.83
"87","2013-09-05",30.24
"88","2013-09-06",30.33
"89","2013-09-09",30.799999
"90","2013-09-10",32.75
"91","2013-09-11",32.66
"92","2013-09-12",33.77
"93","2013-09-13",33.639999
"94","2013-09-16",33.990002
"95","2013-09-17",34.049999
"96","2013-09-18",32.93
