"","date","POOL"
"1","2007-01-03",39.59
"2","2007-01-04",39.970001
"3","2007-01-05",39.77
"4","2007-01-08",39.73
"5","2007-01-09",39.849998
"6","2007-01-10",39.919998
"7","2007-01-11",40.580002
"8","2007-01-12",36.349998
"9","2007-01-16",36.52
"10","2007-01-17",36.369999
"11","2007-01-18",36.759998
"12","2007-01-19",36.470001
"13","2007-01-22",36.459999
"14","2007-01-23",36.52
"15","2007-01-24",36.720001
"16","2007-01-25",36.259998
"17","2007-01-26",36.110001
"18","2007-01-29",36.099998
"19","2007-01-30",36.119999
"20","2007-01-31",36.599998
"21","2007-02-01",36.68
"22","2007-02-02",38.34
"23","2007-02-05",37.77
"24","2007-02-06",37.93
"25","2007-02-07",38.200001
"26","2007-02-08",37.5
"27","2007-02-09",36.84
"28","2007-02-12",36.700001
"29","2007-02-13",36.240002
"30","2007-02-14",36.380001
"31","2007-02-15",36.799999
"32","2007-02-16",36.57
"33","2007-02-20",36.25
"34","2007-02-21",36.43
"35","2007-02-22",36.32
"36","2007-02-23",35.880001
"37","2007-02-26",35.990002
"38","2007-02-27",35.09
"39","2007-02-28",35.099998
"40","2007-03-01",34.91
"41","2007-03-02",34.98
"42","2007-03-05",34.860001
"43","2007-03-06",35.330002
"44","2007-03-07",35.310001
"45","2007-03-08",35.040001
"46","2007-03-09",35.040001
"47","2007-03-12",34.919998
"48","2007-03-13",34.48
"49","2007-03-14",34.490002
"50","2007-03-15",34.709999
"51","2007-03-16",34.099998
"52","2007-03-19",34.360001
"53","2007-03-20",34.490002
"54","2007-03-21",34.380001
"55","2007-03-22",34.709999
"56","2007-03-23",35.900002
"57","2007-03-26",35.389999
"58","2007-03-27",35.310001
"59","2007-03-28",35.09
"60","2007-03-29",35.939999
"61","2007-03-30",35.799999
"62","2007-04-02",36.099998
"63","2007-04-03",36.360001
"64","2007-04-04",36.110001
"65","2007-04-05",36.610001
"66","2007-04-09",36.209999
"67","2007-04-10",36.099998
"68","2007-04-11",36.049999
"69","2007-04-12",36.029999
"70","2007-04-13",36
"71","2007-04-16",36.049999
"72","2007-04-17",35.810001
"73","2007-04-18",35.98
"74","2007-04-19",37.84
"75","2007-04-20",39.490002
"76","2007-04-23",38.27
"77","2007-04-24",38.380001
"78","2007-04-25",38.360001
"79","2007-04-26",39.599998
"80","2007-04-27",39.16
"81","2007-04-30",40.130001
"82","2007-05-01",39.880001
"83","2007-05-02",40.369999
"84","2007-05-03",38.669998
"85","2007-05-04",38.669998
"86","2007-05-07",38.360001
"87","2007-05-08",37.849998
"88","2007-05-09",37.98
"89","2007-05-10",38.18
"90","2007-05-11",38.43
"91","2007-05-14",38.860001
"92","2007-05-15",39.169998
"93","2007-05-16",38.919998
"94","2007-05-17",39.25
"95","2007-05-18",39.529999
"96","2007-05-21",40.029999
"97","2007-05-22",40.389999
"98","2007-05-23",40.759998
"99","2007-05-24",40.810001
"100","2007-05-25",40.889999
"101","2007-05-29",40.830002
"102","2007-05-30",41.009998
"103","2007-05-31",40.950001
"104","2007-06-01",40.830002
"105","2007-06-04",41.369999
"106","2007-06-05",41.580002
"107","2007-06-06",41.349998
"108","2007-06-07",41.25
"109","2007-06-08",41.32
"110","2007-06-11",41.48
"111","2007-06-12",40.939999
"112","2007-06-13",41.080002
"113","2007-06-14",41.700001
"114","2007-06-15",42.380001
"115","2007-06-18",41.98
"116","2007-06-19",41.950001
"117","2007-06-20",41.43
"118","2007-06-21",41.389999
"119","2007-06-22",40.18
"120","2007-06-25",39.759998
"121","2007-06-26",39.639999
"122","2007-06-27",39.98
"123","2007-06-28",39.41
"124","2007-06-29",39.029999
"125","2007-07-02",37.709999
"126","2007-07-03",34.970001
"127","2007-07-05",35.139999
"128","2007-07-06",35.57
"129","2007-07-09",35.630001
"130","2007-07-10",35.41
"131","2007-07-11",35.52
"132","2007-07-12",35.880001
"133","2007-07-13",35.919998
"134","2007-07-16",35.669998
"135","2007-07-17",35.049999
"136","2007-07-18",35.040001
"137","2007-07-19",34.369999
"138","2007-07-20",34.200001
"139","2007-07-23",33.939999
"140","2007-07-24",33.740002
"141","2007-07-25",34.080002
"142","2007-07-26",33.59
"143","2007-07-27",33.84
"144","2007-07-30",33.599998
"145","2007-07-31",33.610001
"146","2007-08-01",33.959999
"147","2007-08-02",34.380001
"148","2007-08-03",34.25
"149","2007-08-06",34.139999
"150","2007-08-07",35.490002
"151","2007-08-08",36.07
"152","2007-08-09",36.540001
"153","2007-08-10",35.02
"154","2007-08-13",34.349998
"155","2007-08-14",33.529999
"156","2007-08-15",33.389999
"157","2007-08-16",34.310001
"158","2007-08-17",34.130001
"159","2007-08-20",35.32
"160","2007-08-21",34.5
"161","2007-08-22",33.939999
