"","date","BOCH"
"1","2007-01-03",11.1
"2","2007-01-04",11.55
"3","2007-01-05",11.65
"4","2007-01-08",11.96
"5","2007-01-09",12.05
"6","2007-01-10",12.14
"7","2007-01-11",12.14
"8","2007-01-12",12.14
"9","2007-01-16",12
"10","2007-01-17",11.8
"11","2007-01-18",11.27
"12","2007-01-19",11.41
"13","2007-01-22",11.41
"14","2007-01-23",11.41
"15","2007-01-24",11.41
"16","2007-01-25",11.74
"17","2007-01-26",11.74
"18","2007-01-29",11.6
"19","2007-01-30",11.6
"20","2007-01-31",11.63
"21","2007-02-01",11.6
"22","2007-02-02",11.6
"23","2007-02-05",11.7
"24","2007-02-06",11.7
"25","2007-02-07",11.79
"26","2007-02-08",11.79
"27","2007-02-09",11.95
"28","2007-02-12",11.97
"29","2007-02-13",11.6
"30","2007-02-14",11.6
"31","2007-02-15",11.6
"32","2007-02-16",11.6
"33","2007-02-20",11.6
"34","2007-02-21",11.77
"35","2007-02-22",11.77
"36","2007-02-23",11.6
"37","2007-02-26",11.63
"38","2007-02-27",11.75
"39","2007-02-28",11.75
"40","2007-03-01",11.65
"41","2007-03-02",11.65
"42","2007-03-05",11.5
"43","2007-03-06",11.5
"44","2007-03-07",11.79
"45","2007-03-08",12
"46","2007-03-09",12.04
"47","2007-03-12",11.85
"48","2007-03-13",11.91
"49","2007-03-14",11.9
"50","2007-03-15",11.9
"51","2007-03-16",11.71
"52","2007-03-19",11.75
"53","2007-03-20",12
"54","2007-03-21",12
"55","2007-03-22",12.02
"56","2007-03-23",12.02
"57","2007-03-26",12.01
"58","2007-03-27",12.01
"59","2007-03-28",12
"60","2007-03-29",12
"61","2007-03-30",11.75
"62","2007-04-02",11.75
"63","2007-04-03",11.75
"64","2007-04-04",11.75
"65","2007-04-05",11.75
"66","2007-04-09",11.97
"67","2007-04-10",11.99
"68","2007-04-11",12
"69","2007-04-12",12
"70","2007-04-13",12
"71","2007-04-16",11.97
"72","2007-04-17",12
"73","2007-04-18",12.15
"74","2007-04-19",12.25
"75","2007-04-20",12.25
"76","2007-04-23",12.25
"77","2007-04-24",11.6
"78","2007-04-25",11.5
"79","2007-04-26",11.99
"80","2007-04-27",11.6
"81","2007-04-30",11.16
"82","2007-05-01",11.28
"83","2007-05-02",11.67
"84","2007-05-03",11.01
"85","2007-05-04",11
"86","2007-05-07",11
"87","2007-05-08",11
"88","2007-05-09",11.59
"89","2007-05-10",11.02
"90","2007-05-11",11.02
"91","2007-05-14",11.06
"92","2007-05-15",11.25
"93","2007-05-16",11.63
"94","2007-05-17",11.88
"95","2007-05-18",11.88
"96","2007-05-21",11.47
"97","2007-05-22",11.47
"98","2007-05-23",11.47
"99","2007-05-24",11.06
"100","2007-05-25",11.06
"101","2007-05-29",11
"102","2007-05-30",11
"103","2007-05-31",11
"104","2007-06-01",10.95
"105","2007-06-04",10.96
"106","2007-06-05",10.95
"107","2007-06-06",10.95
"108","2007-06-07",11.05
"109","2007-06-08",11.05
"110","2007-06-11",11.05
"111","2007-06-12",11
"112","2007-06-13",11
"113","2007-06-14",11
"114","2007-06-15",10.95
"115","2007-06-18",10.95
"116","2007-06-19",11.47
"117","2007-06-20",11.47
"118","2007-06-21",11.47
"119","2007-06-22",11.25
"120","2007-06-25",11.25
"121","2007-06-26",11.25
"122","2007-06-27",10.82
"123","2007-06-28",10.82
"124","2007-06-29",10.82
"125","2007-07-02",10.99
"126","2007-07-03",10.99
"127","2007-07-05",10.99
"128","2007-07-06",10.99
"129","2007-07-09",10.99
"130","2007-07-10",10.07
"131","2007-07-11",10.71
"132","2007-07-12",10.72
"133","2007-07-13",10.58
"134","2007-07-16",10.16
"135","2007-07-17",10.2
"136","2007-07-18",10.35
"137","2007-07-19",10.1
"138","2007-07-20",10.2
"139","2007-07-23",10.14
"140","2007-07-24",10.1
"141","2007-07-25",10.03
"142","2007-07-26",10.04
"143","2007-07-27",10.01
"144","2007-07-30",10.13
"145","2007-07-31",10.13
"146","2007-08-01",10
"147","2007-08-02",10.21
"148","2007-08-03",10
"149","2007-08-06",10.5
"150","2007-08-07",10
"151","2007-08-08",10
"152","2007-08-09",9.93
"153","2007-08-10",9.8
"154","2007-08-13",9.5
"155","2007-08-14",9.57
"156","2007-08-15",9.6
"157","2007-08-16",9.45
"158","2007-08-17",9.99
"159","2007-08-20",9.45
"160","2007-08-21",10
"161","2007-08-22",10.05
"162","2007-08-23",10.01
"163","2007-08-24",10
"164","2007-08-27",10.01
"165","2007-08-28",10.1
"166","2007-08-29",10.21
"167","2007-08-30",10.21
"168","2007-08-31",10.59
"169","2007-09-04",10.6
"170","2007-09-05",10.6
"171","2007-09-06",10.6
"172","2007-09-07",10.68
"173","2007-09-10",10.85
"174","2007-09-11",10.95
"175","2007-09-12",10.95
"176","2007-09-13",10.95
"177","2007-09-14",10.95
"178","2007-09-17",10.85
"179","2007-09-18",11.05
"180","2007-09-19",10.92
"181","2007-09-20",10.8
"182","2007-09-21",10.75
"183","2007-09-24",11.25
"184","2007-09-25",11
"185","2007-09-26",11
"186","2007-09-27",10.85
"187","2007-09-28",11
"188","2007-10-01",11.15
"189","2007-10-02",11.15
"190","2007-10-03",10.55
"191","2007-10-04",10.1
"192","2007-10-05",10.06
"193","2007-10-08",10.82
"194","2007-10-09",10.79
"195","2007-10-10",10.55
"196","2007-10-11",10.51
"197","2007-10-12",10.5
"198","2007-10-15",10.5
"199","2007-10-16",10.49
"200","2007-10-17",10.5
"201","2007-10-18",10.5
"202","2007-10-19",10.51
"203","2007-10-22",10.59
"204","2007-10-23",10.25
"205","2007-10-24",10.25
"206","2007-10-25",10.31
"207","2007-10-26",10.41
"208","2007-10-29",10.25
"209","2007-10-30",10.25
"210","2007-10-31",10.25
"211","2007-11-01",10.04
"212","2007-11-02",10
"213","2007-11-05",9.93
"214","2007-11-06",9.05
"215","2007-11-07",9.2
"216","2007-11-08",9.15
"217","2007-11-09",9.2
"218","2007-11-12",9.25
"219","2007-11-13",9.05
"220","2007-11-14",9
"221","2007-11-15",8.9
"222","2007-11-16",9.2
"223","2007-11-19",8.96
"224","2007-11-20",8.96
"225","2007-11-21",8.96
"226","2007-11-23",9.21
"227","2007-11-26",9.15
"228","2007-11-27",9.3
"229","2007-11-28",9.05
"230","2007-11-29",8.91
"231","2007-11-30",8.88
"232","2007-12-03",9
"233","2007-12-04",9
"234","2007-12-05",9
"235","2007-12-06",8.95
"236","2007-12-07",8.6
"237","2007-12-10",8.7
"238","2007-12-11",8.7
"239","2007-12-12",8.76
"240","2007-12-13",8.7
"241","2007-12-14",8.58
"242","2007-12-17",8.55
"243","2007-12-18",8.5
"244","2007-12-19",8.51
"245","2007-12-20",8.58
"246","2007-12-21",8.7
"247","2007-12-24",9.18
"248","2007-12-26",8.5
"249","2007-12-27",8.5
"250","2007-12-28",8.5
"251","2007-12-31",8.75
"252","2008-01-02",8.5
"253","2008-01-03",8.5
"254","2008-01-04",8.5
"255","2008-01-07",8.5
"256","2008-01-08",8.02
"257","2008-01-09",8.02
"258","2008-01-10",8.31
"259","2008-01-11",8.48
"260","2008-01-14",8.16
"261","2008-01-15",8.39
"262","2008-01-16",8.39
"263","2008-01-17",8.4
"264","2008-01-18",8.45
"265","2008-01-22",8.45
"266","2008-01-23",8.41
"267","2008-01-24",8.45
"268","2008-01-25",8.25
"269","2008-01-28",8.19
"270","2008-01-29",8.3
"271","2008-01-30",8.5
"272","2008-01-31",8.5
"273","2008-02-01",8.45
"274","2008-02-04",8.49
"275","2008-02-05",8.5
"276","2008-02-06",8.49
"277","2008-02-07",8.59
"278","2008-02-08",8.48
"279","2008-02-11",8.36
"280","2008-02-12",8.17
"281","2008-02-13",8.17
"282","2008-02-14",8.17
"283","2008-02-15",8.17
"284","2008-02-19",8.25
"285","2008-02-20",8.35
"286","2008-02-21",8.32
"287","2008-02-22",8.43
"288","2008-02-25",8.43
"289","2008-02-26",8.16
"290","2008-02-27",8.3
"291","2008-02-28",8.5
"292","2008-02-29",8.5
"293","2008-03-03",8.5
"294","2008-03-04",8.28
"295","2008-03-05",8.28
"296","2008-03-06",8.28
"297","2008-03-07",8.28
"298","2008-03-10",8.28
"299","2008-03-11",7.75
"300","2008-03-12",7.75
"301","2008-03-13",8.3
"302","2008-03-14",8.5
"303","2008-03-17",8.5
"304","2008-03-18",8.5
"305","2008-03-19",8.5
"306","2008-03-20",7.2
"307","2008-03-24",7.43
"308","2008-03-25",8.19
"309","2008-03-26",8.19
"310","2008-03-27",8.19
"311","2008-03-28",8.19
"312","2008-03-31",8
"313","2008-04-01",8
