"","date","DOMO"
"1","2018-06-29",27.299999
"2","2018-07-02",23.75
"3","2018-07-03",23.209999
"4","2018-07-05",22.459999
"5","2018-07-06",21.889999
"6","2018-07-09",20.940001
"7","2018-07-10",19.889999
"8","2018-07-11",19.049999
"9","2018-07-12",19.84
"10","2018-07-13",19.719999
"11","2018-07-16",18.99
"12","2018-07-17",19.25
"13","2018-07-18",18.85
"14","2018-07-19",18.629999
"15","2018-07-20",18.68
"16","2018-07-23",19.299999
"17","2018-07-24",19.17
"18","2018-07-25",19.68
"19","2018-07-26",18.26
"20","2018-07-27",16.629999
"21","2018-07-30",16.059999
"22","2018-07-31",16.610001
"23","2018-08-01",16.52
"24","2018-08-02",16.620001
"25","2018-08-03",17.030001
"26","2018-08-06",17.360001
"27","2018-08-07",17.74
"28","2018-08-08",17.93
"29","2018-08-09",17.700001
"30","2018-08-10",17.92
"31","2018-08-13",18.51
"32","2018-08-14",18.459999
"33","2018-08-15",17.870001
"34","2018-08-16",18.290001
"35","2018-08-17",18
"36","2018-08-20",17.870001
"37","2018-08-21",18.66
"38","2018-08-22",19.940001
"39","2018-08-23",19.67
"40","2018-08-24",20
"41","2018-08-27",20.530001
"42","2018-08-28",20.969999
"43","2018-08-29",22.59
"44","2018-08-30",23.360001
"45","2018-08-31",23.51
"46","2018-09-04",22.08
"47","2018-09-05",20.91
"48","2018-09-06",21.719999
"49","2018-09-07",19.26
"50","2018-09-10",20.469999
"51","2018-09-11",21.219999
"52","2018-09-12",20.1
"53","2018-09-13",21.549999
"54","2018-09-14",21.98
"55","2018-09-17",21.190001
"56","2018-09-18",21.43
"57","2018-09-19",20.719999
"58","2018-09-20",21.52
"59","2018-09-21",20.52
"60","2018-09-24",20.370001
"61","2018-09-25",20.58
"62","2018-09-26",21.709999
"63","2018-09-27",21.120001
"64","2018-09-28",21.450001
"65","2018-10-01",21.110001
"66","2018-10-02",21.17
"67","2018-10-03",20.719999
"68","2018-10-04",20.030001
"69","2018-10-05",19.08
"70","2018-10-08",18.280001
"71","2018-10-09",17.35
"72","2018-10-10",16.84
"73","2018-10-11",17.790001
"74","2018-10-12",18.879999
"75","2018-10-15",18.27
"76","2018-10-16",19.33
"77","2018-10-17",18.77
"78","2018-10-18",18.26
"79","2018-10-19",17.82
"80","2018-10-22",17.360001
"81","2018-10-23",17.129999
"82","2018-10-24",17.02
"83","2018-10-25",17.299999
"84","2018-10-26",16.83
"85","2018-10-29",16.459999
"86","2018-10-30",15.94
"87","2018-10-31",16.23
"88","2018-11-01",16.68
"89","2018-11-02",16.530001
"90","2018-11-05",16.25
"91","2018-11-06",16.200001
"92","2018-11-07",16.84
"93","2018-11-08",17.84
"94","2018-11-09",17.299999
