"","date","TRIB"
"1","2007-01-03",8.79
"2","2007-01-04",8.81
"3","2007-01-05",8.9
"4","2007-01-08",8.96
"5","2007-01-09",8.98
"6","2007-01-10",9.17
"7","2007-01-11",9.08
"8","2007-01-12",9
"9","2007-01-16",8.68
"10","2007-01-17",8.71
"11","2007-01-18",8.99
"12","2007-01-19",9.13
"13","2007-01-22",9.21
"14","2007-01-23",9.28
"15","2007-01-24",9.16
"16","2007-01-25",9.15
"17","2007-01-26",9.03
"18","2007-01-29",9.06
"19","2007-01-30",9.08
"20","2007-01-31",9.1
"21","2007-02-01",9.2
"22","2007-02-02",8.99
"23","2007-02-05",8.98
"24","2007-02-06",9.01
"25","2007-02-07",9.16
"26","2007-02-08",9.19
"27","2007-02-09",9.21
"28","2007-02-12",9.15
"29","2007-02-13",9.23
"30","2007-02-14",9.25
"31","2007-02-15",9.66
"32","2007-02-16",9.88
"33","2007-02-20",10.45
"34","2007-02-21",10.2
"35","2007-02-22",10.22
"36","2007-02-23",10.09
"37","2007-02-26",10.21
"38","2007-02-27",10.11
"39","2007-02-28",10.13
"40","2007-03-01",10.05
"41","2007-03-02",9.75
"42","2007-03-05",9.47
"43","2007-03-06",9.16
"44","2007-03-07",8.98
"45","2007-03-08",8.91
"46","2007-03-09",8.92
"47","2007-03-12",8.9
"48","2007-03-13",8.88
"49","2007-03-14",8.82
"50","2007-03-15",8.81
"51","2007-03-16",8.91
"52","2007-03-19",9.08
"53","2007-03-20",9.13
"54","2007-03-21",9.3
"55","2007-03-22",9.25
"56","2007-03-23",9.11
"57","2007-03-26",9.17
"58","2007-03-27",9.2
"59","2007-03-28",9.23
"60","2007-03-29",9.07
"61","2007-03-30",9.08
"62","2007-04-02",9.13
"63","2007-04-03",9.37
"64","2007-04-04",9.31
"65","2007-04-05",9.3
"66","2007-04-09",9.3
"67","2007-04-10",9.36
"68","2007-04-11",9.56
"69","2007-04-12",9.63
"70","2007-04-13",9.65
"71","2007-04-16",9.68
"72","2007-04-17",9.64
"73","2007-04-18",9.67
"74","2007-04-19",9.65
"75","2007-04-20",9.75
"76","2007-04-23",9.85
"77","2007-04-24",9.77
"78","2007-04-25",9.88
"79","2007-04-26",10.8
"80","2007-04-27",10.82
"81","2007-04-30",10.77
"82","2007-05-01",10.7
"83","2007-05-02",10.82
"84","2007-05-03",10.86
"85","2007-05-04",10.87
"86","2007-05-07",10.99
"87","2007-05-08",10.82
"88","2007-05-09",10.92
"89","2007-05-10",10.69
"90","2007-05-11",10.79
"91","2007-05-14",10.75
"92","2007-05-15",10.51
"93","2007-05-16",10.66
"94","2007-05-17",10.69
"95","2007-05-18",10.7
"96","2007-05-21",10.9
"97","2007-05-22",10.89
"98","2007-05-23",10.95
"99","2007-05-24",10.79
"100","2007-05-25",11.1
"101","2007-05-29",11.24
"102","2007-05-30",11.27
"103","2007-05-31",11.28
"104","2007-06-01",11.59
"105","2007-06-04",11.7
"106","2007-06-05",11.68
"107","2007-06-06",11.74
"108","2007-06-07",11.5
"109","2007-06-08",11.43
"110","2007-06-11",11.46
"111","2007-06-12",11.48
"112","2007-06-13",11.32
"113","2007-06-14",11.58
"114","2007-06-15",11.59
"115","2007-06-18",11.37
"116","2007-06-19",11.44
"117","2007-06-20",11.26
"118","2007-06-21",11.23
"119","2007-06-22",11.15
"120","2007-06-25",11.11
"121","2007-06-26",11.12
"122","2007-06-27",11.74
"123","2007-06-28",11.66
"124","2007-06-29",11.6
"125","2007-07-02",11.74
"126","2007-07-03",11.59
"127","2007-07-05",11.61
"128","2007-07-06",11.75
"129","2007-07-09",11.65
"130","2007-07-10",11.69
"131","2007-07-11",11.51
"132","2007-07-12",11.41
"133","2007-07-13",11.4
"134","2007-07-16",11.2
"135","2007-07-17",11.26
"136","2007-07-18",11.3
"137","2007-07-19",11.22
"138","2007-07-20",11.2
"139","2007-07-23",11.3
"140","2007-07-24",11.01
"141","2007-07-25",10.33
"142","2007-07-26",10.49
"143","2007-07-27",10.56
"144","2007-07-30",10.53
"145","2007-07-31",10.8
"146","2007-08-01",10.7
"147","2007-08-02",10.62
"148","2007-08-03",10.69
"149","2007-08-06",10.39
"150","2007-08-07",10.35
"151","2007-08-08",10.26
"152","2007-08-09",10.05
"153","2007-08-10",10.05
"154","2007-08-13",10.18
"155","2007-08-14",10.24
"156","2007-08-15",10.53
"157","2007-08-16",10.09
"158","2007-08-17",10.23
"159","2007-08-20",10.3
"160","2007-08-21",10.31
"161","2007-08-22",10.37
"162","2007-08-23",10.4
"163","2007-08-24",10.27
"164","2007-08-27",10.8
"165","2007-08-28",10.79
"166","2007-08-29",11.17
"167","2007-08-30",11.17
"168","2007-08-31",11.45
"169","2007-09-04",11.41
"170","2007-09-05",11.25
"171","2007-09-06",11.12
"172","2007-09-07",11.11
"173","2007-09-10",10.99
"174","2007-09-11",11
"175","2007-09-12",10.98
"176","2007-09-13",11
"177","2007-09-14",11
"178","2007-09-17",10.62
"179","2007-09-18",10.5
"180","2007-09-19",10.52
"181","2007-09-20",10.25
"182","2007-09-21",10.28
"183","2007-09-24",10.53
"184","2007-09-25",10.5
"185","2007-09-26",10.54
"186","2007-09-27",10.62
"187","2007-09-28",10.5
"188","2007-10-01",10.58
"189","2007-10-02",10.78
"190","2007-10-03",10.85
"191","2007-10-04",10.85
"192","2007-10-05",11.3
"193","2007-10-08",11.4
"194","2007-10-09",11.22
"195","2007-10-10",10.71
"196","2007-10-11",10.7
"197","2007-10-12",10.91
"198","2007-10-15",11
"199","2007-10-16",10.91
"200","2007-10-17",10.92
"201","2007-10-18",10.75
"202","2007-10-19",10.27
"203","2007-10-22",10.6
"204","2007-10-23",10.58
"205","2007-10-24",10.3
