"","date","MOHO"
"1","2019-11-08",10.1
"2","2019-11-11",10
"3","2019-11-12",9.98
"4","2019-11-13",9.95
"5","2019-11-14",9.85
"6","2019-11-15",9.75
"7","2019-11-18",10.32
"8","2019-11-19",9.88
"9","2019-11-20",9.68
"10","2019-11-21",9.214
"11","2019-11-22",9.13
"12","2019-11-25",9.05
"13","2019-11-26",8.01
"14","2019-11-27",8.461
"15","2019-11-29",7.81
"16","2019-12-02",7.91
"17","2019-12-03",8.6
"18","2019-12-04",8.69
"19","2019-12-05",8.7
"20","2019-12-06",8.685
"21","2019-12-09",8.74
"22","2019-12-10",8.141
"23","2019-12-11",8.24
"24","2019-12-12",8.164
"25","2019-12-13",8.12
"26","2019-12-16",8.126
"27","2019-12-17",7.8
"28","2019-12-18",7.65
"29","2019-12-19",7.056
"30","2019-12-20",7.24
"31","2019-12-23",7.53
"32","2019-12-24",7.277
"33","2019-12-26",6.5
"34","2019-12-27",5.6
"35","2019-12-30",5.8
"36","2019-12-31",5.795
"37","2020-01-02",6.18
"38","2020-01-03",6.7
"39","2020-01-06",6.6
"40","2020-01-07",6.267
"41","2020-01-08",8.6
"42","2020-01-09",6.97
"43","2020-01-10",8.05
"44","2020-01-13",7.7
"45","2020-01-14",7.334
"46","2020-01-15",7.628
"47","2020-01-16",7.433
"48","2020-01-17",7.15
"49","2020-01-21",6.99
"50","2020-01-22",7.19
"51","2020-01-23",6.961
"52","2020-01-24",7.258
"53","2020-01-27",7.154
"54","2020-01-28",7.061
"55","2020-01-29",7.05
"56","2020-01-30",7.25
"57","2020-01-31",6.92
"58","2020-02-03",6.78
"59","2020-02-04",7.46
"60","2020-02-05",7.2
"61","2020-02-06",7.2
"62","2020-02-07",7.2
"63","2020-02-10",7.13
"64","2020-02-11",6.9
"65","2020-02-12",6.9
"66","2020-02-13",6.9
"67","2020-02-14",7.01
"68","2020-02-18",6.81
"69","2020-02-19",6.83
"70","2020-02-20",7.06
"71","2020-02-21",7.06
"72","2020-02-24",7.06
"73","2020-02-25",7.06
"74","2020-02-26",7.1
"75","2020-02-27",7.1
"76","2020-02-28",7.3
"77","2020-03-02",7
"78","2020-03-03",7
"79","2020-03-04",7
"80","2020-03-05",5.8
"81","2020-03-06",7.148
"82","2020-03-09",6.61
"83","2020-03-10",6.711
"84","2020-03-11",7.25
"85","2020-03-12",7.095
