"","date","ITOS"
"1","2020-07-24",19.049999
"2","2020-07-27",17.57
"3","2020-07-28",18.200001
"4","2020-07-29",18.77
"5","2020-07-30",18.5
"6","2020-07-31",19.68
"7","2020-08-03",23.360001
"8","2020-08-04",24.639999
"9","2020-08-05",28.879999
"10","2020-08-06",28.299999
"11","2020-08-07",27.91
"12","2020-08-10",28.889999
"13","2020-08-11",29.700001
"14","2020-08-12",30.15
"15","2020-08-13",30.889999
"16","2020-08-14",31.4
"17","2020-08-17",32.919998
"18","2020-08-18",32.689999
"19","2020-08-19",30.780001
"20","2020-08-20",30.09
"21","2020-08-21",29.879999
"22","2020-08-24",30
"23","2020-08-25",29.299999
"24","2020-08-26",28.49
"25","2020-08-27",27.219999
"26","2020-08-28",29.610001
"27","2020-08-31",29
"28","2020-09-01",28.07
"29","2020-09-02",29.01
"30","2020-09-03",28.01
"31","2020-09-04",25.799999
"32","2020-09-08",27.02
"33","2020-09-09",27.639999
"34","2020-09-10",28.98
"35","2020-09-11",29.67
"36","2020-09-14",29.66
"37","2020-09-15",30.24
"38","2020-09-16",29.01
"39","2020-09-17",28.93
"40","2020-09-18",28.33
"41","2020-09-21",26.82
"42","2020-09-22",25.58
"43","2020-09-23",23.540001
"44","2020-09-24",21.83
"45","2020-09-25",24.18
"46","2020-09-28",24.209999
"47","2020-09-29",24
"48","2020-09-30",24.67
"49","2020-10-01",24.5
"50","2020-10-02",23.049999
"51","2020-10-05",22.879999
"52","2020-10-06",21.59
"53","2020-10-07",21.959999
"54","2020-10-08",22.02
"55","2020-10-09",23
"56","2020-10-12",23.5
"57","2020-10-13",23
"58","2020-10-14",22.66
"59","2020-10-15",22.98
"60","2020-10-16",22.42
"61","2020-10-19",22.34
"62","2020-10-20",22.690001
"63","2020-10-21",22.870001
"64","2020-10-22",23.57
"65","2020-10-23",24.299999
"66","2020-10-26",23.49
"67","2020-10-27",24.5
"68","2020-10-28",22.74
"69","2020-10-29",21.59
"70","2020-10-30",22.77
"71","2020-11-02",24.9
"72","2020-11-03",23.73
"73","2020-11-04",24.690001
"74","2020-11-05",25.559999
"75","2020-11-06",25.450001
"76","2020-11-09",26.35
"77","2020-11-10",25.469999
"78","2020-11-11",24.389999
"79","2020-11-12",23.190001
"80","2020-11-13",23.360001
"81","2020-11-16",24.02
"82","2020-11-17",23.950001
"83","2020-11-18",24.67
"84","2020-11-19",24.35
"85","2020-11-20",25.4
"86","2020-11-23",26.120001
"87","2020-11-24",26.540001
"88","2020-11-25",29.290001
"89","2020-11-27",28.57
