"","date","OEC"
"1","2014-07-25",17.75
"2","2014-07-28",17.5
"3","2014-07-29",17.5
"4","2014-07-30",17.450001
"5","2014-07-31",17
"6","2014-08-01",16.5
"7","2014-08-04",16.290001
"8","2014-08-05",16.290001
"9","2014-08-06",16.040001
"10","2014-08-07",16.07
"11","2014-08-08",17
"12","2014-08-11",17.34
"13","2014-08-12",17.549999
"14","2014-08-13",17.5
"15","2014-08-14",17.25
"16","2014-08-15",17.41
"17","2014-08-18",17.299999
"18","2014-08-19",17.190001
"19","2014-08-20",17.200001
"20","2014-08-21",17.299999
"21","2014-08-22",17.450001
"22","2014-08-25",17.219999
"23","2014-08-26",17.02
"24","2014-08-27",16.969999
"25","2014-08-28",16.969999
"26","2014-08-29",17.07
"27","2014-09-02",17.09
"28","2014-09-03",17.120001
"29","2014-09-04",17.26
"30","2014-09-05",18.110001
"31","2014-09-08",18.200001
"32","2014-09-09",18.129999
"33","2014-09-10",18.08
"34","2014-09-11",18
"35","2014-09-12",17.99
"36","2014-09-15",17.98
"37","2014-09-16",18.120001
"38","2014-09-17",18.27
"39","2014-09-18",18.18
"40","2014-09-19",17.98
"41","2014-09-22",17.969999
"42","2014-09-23",17.950001
"43","2014-09-24",18.059999
"44","2014-09-25",17.950001
"45","2014-09-26",17.99
"46","2014-09-29",17.709999
"47","2014-09-30",17.620001
"48","2014-10-01",17.34
"49","2014-10-02",17.129999
"50","2014-10-03",16.98
"51","2014-10-06",16.530001
"52","2014-10-07",16.33
"53","2014-10-08",15.84
"54","2014-10-09",15.25
"55","2014-10-10",14.42
"56","2014-10-13",13.88
"57","2014-10-14",13.15
"58","2014-10-15",13.49
"59","2014-10-16",13.75
"60","2014-10-17",14.25
"61","2014-10-20",15.58
"62","2014-10-21",15.97
"63","2014-10-22",16.030001
"64","2014-10-23",16.049999
"65","2014-10-24",16.129999
"66","2014-10-27",15.8
"67","2014-10-28",15.72
"68","2014-10-29",15.2
"69","2014-10-30",15.23
"70","2014-10-31",15.1
"71","2014-11-03",15.36
"72","2014-11-04",15.17
"73","2014-11-05",15.24
"74","2014-11-06",14.95
"75","2014-11-07",15
"76","2014-11-10",15.14
"77","2014-11-11",15.17
"78","2014-11-12",15.25
"79","2014-11-13",15.16
"80","2014-11-14",16.15
"81","2014-11-17",16.27
"82","2014-11-18",16.34
"83","2014-11-19",16.129999
"84","2014-11-20",16.33
"85","2014-11-21",16.860001
"86","2014-11-24",16.83
"87","2014-11-25",17.15
"88","2014-11-26",16.959999
"89","2014-11-28",16.98
"90","2014-12-01",16.450001
"91","2014-12-02",16.450001
"92","2014-12-03",17.02
"93","2014-12-04",17
"94","2014-12-05",17.219999
"95","2014-12-08",17.08
"96","2014-12-09",16.940001
"97","2014-12-10",16.219999
"98","2014-12-11",16.629999
"99","2014-12-12",16.32
"100","2014-12-15",16.450001
"101","2014-12-16",16.440001
"102","2014-12-17",16.450001
"103","2014-12-18",17.01
"104","2014-12-19",16.91
"105","2014-12-22",16.75
"106","2014-12-23",16.780001
"107","2014-12-24",16.879999
"108","2014-12-26",16.959999
"109","2014-12-29",16.93
"110","2014-12-30",16.74
"111","2014-12-31",16.99
"112","2015-01-02",17.040001
"113","2015-01-05",16.799999
