"","date","CSCW"
"1","2020-04-02",0.41
"2","2020-04-03",0.38
"3","2020-04-06",0.4
"4","2020-04-07",0.36
"5","2020-04-08",0.42
"6","2020-04-09",0.38
"7","2020-04-13",0.41
"8","2020-04-14",0.41
"9","2020-04-15",0.39
"10","2020-04-16",0.4
"11","2020-04-17",0.43
"12","2020-04-20",0.41
"13","2020-04-21",0.58
"14","2020-04-22",0.52
"15","2020-04-23",0.56
"16","2020-04-24",0.55
"17","2020-04-27",0.53
"18","2020-04-28",0.53
"19","2020-04-29",0.51
"20","2020-04-30",0.46
"21","2020-05-01",0.48
"22","2020-05-04",0.5
"23","2020-05-05",0.49
"24","2020-05-06",0.47
"25","2020-05-07",0.64
"26","2020-05-08",0.51
"27","2020-05-11",0.45
"28","2020-05-12",0.43
"29","2020-05-13",0.4
"30","2020-05-14",NA
"31","2020-05-15",0.42
"32","2020-05-18",0.41
"33","2020-05-19",0.4
"34","2020-05-20",0.43
"35","2020-05-21",0.4
"36","2020-05-22",0.39
"37","2020-05-26",0.43
"38","2020-05-27",NA
"39","2020-05-28",NA
"40","2020-05-29",NA
"41","2020-06-01",NA
"42","2020-06-02",NA
"43","2020-06-03",NA
"44","2020-06-04",NA
"45","2020-06-05",NA
"46","2020-06-08",NA
"47","2020-06-09",NA
"48","2020-06-10",NA
"49","2020-06-11",NA
"50","2020-06-12",NA
"51","2020-06-15",NA
"52","2020-06-16",NA
"53","2020-06-17",NA
"54","2020-06-18",NA
"55","2020-06-19",NA
"56","2020-06-22",NA
"57","2020-06-23",NA
"58","2020-06-24",NA
"59","2020-06-25",NA
"60","2020-06-26",NA
"61","2020-06-29",NA
"62","2020-06-30",NA
"63","2020-07-01",NA
"64","2020-07-02",NA
"65","2020-07-06",NA
"66","2020-07-07",NA
"67","2020-07-08",NA
"68","2020-07-09",NA
"69","2020-07-10",NA
"70","2020-07-13",NA
"71","2020-07-14",NA
"72","2020-07-15",NA
"73","2020-07-16",NA
"74","2020-07-17",NA
"75","2020-07-20",NA
"76","2020-07-21",NA
"77","2020-07-22",NA
"78","2020-07-23",NA
"79","2020-07-24",NA
"80","2020-07-27",NA
"81","2020-07-28",NA
"82","2020-07-29",NA
"83","2020-07-30",NA
"84","2020-07-31",NA
"85","2020-08-03",NA
"86","2020-08-04",NA
"87","2020-08-05",NA
"88","2020-08-06",NA
"89","2020-08-07",NA
"90","2020-08-10",NA
"91","2020-08-11",NA
"92","2020-08-12",NA
"93","2020-08-13",NA
"94","2020-08-14",NA
"95","2020-08-17",NA
"96","2020-08-18",NA
"97","2020-08-19",NA
"98","2020-08-20",NA
"99","2020-08-21",NA
"100","2020-08-24",NA
"101","2020-08-25",NA
"102","2020-08-26",NA
"103","2020-08-27",NA
"104","2020-08-28",NA
"105","2020-08-31",NA
"106","2020-09-01",NA
"107","2020-09-02",NA
"108","2020-09-03",NA
"109","2020-09-04",NA
"110","2020-09-08",NA
"111","2020-09-09",NA
"112","2020-09-10",NA
"113","2020-09-11",NA
"114","2020-09-14",NA
"115","2020-09-15",NA
"116","2020-09-16",NA
"117","2020-09-17",NA
"118","2020-09-18",NA
"119","2020-09-21",NA
"120","2020-09-22",NA
"121","2020-09-23",NA
"122","2020-09-24",NA
"123","2020-09-25",NA
"124","2020-09-28",NA
"125","2020-09-29",NA
"126","2020-09-30",0.48
"127","2020-10-01",0.5
"128","2020-10-02",0.49
"129","2020-10-05",0.5
"130","2020-10-06",0.49
"131","2020-10-07",0.49
"132","2020-10-08",0.49
"133","2020-10-09",0.49
"134","2020-10-12",0.54
"135","2020-10-13",0.63
"136","2020-10-14",0.61
"137","2020-10-15",0.63
"138","2020-10-16",0.59
"139","2020-10-19",0.59
"140","2020-10-20",0.48
"141","2020-10-21",0.48
"142","2020-10-22",0.48
"143","2020-10-23",0.48
"144","2020-10-26",0.61
"145","2020-10-27",0.57
"146","2020-10-28",0.53
"147","2020-10-29",0.56
"148","2020-10-30",0.54
"149","2020-11-02",0.53
"150","2020-11-03",0.51
"151","2020-11-04",0.51
"152","2020-11-05",0.5
"153","2020-11-06",0.49
"154","2020-11-09",0.5
"155","2020-11-10",0.48
"156","2020-11-11",0.47
"157","2020-11-12",0.56
"158","2020-11-13",0.54
"159","2020-11-16",0.49
"160","2020-11-17",0.48
"161","2020-11-18",0.53
"162","2020-11-19",0.52
"163","2020-11-20",0.5
"164","2020-11-23",0.49
"165","2020-11-24",0.51
"166","2020-11-25",0.58
"167","2020-11-27",0.5493
