"","date","OTIC"
"1","2014-08-13",17.15
"2","2014-08-14",16.719999
"3","2014-08-15",16.200001
"4","2014-08-18",16.01
"5","2014-08-19",15.84
"6","2014-08-20",15.99
"7","2014-08-21",16.299999
"8","2014-08-22",17.209999
"9","2014-08-25",17
"10","2014-08-26",17.43
"11","2014-08-27",18.33
"12","2014-08-28",19.77
"13","2014-08-29",19.92
"14","2014-09-02",19.700001
"15","2014-09-03",19.709999
"16","2014-09-04",19.049999
"17","2014-09-05",18.790001
"18","2014-09-08",19.389999
"19","2014-09-09",19.25
"20","2014-09-10",19.5
"21","2014-09-11",19.4
"22","2014-09-12",19.379999
"23","2014-09-15",19.280001
"24","2014-09-16",20.200001
"25","2014-09-17",20.09
"26","2014-09-18",20.92
"27","2014-09-19",23.459999
"28","2014-09-22",22.530001
"29","2014-09-23",22.559999
"30","2014-09-24",25.290001
"31","2014-09-25",24.940001
"32","2014-09-26",26.58
"33","2014-09-29",24.309999
"34","2014-09-30",24
"35","2014-10-01",22.379999
"36","2014-10-02",22.48
"37","2014-10-03",23.99
"38","2014-10-06",22.219999
"39","2014-10-07",21.02
"40","2014-10-08",21.17
"41","2014-10-09",21.129999
"42","2014-10-10",21.719999
"43","2014-10-13",22.360001
"44","2014-10-14",22.610001
"45","2014-10-15",23.34
"46","2014-10-16",24.120001
"47","2014-10-17",22.43
"48","2014-10-20",22.74
"49","2014-10-21",23.709999
"50","2014-10-22",23.65
"51","2014-10-23",24.700001
"52","2014-10-24",25.93
"53","2014-10-27",25.34
"54","2014-10-28",26
"55","2014-10-29",25.92
"56","2014-10-30",25.620001
"57","2014-10-31",26.35
"58","2014-11-03",25.870001
"59","2014-11-04",23.92
"60","2014-11-05",23.43
"61","2014-11-06",24.15
"62","2014-11-07",24.09
"63","2014-11-10",24.16
"64","2014-11-11",23.790001
"65","2014-11-12",23.68
"66","2014-11-13",23.690001
"67","2014-11-14",23.360001
"68","2014-11-17",22.02
"69","2014-11-18",22.99
"70","2014-11-19",21.9
"71","2014-11-20",22.360001
"72","2014-11-21",23.34
"73","2014-11-24",23.98
"74","2014-11-25",24.299999
"75","2014-11-26",24.32
"76","2014-11-28",24.01
"77","2014-12-01",25.370001
"78","2014-12-02",28.98
"79","2014-12-03",28.99
"80","2014-12-04",28.709999
"81","2014-12-05",28.48
"82","2014-12-08",27.59
"83","2014-12-09",32.259998
