"","date","LNTH"
"1","2015-06-25",6.77
"2","2015-06-26",6.43
"3","2015-06-29",6.15
"4","2015-06-30",6.19
"5","2015-07-01",6.32
"6","2015-07-02",6.67
"7","2015-07-06",6.87
"8","2015-07-07",6.89
"9","2015-07-08",7.15
"10","2015-07-09",7
"11","2015-07-10",6.91
"12","2015-07-13",6.88
"13","2015-07-14",7
"14","2015-07-15",6.99
"15","2015-07-16",7.13
"16","2015-07-17",7.47
"17","2015-07-20",6.91
"18","2015-07-21",7.33
"19","2015-07-22",7.19
"20","2015-07-23",7.17
"21","2015-07-24",7.18
"22","2015-07-27",6.53
"23","2015-07-28",6.71
"24","2015-07-29",7.2
"25","2015-07-30",7.27
"26","2015-07-31",7.37
"27","2015-08-03",7.16
"28","2015-08-04",6.72
"29","2015-08-05",6.77
"30","2015-08-06",6.63
"31","2015-08-07",6.46
"32","2015-08-10",6.68
"33","2015-08-11",6.33
"34","2015-08-12",6.55
"35","2015-08-13",7.07
"36","2015-08-14",7.43
"37","2015-08-17",8.56
"38","2015-08-18",8.39
"39","2015-08-19",7.97
"40","2015-08-20",7.95
"41","2015-08-21",7.35
"42","2015-08-24",6.12
"43","2015-08-25",6.59
"44","2015-08-26",6.89
"45","2015-08-27",7.42
"46","2015-08-28",6.75
"47","2015-08-31",6.21
"48","2015-09-01",6
"49","2015-09-02",6.1
"50","2015-09-03",6.82
"51","2015-09-04",6.84
"52","2015-09-08",6.99
"53","2015-09-09",7.31
"54","2015-09-10",6.94
"55","2015-09-11",6.98
"56","2015-09-14",7
"57","2015-09-15",6.54
"58","2015-09-16",6.4
"59","2015-09-17",6.47
"60","2015-09-18",5.38
"61","2015-09-21",5.94
"62","2015-09-22",5.76
"63","2015-09-23",5.98
"64","2015-09-24",5.84
"65","2015-09-25",5.75
"66","2015-09-28",4.98
"67","2015-09-29",4.98
"68","2015-09-30",4.3
"69","2015-10-01",4.76
"70","2015-10-02",4.07
"71","2015-10-05",3.72
"72","2015-10-06",3.53
"73","2015-10-07",3.75
"74","2015-10-08",3.73
"75","2015-10-09",3.63
"76","2015-10-12",3.87
"77","2015-10-13",3.7
