"","date","DGLY"
"1","2007-05-16",20
"2","2007-05-17",20
"3","2007-05-18",19.200001
"4","2007-05-21",19.200001
"5","2007-05-22",19.200001
"6","2007-05-23",18.48
"7","2007-05-24",18.719999
"8","2007-05-25",19.200001
"9","2007-05-29",19.200001
"10","2007-05-30",19.200001
"11","2007-05-31",19.120001
"12","2007-06-01",19.360001
"13","2007-06-04",19.200001
"14","2007-06-05",19.6
"15","2007-06-06",18.799999
"16","2007-06-07",18.799999
"17","2007-06-08",18.799999
"18","2007-06-11",18.799999
"19","2007-06-12",18.959999
"20","2007-06-13",19.200001
"21","2007-06-14",18.4
"22","2007-06-15",18
"23","2007-06-18",18.4
"24","2007-06-19",18.4
"25","2007-06-20",18.4
"26","2007-06-21",17.6
"27","2007-06-22",18
"28","2007-06-25",16.08
"29","2007-06-26",17.6
"30","2007-06-27",17.6
"31","2007-06-28",17.6
"32","2007-06-29",18.4
"33","2007-07-02",18.4
"34","2007-07-03",18.4
"35","2007-07-05",18.4
"36","2007-07-06",18.4
"37","2007-07-09",17.6
"38","2007-07-10",16
"39","2007-07-11",18
"40","2007-07-12",16.799999
"41","2007-07-13",16.24
"42","2007-07-16",17.6
"43","2007-07-17",16.559999
"44","2007-07-18",17.200001
"45","2007-07-19",17.76
"46","2007-07-20",18
"47","2007-07-23",18
"48","2007-07-24",17.6
"49","2007-07-25",18.4
"50","2007-07-26",18
"51","2007-07-27",18
"52","2007-07-30",18
"53","2007-07-31",18
"54","2007-08-01",18.799999
"55","2007-08-02",19.6
"56","2007-08-03",19.200001
"57","2007-08-06",19.6
"58","2007-08-07",19.200001
"59","2007-08-08",19.440001
"60","2007-08-09",19.200001
"61","2007-08-10",19.200001
"62","2007-08-13",19.6
"63","2007-08-14",18.799999
"64","2007-08-15",18.4
"65","2007-08-16",18.799999
"66","2007-08-17",18.799999
"67","2007-08-20",19.76
"68","2007-08-21",18.559999
"69","2007-08-22",19.200001
"70","2007-08-23",19.120001
"71","2007-08-24",19.6
"72","2007-08-27",19.6
"73","2007-08-28",19.6
"74","2007-08-29",19.52
"75","2007-08-30",20
"76","2007-08-31",20
"77","2007-09-04",19.6
"78","2007-09-05",20
"79","2007-09-06",20
"80","2007-09-07",21.68
"81","2007-09-10",22
"82","2007-09-11",22.879999
"83","2007-09-12",23.76
"84","2007-09-13",22.4
"85","2007-09-14",23.200001
"86","2007-09-17",23.200001
"87","2007-09-18",23.440001
"88","2007-09-19",23.6
"89","2007-09-20",24
"90","2007-09-21",26.4
"91","2007-09-24",27.6
"92","2007-09-25",27.200001
"93","2007-09-26",27.6
"94","2007-09-27",27.6
"95","2007-09-28",27.200001
"96","2007-10-01",29.6
"97","2007-10-02",31.6
"98","2007-10-03",32
"99","2007-10-04",32.799999
"100","2007-10-05",32.799999
"101","2007-10-08",34.400002
"102","2007-10-09",34.48
"103","2007-10-10",35.200001
"104","2007-10-11",34.32
"105","2007-10-12",34
"106","2007-10-15",32.400002
"107","2007-10-16",32.799999
"108","2007-10-17",33.360001
"109","2007-10-18",33.200001
"110","2007-10-19",33.279999
"111","2007-10-22",33.279999
"112","2007-10-23",33.200001
"113","2007-10-24",33.599998
"114","2007-10-25",36
"115","2007-10-26",35.200001
"116","2007-10-29",37.52
"117","2007-10-30",37.439999
"118","2007-10-31",36.880001
"119","2007-11-01",37.200001
"120","2007-11-02",36.400002
"121","2007-11-05",36.16
"122","2007-11-06",36
"123","2007-11-07",38.48
"124","2007-11-08",38.720001
"125","2007-11-09",38.639999
"126","2007-11-12",38.880001
"127","2007-11-13",38.240002
"128","2007-11-14",38.639999
"129","2007-11-15",39.599998
"130","2007-11-16",42
"131","2007-11-19",45.200001
"132","2007-11-20",42.400002
"133","2007-11-21",42.400002
"134","2007-11-23",41.200001
"135","2007-11-26",39.200001
