"","date","TREE"
"1","2008-08-12",7.32
"2","2008-08-13",8.65
"3","2008-08-14",10.09
"4","2008-08-15",9.81
"5","2008-08-18",8.34
"6","2008-08-19",7.65
"7","2008-08-20",7.42
"8","2008-08-21",7.46
"9","2008-08-22",7.99
"10","2008-08-25",8.19
"11","2008-08-26",7.72
"12","2008-08-27",7.6
"13","2008-08-28",7.69
"14","2008-08-29",7.6
"15","2008-09-02",8.05
"16","2008-09-03",8.22
"17","2008-09-04",8.06
"18","2008-09-05",7.8
"19","2008-09-08",8.01
"20","2008-09-09",7.95
"21","2008-09-10",7.81
"22","2008-09-11",7.65
"23","2008-09-12",8.05
"24","2008-09-15",8.01
"25","2008-09-16",8.12
"26","2008-09-17",7.74
"27","2008-09-18",7.5
"28","2008-09-19",7.87
"29","2008-09-22",7.49
"30","2008-09-23",7.19
"31","2008-09-24",7.12
"32","2008-09-25",5.97
"33","2008-09-26",5.54
"34","2008-09-29",5.04
"35","2008-09-30",4.82
"36","2008-10-01",5.62
"37","2008-10-02",4.22
"38","2008-10-03",4.04
"39","2008-10-06",3.87
"40","2008-10-07",3.3
"41","2008-10-08",2.03
"42","2008-10-09",2.27
"43","2008-10-10",2.15
"44","2008-10-13",2.22
"45","2008-10-14",2.46
"46","2008-10-15",2.25
"47","2008-10-16",2.19
"48","2008-10-17",2.36
"49","2008-10-20",2.55
"50","2008-10-21",2.54
"51","2008-10-22",2.7
"52","2008-10-23",2.75
"53","2008-10-24",2.59
"54","2008-10-27",2.42
"55","2008-10-28",2.25
"56","2008-10-29",2.25
"57","2008-10-30",2.57
"58","2008-10-31",2.71
"59","2008-11-03",2.86
"60","2008-11-04",2.75
"61","2008-11-05",2.37
"62","2008-11-06",2.15
"63","2008-11-07",2.24
"64","2008-11-10",2.2
"65","2008-11-11",2.1
"66","2008-11-12",2.25
"67","2008-11-13",2.48
"68","2008-11-14",2.19
"69","2008-11-17",2.12
"70","2008-11-18",2.37
"71","2008-11-19",2.25
"72","2008-11-20",2.12
"73","2008-11-21",2.24
"74","2008-11-24",2.02
"75","2008-11-25",1.92
"76","2008-11-26",1.86
"77","2008-11-28",1.83
"78","2008-12-01",1.57
"79","2008-12-02",1.97
"80","2008-12-03",1.82
"81","2008-12-04",1.66
"82","2008-12-05",1.64
"83","2008-12-08",1.81
"84","2008-12-09",1.95
"85","2008-12-10",1.89
"86","2008-12-11",1.81
"87","2008-12-12",1.65
"88","2008-12-15",1.54
"89","2008-12-16",2.12
"90","2008-12-17",2.14
"91","2008-12-18",2.42
"92","2008-12-19",2.47
"93","2008-12-22",2.44
"94","2008-12-23",2.26
"95","2008-12-24",2.3
"96","2008-12-26",2.15
"97","2008-12-29",2.04
"98","2008-12-30",2.35
"99","2008-12-31",2.6
"100","2009-01-02",3.23
"101","2009-01-05",3.79
"102","2009-01-06",4
"103","2009-01-07",4
"104","2009-01-08",4.49
"105","2009-01-09",4.6
"106","2009-01-12",4.15
"107","2009-01-13",4.14
"108","2009-01-14",4.33
"109","2009-01-15",4.48
"110","2009-01-16",4.6
"111","2009-01-20",4
"112","2009-01-21",4.09
"113","2009-01-22",3.96
"114","2009-01-23",4.25
"115","2009-01-26",4.31
"116","2009-01-27",4.44
"117","2009-01-28",4.6
"118","2009-01-29",3.99
"119","2009-01-30",3.97
"120","2009-02-02",4
"121","2009-02-03",4
"122","2009-02-04",3.96
"123","2009-02-05",4
"124","2009-02-06",3.91
"125","2009-02-09",4.17
"126","2009-02-10",4.02
"127","2009-02-11",4.09
"128","2009-02-12",4.07
"129","2009-02-13",3.91
"130","2009-02-17",3.85
"131","2009-02-18",4.1
"132","2009-02-19",4.09
"133","2009-02-20",4.07
"134","2009-02-23",3.98
"135","2009-02-24",4.2
"136","2009-02-25",4.36
"137","2009-02-26",4.49
"138","2009-02-27",4.53
"139","2009-03-02",3.93
"140","2009-03-03",4.07
"141","2009-03-04",4.23
"142","2009-03-05",3.99
"143","2009-03-06",3.97
"144","2009-03-09",3.93
"145","2009-03-10",4.19
"146","2009-03-11",4.25
"147","2009-03-12",4.26
"148","2009-03-13",4.25
"149","2009-03-16",4.5
"150","2009-03-17",4.56
"151","2009-03-18",4.79
"152","2009-03-19",4.62
"153","2009-03-20",4.64
"154","2009-03-23",5
"155","2009-03-24",4.56
"156","2009-03-25",5
"157","2009-03-26",4.95
"158","2009-03-27",4.55
"159","2009-03-30",4.47
"160","2009-03-31",4.62
"161","2009-04-01",4.93
"162","2009-04-02",5
"163","2009-04-03",5.27
"164","2009-04-06",5.12
"165","2009-04-07",4.87
"166","2009-04-08",5.09
"167","2009-04-09",5.51
"168","2009-04-13",5.5
"169","2009-04-14",5.29
"170","2009-04-15",5.41
"171","2009-04-16",5.53
"172","2009-04-17",5.63
"173","2009-04-20",5.68
"174","2009-04-21",5.99
"175","2009-04-22",5.7
"176","2009-04-23",5.86
"177","2009-04-24",6.04
"178","2009-04-27",5.84
"179","2009-04-28",5.74
"180","2009-04-29",5.9
"181","2009-04-30",6.42
"182","2009-05-01",8.95
"183","2009-05-04",9.48
"184","2009-05-05",10.39
"185","2009-05-06",11.75
"186","2009-05-07",11
"187","2009-05-08",11.34
"188","2009-05-11",12.09
"189","2009-05-12",11.61
"190","2009-05-13",11.59
"191","2009-05-14",11.41
"192","2009-05-15",11.77
"193","2009-05-18",12.48
"194","2009-05-19",12.52
"195","2009-05-20",12.79
"196","2009-05-21",12.89
"197","2009-05-22",12.2
"198","2009-05-26",12.45
"199","2009-05-27",11.63
"200","2009-05-28",10.73
"201","2009-05-29",10.28
"202","2009-06-01",10.73
"203","2009-06-02",10.66
"204","2009-06-03",10.72
"205","2009-06-04",11.28
"206","2009-06-05",11.72
"207","2009-06-08",11.89
"208","2009-06-09",11.69
"209","2009-06-10",9.74
"210","2009-06-11",9.93
"211","2009-06-12",9.98
"212","2009-06-15",8.75
"213","2009-06-16",8.23
"214","2009-06-17",8.45
"215","2009-06-18",8.49
"216","2009-06-19",8.97
"217","2009-06-22",9.18
"218","2009-06-23",9.5
"219","2009-06-24",9.18
"220","2009-06-25",9.55
"221","2009-06-26",9.65
"222","2009-06-29",9.53
"223","2009-06-30",9.6
"224","2009-07-01",9.55
"225","2009-07-02",9.46
"226","2009-07-06",9.33
"227","2009-07-07",9.2
"228","2009-07-08",9.48
"229","2009-07-09",9.58
"230","2009-07-10",9.66
"231","2009-07-13",9.59
"232","2009-07-14",9.18
"233","2009-07-15",9.71
"234","2009-07-16",9.58
"235","2009-07-17",9.75
"236","2009-07-20",9.98
"237","2009-07-21",9.67
"238","2009-07-22",10.35
"239","2009-07-23",10.53
"240","2009-07-24",10.69
"241","2009-07-27",10.83
"242","2009-07-28",10.51
"243","2009-07-29",10.4
"244","2009-07-30",9.63
"245","2009-07-31",9.98
"246","2009-08-03",9.91
"247","2009-08-04",9.58
"248","2009-08-05",9.68
"249","2009-08-06",9.89
"250","2009-08-07",9.66
"251","2009-08-10",9.88
"252","2009-08-11",9.67
"253","2009-08-12",9.54
"254","2009-08-13",9.34
"255","2009-08-14",9.17
"256","2009-08-17",8.94
"257","2009-08-18",9.32
"258","2009-08-19",9.17
"259","2009-08-20",9.26
"260","2009-08-21",9.3
"261","2009-08-24",8.61
"262","2009-08-25",8.71
"263","2009-08-26",8.54
"264","2009-08-27",7.93
"265","2009-08-28",7.38
"266","2009-08-31",7.05
"267","2009-09-01",6.95
"268","2009-09-02",6.79
"269","2009-09-03",7.17
"270","2009-09-04",7.47
"271","2009-09-08",7.57
"272","2009-09-09",7.49
"273","2009-09-10",7.61
"274","2009-09-11",7.81
"275","2009-09-14",7.83
"276","2009-09-15",8.04
"277","2009-09-16",8.24
"278","2009-09-17",8.16
"279","2009-09-18",7.96
"280","2009-09-21",7.79
"281","2009-09-22",7.78
"282","2009-09-23",7.95
"283","2009-09-24",7.57
"284","2009-09-25",7.44
"285","2009-09-28",7.37
"286","2009-09-29",7.75
"287","2009-09-30",7.55
"288","2009-10-01",7.25
"289","2009-10-02",7.8
"290","2009-10-05",7.69
"291","2009-10-06",7.66
"292","2009-10-07",7.68
"293","2009-10-08",7.27
"294","2009-10-09",7.9
"295","2009-10-12",8.08
"296","2009-10-13",8
"297","2009-10-14",8.1
"298","2009-10-15",8.1
"299","2009-10-16",7.73
"300","2009-10-19",7.9
"301","2009-10-20",7.95
"302","2009-10-21",8.02
"303","2009-10-22",8.16
"304","2009-10-23",7.63
"305","2009-10-26",7.56
"306","2009-10-27",7.49
"307","2009-10-28",7.48
"308","2009-10-29",7.57
"309","2009-10-30",7.81
"310","2009-11-02",8.05
"311","2009-11-03",7.93
"312","2009-11-04",7.46
"313","2009-11-05",8.16
"314","2009-11-06",8.12
"315","2009-11-09",7.78
